date,open,high,low,close
20141107,246,246,243,244
20141106,246,246,243,245
20141105,245,247,244,246
20141104,243,247,240,246
20141103,244,244,241,241
20141031,241,244,240,242
20141030,240,243,239,240
20141029,243,244,239,240
20141028,234,242,234,242
20141027,236,236,232,233
20141024,230,236,228,236
20141022,230,230,226,229
20141021,225,229,224,228
20141020,223,226,223,224
20141017,224,224,217,220
20141016,225,227,219,220
20141015,227,229,226,226
20141014,220,227,220,225
20141013,216,222,213,220
20141010,222,223,218,219
20141009,225,228,222,223
20141008,225,225,221,224
20141007,230,231,226,227
20141006,239,239,229,229
20141003,236,239,234,237
20141002,237,240,235,236
20141001,238,240,236,238
20140930,240,243,239,239
20140929,243,245,240,242
20140926,245,245,241,243
20140925,244,245,241,245
20140924,246,247,240,244
20140923,244,246,241,244
20140922,239,248,238,242
20140919,239,240,237,239
20140918,236,239,235,238
20140917,235,237,233,235
20140916,239,239,235,236
20140915,241,241,237,238
20140912,241,241,237,241
20140911,235,241,234,239
20140910,235,236,232,233
20140909,240,241,236,236
20140908,242,243,238,238
20140905,242,243,240,241
20140904,245,245,240,240
20140903,239,246,237,245
20140902,239,241,237,237
20140901,238,241,236,239
20140829,234,238,234,237
20140828,235,236,231,236
20140827,235,237,235,235
20140826,237,238,233,235
20140825,233,241,231,237
20140822,225,231,221,228
20140821,224,226,219,221
20140820,220,225,219,224
20140819,219,220,216,218
20140818,216,219,216,218
20140815,215,218,214,216
20140814,220,220,213,214
20140813,221,221,215,219
20140808,216,220,215,220
20140807,216,220,214,219
20140806,215,215,213,213
20140805,217,218,213,216
20140804,216,217,213,215
20140801,210,216,208,215
20140731,217,219,213,214
20140730,215,220,212,219
20140729,217,218,214,214
20140728,217,221,215,216
20140725,220,222,216,217
20140724,227,227,220,222
20140723,227,229,224,226
20140722,229,230,219,221
20140721,221,231,221,229
20140718,211,220,209,218
20140717,209,210,206,210
20140716,202,210,201,208
20140715,199.5,203,198.5,201
20140714,201,201,198.5,198.5
20140710,197,200,196.5,200
20140709,198,198.5,196,196
20140708,197.5,199,196.5,197.5
20140707,196.5,196.5,194,194.5
20140704,197,197.5,195.5,195.5
20140703,197,198,196.5,197
20140702,198.5,199,196.5,197
20140630,199,199.5,197.5,198.5
20140627,197,200,197,198.5
20140626,199,199.5,197.5,198
20140625,198.5,201,198,199.5
20140624,199,200,197,199
20140623,205,206,200,200
20140620,200,204,199,203
20140619,195.5,201,195,199
20140618,200,200,194,194
20140617,200,202,199,199.5
20140616,200,201,197.5,199
20140613,199,204,198.5,199.5
20140612,196.5,197.5,195,197.5
20140611,197,197.5,194,196
20140610,196.5,197.5,194.5,197.5
20140609,196.5,197.5,195.5,196
20140606,196,198,195.5,195.5
20140605,195.5,196.5,194.5,195
20140604,195.5,198,194,195
20140603,192.5,194.5,189.5,194.5
20140602,188,192,188,190.5
20140530,184,187.5,183.5,187.5
20140529,184.5,186.5,182.5,183.5
20140528,181.5,186,181,184
20140527,181,182.5,179.5,180.5
20140526,185,185,180.5,181
20140523,183.5,186,183.5,185.5
20140522,192,193,189,190
20140521,187,191.5,187,190
20140520,191.5,192.5,186.5,188
20140519,195.5,195.5,194,195
20140516,191.5,196,191,195.5
20140515,191,193.5,191,193
20140514,190,192,189.5,191.5
20140512,191,191.5,189.5,190
20140509,190,192,189.5,191.5
20140508,192.5,194,188,190
20140507,192.5,193.5,191.5,192.5
20140506,197,198,194,194
20140502,195.5,197,195,197
20140430,194,195.5,193.5,195
20140429,194,196,192.5,195.5
20140428,194.5,195.5,192.5,193.5
20140425,196.5,198.5,194.5,194.5
20140424,196,198,193.5,196.5
20140423,193,197.5,192.5,197.5
20140422,193,193.5,191.5,193
20140421,192,193.5,191.5,192.5
20140418,194.5,195,192,192
20140417,194,196,194,194
20140416,193,195.5,192.5,194.5
20140411,192,195,191.5,195
20140410,193,193.5,192,192
20140409,191,193.5,191,191
20140408,194,196,190,190
20140404,198,198,195,195
20140403,197.5,199.5,196,198
20140402,194,200,194,197.5
20140401,194,194,192.5,193.5
20140331,192.5,194,191.5,194
20140328,191,193,189,192
20140327,192.5,194,189,190.5
20140326,192,194,191.5,194
20140325,189,192,188,190.5
20140324,191.5,191.5,188,188
20140321,193,194.5,191,192.5
20140320,193,194,191.5,193
20140319,194.5,195.5,192,193.5
20140318,197,197,192,193
20140317,197,197.5,195,197
20140314,195.5,198,195.5,195.5
20140313,195,198.5,194.5,196.5
20140312,191,196,191,193
20140311,190,194.5,190,193
20140310,193,193.5,187.5,188.5
20140307,193.5,196.5,193.5,193.5
20140306,196.5,197.5,193.5,193.5
20140305,201,202,196,196.5
20140304,194,201,194,199
20140303,189,195,189,193.5
20140228,187,187.5,185,187.5
20140227,184.5,189,184,186.5
20140226,185,186.5,183.5,184
20140225,183.5,186.5,182.5,184.5
20140224,182.5,184,181,182.5
20140221,183,185.5,181.5,184
20140220,186,187.5,182.5,183
20140219,186,189.5,186,188
20140218,183,187.5,181,186.5
20140217,179,185,179,183
20140213,176.5,178,174.5,176
20140212,173.5,177.5,173,176.5
20140211,171.5,173.5,171,172.5
20140210,175,175.5,171.5,171.5
20140207,177.5,177.5,173.5,174
20140206,175,176.5,174.5,176
20140205,176,177.5,172,173.5
20140204,174.5,176,174,175
20140203,174,178,173,176.5
20140131,174.5,176,171.5,171.5
20140130,172,175,171.5,174
20140129,170.5,176.5,170.5,173
20140128,176.5,177,168.5,169
20140127,172,178.5,171,175
20140124,167.5,177,166,175.5
20140123,159.5,167.5,159.5,167.5
20140122,159.5,161.5,158,160
20140121,161,165,160.5,163
20140120,161.5,162,158,158
20140117,165.5,167,160,161
20140116,168,170.5,163.5,166
20140115,163,168.5,162,166
20140114,152,162.5,151,159.5
20140113,143,153,143,153
20140110,144,146,142.5,145.5
20140109,147,149.5,145.5,146
20140108,150.5,151,145,145
20140107,144,151.5,143.5,151.5
20140106,144,144,137.5,142.5
20140103,143,149.5,142.5,145
20140102,160.5,160.5,146.5,146.5
20131227,157.5,159.5,154,158.5
20131226,166.5,167.5,158,158
20131225,166.5,167.5,165.5,165.5
20131224,165.5,170.5,165,165
20131223,170.5,171.5,165,165.5
20131220,178,178,172.5,172.5
20131219,179.5,179.5,177.5,178
20131218,179.5,185,179,182.5
20131217,172,179,171.5,178.5
20131216,174,174.5,170,170.5
20131213,180,180.5,175,175
20131212,182,182,179,179
20131211,182,185,182,183
20131209,182,184,178.5,182.5
20131206,185.5,186,178,178.5
20131204,186,188,184,184
20131203,182.5,190,182.5,186
20131202,186,186,181,183
20131129,188,189.5,187.5,187.5
20131128,191,193.5,188.5,189
20131127,188.5,191,188,190
20131126,192.5,194,186.5,187
20131125,189,195,188,192.5
20131122,198,199.5,191,192
20131121,205,205,198.5,198.5
20131120,210,212,207,208
20131119,210,211,208,209
20131118,211,212,208,209
20131115,212,212,207,209
20131114,212,212,209,210
20131113,205,210,205,210
20131112,210,212,205,205
20131111,194,205,193,205
20131108,203,205,200,202
20131107,204,208,202,204
20131106,200,209,197,204
20131105,192,200,192,200
20131104,199,200,189,189
20131101,210,210,206,206
20131031,211,215,209,212
20131030,215,215,208,213
20131029,213,216,212,214
20131028,217,218,211,212
20131025,218,218,214,214
20131024,210,221,210,216
20131022,206,213,204,213
20131021,216,217,206,206
20131018,224,224,215,217
20131017,223,225,219,225
20131016,208,220,207,220
20131015,207,211,204,209
20131014,198.5,207,196.5,206
20131011,202,202,198,198
20131010,196.5,200,196.5,200
20131009,196,197.5,194,195.5
20131008,193.5,198,192,197.5
20131007,196.5,200,192.5,193
20131004,196.5,198,193.5,197
20131003,192,198,192,198
20131002,193,193,188.5,190
20131001,188.5,192.5,187.5,190.5
20130930,183.5,188.5,182.5,188.5
20130927,192,193.5,186,187.5
20130926,185.5,193,184.5,190.5
20130925,182.5,186,181,186
20130924,190,191,181,181
20130923,198.5,198.5,192,193
20130920,198,202,198,200
20130919,203,205,198.5,198.5
20130918,191.5,194.5,190,193.5
20130917,191.5,195,190.5,193.5
20130916,185,191.5,184,189.5
20130913,179,183,179,180
20130912,184,186.5,180,180
20130911,184.5,185,178.5,184
20130910,180.5,185,180,184
20130909,170,178,169,178
20130906,163.5,167.5,163,166
20130905,163,166.5,161.5,164
20130904,164.5,166,161,161.5
20130903,168.5,170,163,163
20130902,166,169,165,169
20130830,158.5,163.5,158.5,163.5
20130829,150.5,157,149.5,157
20130828,150,155,142.5,149.5
20130827,162,162,154.5,155
20130826,166,168,164.5,164.5
20130823,170.5,172,165.5,166
20130822,167.5,172.5,167,168
20130821,171,174,169.5,169.5
20130820,170,173.5,166.5,171
20130819,177,177.5,173,173
20130816,182,182.5,178,178.5
20130815,182,185.5,181.5,183
20130814,181.5,184,178,182
20130813,183,185,181,182
20130809,185,186,182.5,183.5
20130808,186,187.5,183.5,183.5
20130807,181,185.5,181,183.5
20130806,180,185.5,180,181.5
20130805,176,184,173.5,184
20130802,183,183,177.5,178.5
20130801,180.5,184,177.5,182
20130731,182,183.5,174.5,178
20130730,190,190,179,180
20130729,190,190.5,184.5,188.5
20130726,185.5,192,183,190
20130725,192,193,183.5,184
20130724,193.5,198.5,193,193.5
20130723,194,194,189,192
20130719,192,198.5,189.5,194.5
20130718,183,191.5,182.5,188
20130717,173.5,180.5,172,178
20130716,172.5,173.5,168.5,173.5
20130715,172.5,173.5,169,173
20130712,172,173.5,168.5,170.5
20130711,163,170,162.5,170
20130710,156.5,160,154,158
20130709,163,163,157,157
20130708,165,166.5,161,161
20130705,168.5,170,165.5,168
20130704,169,169,163,166.5
20130703,166,168,163.5,168
20130702,169.5,172.5,164,165
20130628,161.5,174,161.5,168.5
20130627,160,162,153.5,157
20130626,146,154,143,154
20130625,141,143,128,139.5
20130624,148,150,137,137
20130621,152,153.5,145.5,149
20130620,152,157,151,155
20130619,155.5,157.5,153,155.5
20130618,151.5,159,151,153.5
20130617,155,156,150.5,151
20130614,154,157.5,151.5,153
20130613,152,154,138,148
20130612,155.5,164,155.5,158
20130611,167.5,167.5,156.5,158.5
20130610,166,169,166,168.5
20130607,156.5,166,156,163.5
20130606,156,156.5,152,155
20130605,159.5,167,158.5,159
20130604,164,166,155.5,161.5
20130603,182.5,183,166,166
20130531,183.5,185.5,177,185
20130530,184.5,185.5,180,181
20130529,178,188,178,185
20130528,169.5,178,169.5,178
20130527,167,167.5,164,167.5
20130523,168,169.5,159,167.5
20130522,175.5,176.5,167.5,170
20130521,170,176,170,173.5
20130520,163,167,162,167
20130517,159,164.5,157.5,160.5
20130516,156,162,155,160.5
20130515,153,155,151.5,155
20130514,152,154,151.5,152
20130513,151,152.5,150,151.5
20130510,148.5,150.5,147,148
20130509,153,153,147.5,147.5
20130508,153,153,150,152
20130507,153.5,153.5,151,152
20130503,150,152.5,149.5,151.5
20130502,148.5,149.5,144.5,148
20130430,146,147.5,143,144.5
20130429,140,146,139,144
20130426,135,139.5,133.5,138
20130425,134.5,134.5,131.5,133.5
20130424,134,136.5,134,134.5
20130423,137.5,139.5,133,133
20130422,132,137,131,137
20130419,133.5,135.5,131,131.5
20130418,135,136.5,130,136.5
20130417,125,130,125,130
20130412,122,124,121,123.5
20130411,113,121,113,120
20130410,111.5,113.5,111,112
20130409,112.5,114,110.5,112.5
20130405,120,120,115.5,116
20130404,118.5,122,118,122
20130403,124,124,120,121.5
20130402,122,123,121,123
20130401,121.5,122.5,120,120.5
20130329,123.5,124,120.5,121.5
20130328,123,123,121,122.5
20130327,122.5,123,121,122
20130326,116,122.5,116,120
20130325,114,117.5,114,117.5
20130322,117,118,110.5,115
20130321,123,124,119,119
20130320,118.5,123,118.5,123
20130319,122,124.5,120,120.5
20130318,121,122.5,121,121.5
20130315,125,125,121,121.5
20130314,124,124,122,124
20130313,125,125,122,122
20130312,123.5,127,123.5,125
20130311,123.5,126,123,123
20130308,122,122.5,121,122.5
20130307,118,123,117.5,121
20130306,118,118.5,117,118
20130305,117,118,116.5,117.5
20130304,116.5,117.5,116,117
20130301,119.5,120,115.5,116
20130228,116,118.5,116,118
20130227,117,118,115.5,115.5
20130226,116.5,116.5,113.5,116
20130222,116,117.5,114.5,114.5
20130221,117,118,112.5,115
20130220,115,116.5,114,116
20130219,117,118,112.5,114
20130218,118,120,117,117.5
20130215,118,118.5,115.5,117
20130214,115.5,118,115,116.5
20130213,113,114,112,113.5
20130212,112,115,111,111.5
20130211,115.5,116,111,113.5
20130208,112.5,115.5,110,114
20130207,107.5,111,106.5,111
20130206,106,109,105.5,106.5
20130205,104,105.5,103.5,105
20130204,105.5,106.5,104,104.5
20130201,105.5,106.5,105,106
20130131,108,108,104,105.5
20130130,110.5,111,108,109.5
20130129,107,111,107,110.5
20130128,108,108,104.5,106
20130125,111,111,107,108
20130124,109.5,112,107,111.5
20130123,100.5,106.5,100,106.5
20130122,100.5,102.5,99,99
20130121,97.75,103,97.5,100.5
20130118,97.25,97.75,96.75,97.25
20130117,97,98,96,96.5
20130116,98.25,98.5,96.75,97
20130115,97.25,98.25,96.5,98
20130114,95.25,97,95.25,96.75
20130111,96.25,96.75,95,95.5
20130110,96,99,95.25,96.25
20130109,96.25,96.25,95,96.25
20130108,95.5,96.5,95.25,96.25
20130107,94.5,96.5,94.25,95.25
20130104,94.5,95,93,93.75
20130103,97.25,97.5,94.75,95.25
20130102,97.5,97.5,95.5,96.5
20121228,97.5,97.5,95,97.25
20121227,96.75,98,96.25,97.5
20121226,97.75,97.75,96.25,97
20121225,95.5,97.75,95.5,97.25
20121224,93.75,96.25,93.5,95.75
20121221,93.25,93.5,92.5,93.25
20121220,92.5,93.5,91.5,93
20121219,91.75,92.25,91,92
20121218,93.5,93.75,91.25,93
20121217,93.5,94.25,93,93
20121214,93.75,94,92.5,93
20121213,95,95.25,93.5,93.75
20121212,92,94.75,91.5,94.75
20121211,92,92,91,91.25
20121207,90,90.5,89.75,90.25
20121206,91,91.5,88.75,89
20121204,92.75,93.25,89.5,91
20121203,95.75,95.75,92.75,93.5
20121130,93,96,92.5,94
20121129,92,93,91.75,93
20121128,90,91.5,90,90.5
20121127,91,91.5,89.75,90.25
20121126,90.75,91.25,90,90.5
20121123,87.5,91,86.75,90.25
20121122,86.25,87.25,86,87
20121121,86.25,87.25,85.75,85.75
20121120,88,88,85.75,86
20121119,86.25,87.25,85.75,87.25
20121116,84.25,86.25,83.75,86.25
20121115,85.25,85.25,84,85
20121114,84.25,86,83.75,84.5
20121113,84.75,84.75,83.25,83.5
20121112,85.25,86,85,85
20121109,84.5,85.75,84.25,84.75
20121108,81.75,84.25,81.5,84.25
20121107,81.75,83,81.75,82
20121106,82.25,82.5,81.75,81.75
20121105,82.25,83.5,81,82.5
20121102,83,84,82.5,82.75
20121101,82.5,83.5,82.25,82.25
20121031,82.25,82.75,81.75,82
20121030,81,82.5,80,82.25
20121029,82,82.75,79,79
20121026,83.5,83.75,81.25,83
20121025,86,86.25,83.75,84.5
20121024,86.5,88.25,85.25,85.75
20121022,85,86.5,85,86
20121019,86,87,85.25,85.5
20121018,84,86,83.75,85.75
20121017,83.25,84,82.75,83.25
20121016,82.25,83.75,81.5,83
20121015,84,84.25,81.5,82
20121012,85,85,83.5,84
20121011,84.5,85.25,84,84.5
20121010,85,85.25,83.75,84
20121009,87.75,87.75,84.25,84.25
20121008,86.75,88,85.75,87
20121005,85.75,86.25,85.5,86
20121004,84,87.25,83.75,85.25
20121003,82,84,81.75,83.75
20121002,81,82.75,80.5,82.75
20121001,80,81.25,79.75,80.5
20120928,79.25,79.5,78.5,79.5
20120927,77,79.75,76.75,79.25
20120926,77,77.75,75.75,77
20120925,76,77.5,76,77.5
20120924,74.5,76.25,74.5,76
20120921,75.75,76,74.5,74.5
20120920,75,75.25,74.25,75.25
20120919,72.5,75,72.25,75
20120918,72.25,73.25,72,72.75
20120917,74,74.25,72,72.25
20120914,76,76,73.25,74
