date,open,high,low,close
20141107,9.75,9.75,9.15,9.2
20141106,9.85,9.85,9.7,9.75
20141105,9.8,9.85,9.75,9.8
20141104,9.75,9.85,9.75,9.8
20141103,9.8,9.95,9.75,9.75
20141031,9.8,9.85,9.75,9.75
20141030,9.95,9.95,9.8,9.8
20141029,9.85,9.95,9.8,9.95
20141028,9.85,9.9,9.75,9.8
20141027,10,10,9.85,9.85
20141024,9.75,9.95,9.7,9.95
20141022,9.8,9.85,9.7,9.75
20141021,9.8,9.8,9.7,9.75
20141020,9.85,9.95,9.65,9.75
20141017,9.8,9.85,9.65,9.8
20141016,9.7,10.1,9.7,9.8
20141015,9.75,9.95,9.75,9.8
20141014,9.65,9.8,9.65,9.7
20141013,9.65,9.8,9.65,9.65
20141010,9.7,9.9,9.7,9.8
20141009,9.85,9.95,9.8,9.9
20141008,9.5,9.85,9.4,9.85
20141007,9.3,9.7,9.3,9.65
20141006,9.85,9.9,9.5,9.5
20141003,9.85,10,9.8,9.85
20141002,10.2,10.2,9.9,10
20141001,10.2,10.3,10.2,10.2
20140930,10.4,10.4,10.2,10.2
20140929,10.4,10.4,10.2,10.4
20140926,10.4,10.4,10.3,10.3
20140925,10.5,10.5,10.2,10.4
20140924,10.5,10.5,10.3,10.5
20140923,10.3,10.5,10.3,10.4
20140922,10.3,10.4,10.3,10.3
20140919,10.5,10.5,10.2,10.3
20140918,10.4,10.7,10.3,10.4
20140917,10.2,10.5,10.1,10.4
20140916,10.3,10.5,10.2,10.2
20140915,10.3,10.5,10.3,10.3
20140912,10.2,10.7,10.2,10.4
20140911,10.2,10.3,10,10.2
20140910,10.2,10.3,9.95,10.2
20140909,10.5,10.6,10.2,10.4
20140908,10.5,10.5,10.1,10.5
20140905,10.5,10.6,10.3,10.4
20140904,10.8,10.9,10.4,10.5
20140903,10.6,10.9,10.4,10.8
20140902,10.2,10.6,10.1,10.6
20140901,10,10.3,9.85,10.1
20140829,9.6,10.1,9.55,9.95
20140828,9.6,9.7,9.5,9.6
20140827,9.45,9.7,9.4,9.6
20140826,9.4,9.5,9.4,9.4
20140825,9.45,9.5,9.4,9.4
20140822,9.55,9.6,9.4,9.45
20140821,9.35,9.65,9.3,9.5
20140820,9.4,9.4,9.25,9.3
20140819,9.25,9.45,9.25,9.3
20140818,9.55,9.55,9.2,9.3
20140815,9.65,9.65,9.5,9.55
20140814,9.65,9.7,9.55,9.55
20140813,9.65,9.7,9.55,9.6
20140808,9.5,9.75,9.5,9.55
20140807,9.55,9.8,9.45,9.65
20140806,9.55,9.6,9.35,9.35
20140805,9.1,9.6,9.1,9.5
20140804,9.05,9.15,9.05,9.05
20140801,9,9.1,9,9.05
20140731,9.05,9.25,9.05,9.15
20140730,9.1,9.3,9,9.15
20140729,9.4,9.45,9.2,9.2
20140728,9.45,9.5,9.25,9.35
20140725,8.9,9.5,8.9,9.4
20140724,8.95,9.05,8.9,9
20140723,8.85,9.1,8.8,9
20140722,9.15,9.15,8.9,8.9
20140721,9.15,9.2,9.05,9.15
20140718,9.05,9.15,8.9,9
20140717,9.15,9.2,9,9.1
20140716,9.25,9.25,9.1,9.1
20140715,9,9.3,8.65,9.15
20140714,8.5,9.1,8.5,8.85
20140710,8.2,8.25,8.15,8.15
20140709,8.25,8.25,8.05,8.15
20140708,8.2,8.3,8.15,8.25
20140707,8.2,8.25,8.2,8.2
20140704,8.25,8.3,8.2,8.2
20140703,8.35,8.35,8.2,8.25
20140702,8.3,8.3,8.2,8.3
20140630,8.3,8.45,8.25,8.25
20140627,8.2,8.3,8.2,8.25
20140626,8.3,8.35,8.2,8.2
20140625,8,8.45,7.95,8.15
20140624,8,8.05,7.9,8.05
20140623,8.1,8.1,7.9,8.05
20140620,8.1,8.15,8,8.1
20140619,7.85,8.1,7.85,8.05
20140618,8.2,8.2,7.85,7.85
20140617,8.25,8.3,8.1,8.2
20140616,8.2,8.25,8.15,8.25
20140613,8.2,8.3,8.15,8.2
20140612,8.2,8.25,8.15,8.2
20140611,8.25,8.35,8.15,8.25
20140610,8.1,8.3,8.05,8.3
20140609,7.75,8.1,7.75,8.05
20140606,7.8,7.8,7.7,7.75
20140605,7.75,7.8,7.7,7.75
20140604,7.8,7.9,7.6,7.75
20140603,7.9,7.95,7.7,7.7
