date,open,high,low,close
20141107,44.5,44.75,44,44.5
20141106,44.75,45,44.5,45
20141105,45.5,45.5,44.25,44.75
20141104,45.75,45.75,45,45.25
20141103,46,46.5,45.75,45.75
20141031,44.75,45.75,44.5,45.5
20141030,44,44.75,44,44.75
20141029,43.75,44.25,43.75,44
20141028,44,44,43.25,43.5
20141027,43,44.5,43,43.75
20141024,43.25,43.5,43,43.25
20141022,43.75,44,43.25,43.25
20141021,44,44.25,43,43.5
20141020,44.5,44.75,43.75,44
20141017,44.5,44.75,44,44
20141016,44.75,45,44.5,44.5
20141015,44.75,45.5,44.5,44.75
20141014,44.5,45.25,44.25,44.25
20141013,44.25,44.5,44,44.25
20141010,44.25,44.5,44,44.25
20141009,44.25,44.75,44.25,44.5
20141008,44.75,45,44.25,44.25
20141007,45,45,44.25,45
20141006,45.75,45.75,44.25,45
20141003,45.75,45.75,45,45.25
20141002,46,46,45,45.75
20141001,46.5,46.5,45.5,45.75
20140930,45.75,46.25,45.75,46.25
20140929,47.5,47.5,46,46
20140926,46,47.25,46,47.25
20140925,45.75,46.25,45.75,46.25
20140924,46,46,45.5,45.75
20140923,46.25,46.25,46,46
20140922,46.25,46.5,46,46
20140919,46.25,46.75,46,46
20140918,46.5,46.75,46.25,46.25
20140917,47,47.25,46,46.75
20140916,48,48,47,47
20140915,49,49,47.75,47.75
20140912,47.5,48.5,47,48.5
20140911,49,49,47.5,47.5
20140910,49.5,49.5,48.25,48.75
20140909,48,50,48,49.5
20140908,47.75,48.25,47.75,47.75
20140905,47.25,47.5,47,47.5
20140904,47.25,47.75,47,47.25
20140903,47,47.5,46.75,47.25
20140902,47.5,47.75,47,47
20140901,48.25,48.5,47.5,47.5
20140829,47.75,48.25,47.25,48
20140828,48.75,49,47.75,48
20140827,49,49.25,48.5,48.5
20140826,49,50,48.5,48.75
20140825,48.5,49.25,48.5,48.75
20140822,48.25,49,48,48.25
20140821,49,49.25,47.75,48.5
20140820,48.5,49.5,48.5,49.5
20140819,51.5,52,49.5,50.5
20140818,51.75,52,50.75,51.5
20140815,54,54,52,52
20140814,54,54.5,53.75,54
20140813,55,55.5,53.25,55
20140808,54,56.5,53,56
20140807,57.25,57.25,55.5,55.5
20140806,55.5,57.5,55.25,56.75
20140805,55,56,55,55
20140804,54.5,55.75,54.5,54.75
20140801,55,56.5,54,54.75
20140731,56,58,55.5,56.25
20140730,57.75,58.25,54.75,56
20140729,59.25,60.5,57.75,58.5
20140728,57.5,60,57.5,58.5
20140725,54.75,56.75,54.25,56.25
20140724,55.25,55.25,53.5,54.5
20140723,55.25,55.5,53.25,54.75
20140722,57.25,57.5,54,55
20140721,54,57.5,54,56.75
20140718,51.25,53.5,50.5,53.5
20140717,52,52.25,51.25,51.5
20140716,49,52,48.75,52
20140715,49.25,49.5,48.25,48.75
20140714,49,50,48.75,49.25
20140710,48.25,49.5,47.75,48.75
20140709,45.25,48,45.25,47.75
20140708,45.5,45.75,45.5,45.5
20140707,45.5,45.75,45.25,45.5
20140704,46,46,45.5,46
20140703,46.25,46.25,45.75,46
20140702,46.75,46.75,46,46
20140630,47,47,46.75,47
20140627,46.5,47,46.25,46.75
20140626,45.75,46.5,45.25,46.25
20140625,45,46,45,45.75
20140624,45.75,46,45.25,45.5
20140623,46.25,46.25,45.75,45.75
20140620,46.25,46.25,45.75,46
20140619,46.25,46.5,46,46.25
20140618,47,47,46,46
20140617,47.5,47.5,46.5,46.75
20140616,47.5,47.75,46.75,47.25
20140613,46.25,47.5,46.25,47
20140612,46.25,47,46,46.25
20140611,46.75,47.5,46.25,46.25
20140610,46,47,46,46.5
20140609,46.5,46.5,45.75,45.75
20140606,46.25,46.5,45.75,46.25
20140605,47,47,46,46
20140604,47.25,47.5,46.5,46.5
20140603,47.5,48.25,46.75,46.75
20140602,47.25,47.5,47,47
20140530,46,47.5,46,46.5
20140529,46,46.5,45.5,45.75
20140528,45.75,47.25,45.25,45.75
20140527,44.75,46,44.75,45.5
20140526,45,45,44.25,44.75
20140523,43.75,45,43.25,45
20140522,44.5,45.25,44.5,44.75
20140521,43,44.25,43,44.25
20140520,43.5,43.75,43,43
20140519,44,44,43.75,44
20140516,44,44.5,43.75,44
20140515,44.5,44.75,43.75,44
20140514,44.5,45.5,44.5,44.75
20140512,44.5,45.25,44.5,44.75
20140509,44,45,44,45
20140508,46,46,43.75,43.75
20140507,46,46.75,45.75,46
20140506,47,47.25,46.75,46.75
20140502,47.75,47.75,47.25,47.5
20140430,47.5,48.25,47.5,47.75
20140429,47.25,47.75,47.25,47.5
20140428,47,48,46.5,47.25
20140425,48.25,48.5,47.5,47.5
20140424,48.75,49,48.5,48.5
20140423,49.5,49.5,48.75,48.75
20140422,49.5,49.5,49,49
20140421,49.25,49.5,49,49.25
20140418,49.75,50,49,49
20140417,50.5,50.5,49.25,49.5
20140416,49.25,50,49,50
20140411,49.25,49.25,48.75,48.75
20140410,48.75,49.25,48.5,49.25
20140409,48.5,49,48.25,48.25
20140408,49,49.25,48.25,48.5
20140404,49,49.5,49,49
20140403,49,49.75,49,49.25
20140402,49.75,49.75,49.25,49.25
20140401,49.5,49.75,49,49.75
20140331,49.75,50,48.75,49
20140328,48.75,49.75,48.5,49.75
20140327,49.25,49.25,48.5,49
20140326,48.75,49.25,48.5,49.25
20140325,48.75,48.75,47.75,48.5
20140324,48.75,48.75,48,48
20140321,48,48.5,47.5,48.5
20140320,47.5,47.75,47,47.75
20140319,49,49.5,47.75,47.75
20140318,50,50,49,49
20140317,49.25,50.25,48.75,49.75
20140314,49.25,49.5,48.75,49.25
20140313,49,50,49,49.75
20140312,50.75,51.25,49,49
20140311,50.75,51.25,50.5,50.75
20140310,49,50,48.25,50
20140307,48.25,49.25,48.25,48.75
20140306,49,49.5,48.25,48.25
20140305,49.25,49.5,48.25,48.5
20140304,48,49,47.75,49
20140303,48,48.25,47.5,47.5
20140228,48,48.25,47.5,47.5
20140227,46.75,48,46.75,48
20140226,46.25,47.25,46.25,46.75
20140225,48,48.25,46.25,46.5
20140224,47.25,47.75,47.25,47.25
20140221,48.5,48.75,47.75,47.75
20140220,49.75,49.75,48.25,49
20140219,49,50.5,48.75,50
20140218,47.25,49.25,47.25,48.5
20140217,47.25,48,47.25,47.75
20140213,47.75,47.75,46.75,46.75
20140212,47.75,47.75,47,47.5
20140211,48,48.25,47.25,47.25
20140210,47.75,48.25,47.25,48
20140207,47,48.25,46.75,47.25
20140206,46.25,47,46,46.75
20140205,46,46.25,45,45.75
20140204,45.5,46,45,45.5
20140203,45.5,46.5,45.5,46.25
20140131,46,46,45,45.25
20140130,45,45.75,44.5,45.5
20140129,44.75,45.5,44.5,44.75
20140128,46,46.75,44.5,44.75
20140127,46.5,46.5,46,46
20140124,47.75,47.75,46.75,47.25
20140123,46.5,47.75,46.5,47.25
20140122,46.25,47,46.25,46.75
20140121,47.25,48.5,46.25,46.5
20140120,46.5,47.5,46.5,47
20140117,47.25,47.5,46.25,46.5
20140116,46.75,47.25,46,46.75
20140115,46.5,47,45.75,45.75
20140114,46,47.5,45.5,47
20140113,44,45.75,43.5,45.5
20140110,43.5,44.5,43.25,44
20140109,44.5,45.5,43.5,44.25
20140108,44.75,46,43.75,44.25
20140107,44,45,44,44.75
