date,open,high,low,close
20141107,99.25,100,98.75,100
20141106,99,100.5,98.75,100.5
20141105,101.5,102,98,100
20141104,98.75,101,97.75,101
20141103,103,103,96.75,98
20141031,98.75,100,97.75,100
20141030,98.25,99,97.25,98.25
20141029,97,99.25,96.5,97.5
20141028,96.75,97,95.5,96
20141027,99.75,99.75,97.75,98
20141024,103,103,99,99.5
20141022,94.5,97.5,94.5,97.25
20141021,94.5,94.75,94,94.5
20141020,96,99,93.75,94.75
20141017,93,97,93,95.5
20141016,93,95.5,92.5,92.75
20141015,95,95,92.5,92.5
20141014,92.75,94.5,92.75,92.75
20141013,93,93.75,92.25,92.25
20141010,94,94.5,93.25,94.5
20141009,93.75,95.5,93,94.25
20141008,92.5,93.75,92.5,93.5
20141007,96,96,93,93.25
20141006,97.5,99.75,94,94.75
20141003,95.25,96.25,95,96.25
20141002,93,94.5,92.75,94
20141001,93.75,94.75,93,93.75
20140930,92.25,96.25,91.5,95.25
20140929,92.25,95,90,91.5
20140926,95,95,93.5,94
20140925,95,95.25,94.75,95
20140924,94,96.5,93.5,95.25
20140923,91.75,92,91.25,91.5
20140922,93,93.75,91.75,92.25
20140919,94.75,95,92.75,92.75
20140918,92,97.5,91.75,95
20140917,91.75,93,91.5,91.5
20140916,91.5,93.5,91.5,91.5
20140915,93,93,91.25,91.25
20140912,93,93.25,91.75,92.25
20140911,92.75,93.75,92.25,93
20140910,92.5,93.5,92.25,92.75
20140909,92.75,93.5,92.25,93.25
20140908,91.75,93.25,91.25,92.75
20140905,92.5,92.75,90.75,92.5
20140904,92.5,92.75,90.75,91.75
20140903,90.5,92.25,90.5,92
20140902,89.25,91.5,89.25,90.25
20140901,89,89.25,88.5,89
20140829,88,89.75,87.5,87.5
20140828,89.75,90,88.25,88.75
20140827,88.75,90,88.25,89.75
20140826,89.75,89.75,88.25,88.75
20140825,90,90.25,89.75,89.75
20140822,90,91,89.25,90.5
20140821,91,91,88.25,90
20140820,91.5,92,90.25,92
20140819,91.5,91.75,90,90.5
20140818,90.25,90.25,89.25,90.25
20140815,91,91,89.75,90.25
20140814,91.75,93,91,91
20140813,89,91.5,88,91.5
20140808,89.25,89.25,86.25,86.25
20140807,88.25,89.5,87,89.25
