date,open,high,low,close
20141107,19.7,19.7,19,19
20141106,19.9,19.9,19.5,19.5
20141105,20.1,20.3,19.7,19.7
20141104,20.6,20.8,19.9,20
20141103,21.4,21.5,20.4,20.4
20141031,21.4,21.7,21.3,21.3
20141030,21.8,21.8,21.3,21.4
20141029,22.2,22.3,21.7,21.7
20141028,22.1,22.2,21.9,22
20141027,21.9,22.3,21.8,22.1
20141024,22,22.1,21.5,21.8
20141022,21.6,21.8,21.5,21.8
20141021,21.3,21.4,20.8,20.9
20141020,22.2,22.4,21,21.1
20141017,21.9,22,21.7,21.9
20141016,22.5,22.6,21.9,21.9
20141015,22.8,23,22.5,22.6
20141014,22,22.8,22,22.8
20141013,21.9,22.2,21.6,22.2
20141010,22.2,22.3,21.8,21.8
20141009,22.8,22.8,22.3,22.5
20141008,22.2,22.7,22.1,22.7
20141007,22.5,22.7,22.4,22.4
20141006,23.2,23.2,22.5,22.5
20141003,22.9,23.3,22.5,23
20141002,23.4,23.4,22.9,22.9
20141001,24,24.1,23.5,23.5
20140930,24.3,24.5,24,24
20140929,24.4,24.5,24.1,24.3
20140926,24.3,24.5,24,24.2
20140925,24.8,25,24.3,24.3
20140924,25,25.25,24.8,24.8
20140923,24.9,25.25,24.9,25.25
20140922,25,25.25,24.8,24.8
20140919,26,26,25,25
20140918,25.75,26,25.5,26
20140917,25.75,26,25.25,26
20140916,25.5,26,25.25,25.75
20140915,26,26,25.5,25.5
20140912,26.25,26.5,25.75,26
20140911,27,27,26.5,26.5
20140910,27.25,27.25,26.5,27
20140909,27.5,27.5,27,27
20140908,27.75,28,27.25,27.5
20140905,27,28,26.75,27.75
20140904,27,27,26.5,26.75
20140903,27,27.25,27,27
20140902,27.5,27.5,27,27.25
20140901,27.5,27.75,26.75,27.25
20140829,25.75,27.5,25.75,27.25
20140828,25,25.25,24.9,25.25
20140827,24.9,25.25,24.9,25
20140826,25,25.25,24.9,25
20140825,25,25.5,24.9,25
20140822,26,26,25.5,25.5
20140821,25.75,26,25.5,25.5
20140820,25.25,25.5,25,25.25
20140819,26,26,25.25,25.25
20140818,26.5,27.25,25.75,26
20140815,25.75,26.25,25.5,26
20140814,25.5,25.5,25,25.25
20140813,24.6,25.25,24.5,25
20140808,24.5,24.5,24,24.1
20140807,23.7,24.6,23.6,24.5
20140806,23.7,23.9,23.5,23.5
20140805,24,24.3,23.8,23.9
20140804,23.6,23.9,23.2,23.7
20140801,23.5,23.7,23.3,23.6
20140731,22.8,24.1,22.7,23.9
20140730,22.5,22.8,22.5,22.7
20140729,22.7,22.8,22.6,22.8
20140728,22.7,22.9,22.6,22.7
20140725,23.2,23.2,22.7,23
20140724,22.7,23.2,22.6,23.2
20140723,21.7,22.4,21.6,22.4
20140722,22.1,22.1,21.3,21.5
20140721,22.4,22.6,21.9,22
20140718,22.7,22.9,22.3,22.4
20140717,23.6,23.6,22.8,22.9
20140716,23.9,24.1,23.6,23.7
20140715,24.5,24.5,23.9,24.1
20140714,25,25,24.5,24.5
20140710,24.8,25.25,24.8,25
20140709,24.9,24.9,24.7,24.8
20140708,24.9,25,24.7,24.9
20140707,25,25,24.9,24.9
20140704,25,25.25,24.9,25
20140703,25,25.25,24.8,25
20140702,24.8,25.25,24.6,25
20140630,24.9,25,24.4,24.4
20140627,25,25,24.9,24.9
20140626,25.5,25.5,24.9,25
20140625,25.25,25.5,25,25.5
20140624,25,25.25,25,25.25
20140623,26,26,25,25
20140620,25.5,26,25.5,25.75
20140619,25.25,25.5,25,25.5
20140618,25.25,25.25,24.9,25
20140617,25,25.5,24.9,25.25
20140616,25.75,25.75,24.8,25
20140613,26,26.25,25.5,26
20140612,26.5,26.5,25.75,26
20140611,27.25,27.5,26.75,26.75
20140610,27.5,27.75,26.75,26.75
20140609,27.75,28,27.25,27.25
20140606,28,28.25,27.25,27.25
20140605,27.75,28,27,27.75
20140604,26.25,27.25,26,27.25
20140603,26.25,26.25,26,26.25
20140602,26.25,26.25,25.75,25.75
20140530,25.25,26,25.25,25.75
20140529,25.25,25.25,24.9,25
20140528,25.25,25.75,24.9,25
20140527,26,26,25,25.25
20140526,26.25,26.5,25.75,26
20140523,25.75,26.5,25.5,26.25
20140522,26.5,26.75,26.25,26.5
20140521,26.5,26.75,26.25,26.5
20140520,26.25,26.75,26,26.5
20140519,26.5,27,26.5,27
20140516,26.5,26.75,26.25,26.5
20140515,26.25,27,25.5,26.75
20140514,24.9,26.25,24.8,25.75
20140512,25.5,25.75,24.7,25
20140509,26.5,26.5,25.75,26
20140508,26.75,27,26,26.75
20140507,26.75,27,26.25,27
20140506,28,28,27,27
20140502,28,28,27.5,27.5
20140430,27.5,28.25,27.5,27.5
20140429,27.25,28,26.75,28
20140428,26.75,27.25,26.75,27
20140425,27.5,27.5,26.75,26.75
20140424,27.5,27.75,27.25,27.5
20140423,27.25,27.25,26.75,27.25
20140422,27.25,27.5,26.75,26.75
20140421,27.75,27.75,27,27.25
20140418,27.75,28,27.75,27.75
20140417,26.75,28,26.5,28
20140416,26,26.75,25.75,26.5
20140411,27.25,27.25,25,26.25
20140410,26.5,27.5,26.5,27.25
20140409,26.5,26.75,26.25,26.5
20140408,27.25,27.75,26.75,26.75
20140404,26,27.5,25.75,27.5
20140403,27.25,27.75,26.25,26.5
20140402,28.5,28.5,27.5,27.5
20140401,28.5,28.75,28,28.5
20140331,27.25,28.5,27.25,28.25
20140328,27.25,27.5,27,27.25
20140327,27.5,28,27.25,27.75
20140326,28.25,28.75,27.75,28
20140325,29,29.25,28.5,28.5
20140324,28.75,29.75,27.75,29.25
20140321,28.5,29.25,28.25,28.5
20140320,27,27.75,26.5,27.75
20140319,26.5,28,26.5,27.5
20140318,27,27,26.25,26.25
20140317,27,27,26.25,26.75
20140314,27,27.5,26.75,27
20140313,27,27.25,26.25,27.25
20140312,27.75,28,27.25,27.75
20140311,26.25,28,26.25,28
20140310,26.5,27.25,26,26.25
20140307,27,28,26.75,27
20140306,25.5,27.25,25.25,27
20140305,25,25.25,24.6,25.25
20140304,26,26.25,24.6,24.7
20140303,25.75,26.25,25.25,25.75
20140228,25,25.75,24.8,25.5
20140227,25,25.75,24.9,25
20140226,25.25,25.25,24.6,24.9
20140225,24.2,25.25,24.1,25.25
20140224,22.9,24.3,22.9,24
20140221,22.8,23.2,22.4,23.2
20140220,23,23.3,22.2,22.8
20140219,23.7,23.7,23.1,23.2
20140218,23.1,23.9,22,23.6
20140217,23.5,23.7,22.9,23.1
20140213,22.3,23,22.1,23
20140212,21.5,22.5,21.4,22.3
20140211,21.7,21.7,21.4,21.4
20140210,21,21.7,21,21.7
20140207,21.1,21.2,20.6,20.6
20140206,20.6,21,20.6,21
20140205,21,21.1,20.5,20.5
20140204,20.5,20.8,20.3,20.7
20140203,19.8,20.7,19.8,20.6
20140131,20,20.1,19.8,20
20140130,19.8,20.1,19.8,20
20140129,19.9,20.1,19.7,20.1
20140128,20.2,20.3,19.8,20
20140127,20.9,21.1,20.3,20.5
20140124,21.1,21.2,21,21
20140123,21.1,21.2,21,21.1
20140122,20.4,21.1,20.4,21
20140121,20.2,20.8,20.2,20.8
20140120,20.6,20.6,20.3,20.3
20140117,20.4,20.9,20.4,20.6
20140116,19.6,20.8,19.6,20.6
20140115,19.4,19.8,19.4,19.6
20140114,19.6,19.7,19.2,19.5
20140113,19.6,19.9,19.5,19.7
20140110,19.7,19.9,19.5,19.9
20140109,19.2,20,19.2,20
20140108,19.2,19.5,19.1,19.3
20140107,19.6,19.6,19.3,19.5
20140106,19.6,19.7,19.2,19.6
20140103,19.7,20.1,18.9,20.1
20140102,21.4,21.4,20.3,20.3
20131227,21.2,21.4,20.9,21.3
20131226,21.3,21.4,21.1,21.2
20131225,21.4,21.5,21.4,21.4
20131224,21.4,21.5,21.3,21.3
20131223,21.5,21.5,21.1,21.4
20131220,21.6,21.6,21.2,21.4
20131219,21,21.5,21,21.5
20131218,20.6,21.1,20.5,21
20131217,21,21.2,20.6,20.7
20131216,21.6,21.7,20.9,21.2
20131213,21.9,22,21.6,21.6
20131212,21.7,21.9,21.5,21.8
20131211,21.1,21.6,20.8,21.6
20131209,21.1,21.3,20.8,21
20131206,21.3,21.6,20.9,21
20131204,20.2,21.1,20.2,21
20131203,20.6,20.9,20.3,20.3
20131202,20.4,20.5,20.2,20.5
20131129,19.9,20.4,19.9,20.3
20131128,19.5,19.5,19.4,19.5
20131127,18.7,19.4,18.7,19.4
20131126,18.8,18.9,18.7,18.7
20131125,18.6,19.3,18.6,18.8
20131122,19,19.2,18.7,18.9
20131121,19.1,19.2,19.1,19.2
20131120,19.7,19.7,19.2,19.2
20131119,19.9,19.9,19.5,19.7
20131118,19.9,20,19.8,19.9
20131115,19.7,19.7,19.5,19.7
20131114,19.4,19.6,19.4,19.5
20131113,19.3,19.7,19.3,19.4
20131112,19.4,19.9,19.4,19.5
20131111,19.5,19.5,19.3,19.5
20131108,19.7,19.8,19.3,19.6
20131107,19.9,20,19.7,19.7
20131106,19.4,20.1,19.4,20
20131105,18.9,19.8,18.8,19.8
20131104,18.9,19.1,18.7,19
20131101,19,19.5,19,19.4
20131031,19.1,19.3,19,19.2
20131030,19.5,19.9,19.1,19.3
20131029,19.5,19.9,19.3,19.6
20131028,20.2,20.2,19.7,19.9
20131025,20.3,20.4,20.2,20.3
20131024,20.3,20.4,20.1,20.3
20131022,20.2,20.6,19.8,20.5
20131021,21.2,21.2,20.2,20.3
20131018,20.6,21.1,20.4,21
20131017,20.2,20.5,20,20.5
20131016,20.1,20.3,20,20
20131015,20.3,20.3,20,20.1
20131014,20,20.2,19.8,20.1
20131011,20.3,20.3,19.6,20
20131010,20.2,20.7,20.2,20.3
20131009,20.1,20.3,20.1,20.3
20131008,20.6,20.8,20.1,20.2
20131007,20.9,20.9,20.1,20.4
20131004,20.4,21.1,20,20.9
20131003,19.4,20.5,19.4,20.5
20131002,19.5,19.6,19,19.3
20131001,18.6,19.6,18.6,19.6
20130930,18.9,18.9,18.3,18.6
20130927,20,20.1,19.5,19.6
20130926,20.2,20.9,19.8,20
20130925,19.5,20.2,19.3,20.2
20130924,20.3,20.5,19,19
20130923,20.8,21.1,20,20.4
20130920,20.6,21.3,20.5,20.9
20130919,20.5,21,20.2,20.7
20130918,20,20.4,19.4,19.8
20130917,19.4,19.6,19,19.1
20130916,19.1,19.7,19.1,19.5
20130913,19.2,19.4,18.6,18.8
20130912,19.6,20,19.5,19.6
20130911,19.3,19.6,18.9,19.3
20130910,20,20,18.9,19
20130909,19.4,19.9,19.4,19.6
20130906,17.5,18.5,17.5,18.5
20130905,16,16.8,16,16.8
20130904,15.7,15.9,15.6,15.8
20130903,15.2,16,15.2,15.9
20130902,14.8,15.3,14.5,15.2
20130830,14.8,14.8,14.6,14.8
20130829,14.6,14.9,14.6,14.6
20130828,15.1,15.1,14.6,14.6
20130827,15.7,15.7,15.3,15.3
20130826,16,16.1,15.6,15.7
20130823,15.6,16,15.6,15.9
20130822,15.6,15.9,15.5,15.6
20130821,15.7,15.9,15.7,15.8
20130820,15.9,15.9,15.5,15.8
20130819,16.4,16.5,15.8,16
20130816,16.1,16.7,16,16.5
20130815,16.1,16.2,15.9,16.1
20130814,15.9,16.2,15.9,16
20130813,15.8,16,15.8,15.9
20130809,15.8,15.8,15.6,15.8
20130808,15.9,16,15.8,15.8
20130807,15.6,15.9,15.6,15.9
20130806,15.9,16.1,15.6,16
20130805,16,16,15.6,15.7
20130802,16.3,16.4,15.7,15.7
20130801,16.5,16.5,16.2,16.3
20130731,16.6,16.6,16.3,16.5
20130730,16.4,16.7,16.4,16.6
20130729,16.7,16.7,16.4,16.5
20130726,16.9,16.9,16.2,16.7
20130725,17.2,17.2,16.8,16.9
20130724,17.5,17.5,17.1,17.1
20130723,17.3,17.6,17.3,17.5
20130719,17,17.3,16.8,17.3
20130718,16.7,16.9,16.6,16.9
20130717,16.7,16.8,16.7,16.8
20130716,16.8,16.9,16.6,16.7
20130715,16.7,17,16.7,17
20130712,16.5,16.7,16.4,16.5
20130711,16.3,16.6,16.3,16.4
20130710,16.6,16.9,15.8,16.4
20130709,16.6,16.7,16.5,16.6
20130708,17,17,16.5,16.6
20130705,17.4,17.4,16.9,17
20130704,17.6,17.6,17.3,17.3
20130703,17.8,18,17.6,17.7
20130702,18,18.1,17.8,17.9
20130628,17.5,17.9,17.4,17.7
20130627,16.9,17.3,16.9,17.3
20130626,16.5,16.9,16.4,16.7
20130625,16.5,16.5,15.8,16.2
20130624,17.2,17.2,16.2,16.3
20130621,17.3,17.5,17,17.2
20130620,17.5,17.7,17.2,17.4
20130619,17.5,17.9,17.3,17.5
20130618,17.9,18.1,17.4,17.4
20130617,18.1,18.1,17.9,17.9
20130614,18,18.2,17.9,18.1
20130613,17.8,18.1,17.6,17.8
20130612,18,18.2,17.7,18
20130611,19,19,18.2,18.4
20130610,19.3,19.4,19.2,19.2
20130607,19,19.4,18.8,19.2
20130606,19.7,20,19.2,19.4
20130605,19.9,20,19.5,19.5
20130604,19.8,20,19.2,19.9
20130603,20.2,20.6,19.8,19.9
20130531,19.5,20.4,19.5,20.1
20130530,19.5,19.6,19.3,19.6
20130529,19.3,19.6,19.2,19.5
20130528,19.2,19.3,19.1,19.2
20130527,18.8,19.2,18.7,19.2
20130523,18.8,18.9,18.3,18.8
20130522,19.2,19.3,18.9,18.9
20130521,18.9,19.4,18.6,19.1
20130520,18.5,19,18.5,18.7
20130517,18.6,19,18.4,18.5
20130516,17.9,18.6,17.9,18.5
20130515,17.9,18.1,17.8,17.9
20130514,17.8,17.9,17.8,17.8
20130513,17.7,18,17.7,17.8
20130510,17.9,18.1,17.8,17.9
20130509,17.8,18.2,17.5,17.9
20130508,17.6,17.7,17.5,17.6
20130507,17.8,17.8,17.1,17.5
20130503,17.7,17.9,17.6,17.7
20130502,17.8,17.8,17.6,17.6
20130430,17.8,18,17.7,17.8
20130429,17.9,17.9,17.6,17.8
20130426,18.2,18.2,17.8,17.9
20130425,17.9,18.4,17.8,18.2
20130424,18,18,17.7,17.9
20130423,17.6,17.9,17.5,17.9
20130422,17.9,18,17.6,17.7
20130419,17.8,18,17.6,17.8
20130418,17.5,17.7,17.4,17.7
20130417,17.6,17.8,17.5,17.5
20130412,17.9,18.1,17.8,18.1
20130411,17.6,18.2,17.3,18
20130410,17,17.4,16.9,17.2
20130409,16.8,17.3,16.6,16.9
20130405,17.4,17.4,16.9,16.9
20130404,16.7,17.5,16.7,17.3
20130403,18.2,18.2,16.9,17.5
20130402,18.4,18.4,17.6,18
20130401,18.4,18.5,18,18.3
20130329,17.9,18.7,17.6,18.2
20130328,17,18,16.9,17.8
20130327,16.7,17.2,16.6,17.2
20130326,16.5,16.5,16,16.3
20130325,15.8,16.5,15.7,16.4
20130322,16.5,16.6,15.5,15.6
20130321,17.8,17.8,16.5,17
20130320,18.5,18.6,17.5,17.8
20130319,19,19.2,18.1,18.5
20130318,19.5,19.5,18.8,19
20130315,19.2,19.8,19.2,19.4
20130314,18.3,19.2,18.2,19.2
20130313,16.7,17.9,16.7,17.9
20130312,17,17,16.7,16.7
20130311,16.8,17,16.7,16.9
20130308,16.3,16.7,16.3,16.4
20130307,16.3,16.5,16.2,16.3
20130306,16.2,16.3,16,16.2
20130305,16.4,16.5,16.1,16.2
20130304,16.5,16.6,16.3,16.4
20130301,16.4,16.6,16.3,16.3
20130228,16.6,16.6,16.4,16.4
20130227,16.8,16.9,16.4,16.4
20130226,16.5,16.8,16.4,16.8
20130222,16.1,16.7,16.1,16.5
20130221,15.7,16.2,15.7,16.1
20130220,16.3,16.3,15.7,15.9
