date,open,high,low,close
20141107,8.6,8.7,8.55,8.6
20141106,8.55,8.65,8.45,8.45
20141105,8.6,8.7,8.45,8.5
20141104,8.6,8.6,8.45,8.55
20141103,8.7,8.75,8.5,8.55
20141031,8.25,8.6,8.2,8.6
20141030,8.15,8.3,8.1,8.15
20141029,7.95,8.2,7.9,8.05
20141028,7.9,7.95,7.9,7.9
20141027,7.9,8,7.85,7.9
20141024,7.85,7.95,7.8,7.85
20141022,7.85,7.9,7.8,7.85
20141021,7.75,7.8,7.7,7.8
20141020,7.75,7.85,7.7,7.7
20141017,7.8,7.8,7.7,7.7
20141016,7.8,7.85,7.7,7.8
20141015,7.95,7.95,7.85,7.85
20141014,7.85,7.95,7.85,7.85
20141013,7.95,8,7.85,7.85
20141010,7.95,8.1,7.95,8
20141009,8.1,8.15,8,8.05
20141008,7.85,8.05,7.85,8
20141007,7.85,7.95,7.8,7.85
20141006,8.2,8.2,7.85,7.85
20141003,7.9,8.2,7.85,8.2
20141002,8.1,8.1,7.85,7.9
20141001,8.15,8.2,8.05,8.1
20140930,8.1,8.2,8.05,8.1
20140929,8.2,8.3,8,8.1
20140926,8.25,8.25,8.15,8.15
20140925,8.2,8.4,8.2,8.25
20140924,8.1,8.4,8.05,8.2
20140923,8.05,8.15,7.95,8
20140922,8.1,8.15,7.85,7.95
20140919,8.05,8.1,8,8.05
20140918,8.2,8.2,8,8
20140917,7.85,8.2,7.75,8.15
20140916,7.9,7.9,7.8,7.8
20140915,7.85,7.9,7.75,7.8
20140912,7.7,7.8,7.7,7.75
20140911,7.6,7.75,7.6,7.65
20140910,7.65,7.65,7.55,7.6
20140909,7.6,7.75,7.6,7.65
20140908,7.6,7.65,7.55,7.55
20140905,7.75,7.75,7.55,7.55
20140904,7.65,7.75,7.6,7.7
20140903,7.5,7.65,7.5,7.65
20140902,7.75,7.75,7.5,7.5
20140901,7.75,7.8,7.65,7.7
20140829,7.75,7.8,7.65,7.75
20140828,7.75,7.85,7.7,7.75
20140827,7.85,7.9,7.65,7.7
20140826,7.95,7.95,7.85,7.9
20140825,8.1,8.15,8,8
20140822,8.15,8.2,8.05,8.1
20140821,8.2,8.25,8.1,8.1
20140820,8.3,8.3,8.2,8.2
20140819,8.35,8.35,8.2,8.3
20140818,8.25,8.25,8.05,8.2
20140815,8.1,8.25,8.05,8.2
20140814,8.15,8.2,8.1,8.2
20140813,8.2,8.2,8,8.2
20140808,8,8.3,7.95,8.2
20140807,7.75,8.1,7.7,8.1
20140806,7.55,7.7,7.5,7.6
20140805,7.75,7.8,7.5,7.65
20140804,7.45,7.7,7.45,7.65
20140801,7.25,7.45,7.25,7.4
20140731,7.45,7.55,7.4,7.4
20140730,7.45,7.6,7.4,7.4
20140729,7.8,7.85,7.5,7.5
20140728,7.85,7.9,7.8,7.8
20140725,8.1,8.15,7.8,7.8
20140724,7.85,8.15,7.85,8.05
20140723,7.55,7.85,7.55,7.85
20140722,7.75,7.8,7.6,7.6
20140721,7.7,7.85,7.7,7.7
20140718,7.85,7.85,7.65,7.8
20140717,7.9,7.95,7.85,7.85
20140716,8.05,8.1,7.9,7.9
20140715,8.1,8.1,8,8
20140714,8.05,8.15,8,8.05
20140710,8.05,8.05,7.95,8
20140709,8.05,8.1,7.95,8
20140708,8.1,8.2,8.05,8.05
20140707,8.1,8.25,8,8.1
20140704,8.2,8.2,8.1,8.1
20140703,8.15,8.25,8.15,8.2
20140702,8.3,8.3,8.15,8.15
20140630,8.3,8.4,8.25,8.25
20140627,8.35,8.35,8.25,8.35
20140626,8.35,8.4,8.3,8.3
20140625,8.4,8.45,8.3,8.3
20140624,8.45,8.5,8.35,8.4
20140623,8.35,8.5,8.3,8.4
20140620,8.3,8.4,8.25,8.35
20140619,8.2,8.3,8.2,8.25
20140618,8.4,8.45,8.2,8.2
20140617,8.4,8.7,8.35,8.4
20140616,8.6,8.65,8.3,8.4
20140613,8.85,8.9,8.6,8.6
20140612,9.6,9.6,9.05,9.1
20140611,9,9.8,8.9,9.1
20140610,9.15,9.3,8.6,8.8
20140609,9.7,10,9,9.1
20140606,8.65,9.5,8.65,9.45
20140605,8.6,8.65,8.5,8.55
20140604,8.4,8.55,8.4,8.55
20140603,8.7,8.7,8.45,8.45
20140602,8.7,8.75,8.55,8.6
20140530,8.65,8.65,8.55,8.6
20140529,8.3,8.65,8.2,8.5
20140528,8.1,8.35,8.1,8.2
20140527,8,8.1,8,8.05
20140526,8.15,8.15,8,8.05
20140523,7.95,8.15,7.85,8.1
20140522,8.25,8.25,8.15,8.2
20140521,8.2,8.2,8.1,8.2
20140520,8.15,8.25,8.05,8.2
20140519,8.2,8.35,8.2,8.3
20140516,8.15,8.25,8.1,8.15
20140515,8.25,8.4,8.05,8.15
20140514,8.45,8.5,8.3,8.5
20140512,8.1,8.3,8.1,8.3
20140509,8.1,8.3,8.05,8.1
20140508,8.3,8.3,8.05,8.05
20140507,8.15,8.3,8.05,8.25
20140506,8.5,8.5,8.3,8.3
20140502,8.5,8.5,8.4,8.45
20140430,8.5,8.55,8.45,8.45
20140429,8.5,8.55,8.45,8.5
20140428,8.5,8.55,8.45,8.5
20140425,8.6,8.6,8.45,8.5
20140424,8.6,8.65,8.55,8.55
20140423,8.4,8.6,8.4,8.6
20140422,8.4,8.5,8.4,8.4
20140421,8.5,8.5,8.35,8.4
20140418,8.55,8.6,8.45,8.45
20140417,8.6,8.7,8.5,8.5
20140416,8.4,8.65,8.4,8.55
20140411,8.3,8.4,8.3,8.4
20140410,8.35,8.4,8.3,8.35
20140409,8.35,8.45,8.2,8.25
20140408,8.45,8.5,8.35,8.35
20140404,8.55,8.55,8.35,8.4
20140403,8.6,8.6,8.5,8.55
20140402,8.7,8.75,8.6,8.6
20140401,8.85,8.9,8.7,8.7
20140331,8.6,8.95,8.55,8.65
20140328,8.35,8.5,8.3,8.4
20140327,8.5,8.6,8.3,8.4
20140326,8.55,8.55,8.45,8.45
20140325,8.45,8.55,8.35,8.45
20140324,8.05,8.4,8.05,8.35
20140321,8.05,8.2,8.05,8.1
20140320,8.35,8.35,7.95,8.05
20140319,8.45,8.55,8.35,8.35
20140318,8.35,8.55,8.3,8.4
20140317,8.65,8.8,8.65,8.75
20140314,8.55,8.65,8.55,8.6
20140313,8.5,8.7,8.5,8.6
20140312,8.35,8.6,8.35,8.4
20140311,8.25,8.45,8.2,8.35
20140310,8.15,8.25,8.1,8.2
20140307,8.35,8.45,8.3,8.35
20140306,8.35,8.45,8.35,8.35
20140305,8.45,8.6,8.25,8.4
20140304,8.1,8.35,8.1,8.35
20140303,7.8,8.05,7.8,8
20140228,7.8,7.8,7.7,7.8
20140227,7.7,7.8,7.65,7.75
20140226,7.6,7.7,7.6,7.7
20140225,7.8,7.8,7.6,7.6
20140224,7.75,7.8,7.7,7.7
20140221,7.7,7.85,7.6,7.85
20140220,7.8,7.85,7.65,7.7
20140219,8,8,7.75,7.9
20140218,7.9,8.1,7.9,7.95
20140217,7.8,8,7.7,7.9
20140213,7.55,7.75,7.55,7.7
20140212,7.45,7.5,7.4,7.5
20140211,7.45,7.5,7.35,7.35
20140210,7.55,7.6,7.35,7.45
20140207,7.6,7.65,7.45,7.55
20140206,7.45,7.6,7.45,7.55
20140205,7.65,7.7,7.3,7.4
20140204,7.45,7.6,7.45,7.55
20140203,7.4,7.6,7.4,7.5
20140131,7.3,7.55,7.3,7.35
20140130,7.35,7.4,7.2,7.25
20140129,7.05,7.5,6.95,7.45
20140128,7.05,7.1,6.95,6.95
20140127,7,7.15,6.9,7.05
20140124,6.95,7.25,6.9,7.15
20140123,6.8,7,6.7,6.95
20140122,6.7,6.8,6.65,6.75
20140121,6.85,6.9,6.65,6.8
20140120,6.8,6.9,6.7,6.75
20140117,7,7,6.65,6.75
20140116,6.45,7,6.4,6.95
20140115,6.4,6.55,6.25,6.35
20140114,6.05,6.4,6.05,6.4
20140113,5.85,6.15,5.85,6.05
20140110,6.2,6.35,6,6
20140109,6.65,6.8,6.15,6.15
20140108,6.75,6.85,6.4,6.4
20140107,6.85,6.95,6.65,6.7
20140106,6.6,6.9,6.6,6.9
20140103,6.85,6.85,6.55,6.7
20140102,7.15,7.15,6.8,6.85
20131227,7.7,7.7,7,7.1
20131226,8.1,8.1,7.4,7.5
20131225,7.9,8,7.85,8
20131224,7.85,8,7.85,7.85
20131223,8.1,8.15,7.85,7.9
20131220,8.1,8.15,8.05,8.1
20131219,8.45,8.45,8.05,8.1
20131218,8.2,8.35,8.15,8.35
20131217,8.2,8.3,8.1,8.1
20131216,8.15,8.15,8.1,8.15
20131213,8.15,8.3,8.1,8.15
20131212,8.1,8.2,8.1,8.15
20131211,8.1,8.2,8.05,8.1
20131209,8.25,8.3,8.15,8.15
20131206,8.45,8.5,8.1,8.15
20131204,8.45,8.5,8.4,8.45
20131203,8.6,8.7,8.4,8.45
20131202,8.5,8.6,8.35,8.6
20131129,8.45,8.5,8.4,8.5
20131128,8.5,8.55,8.4,8.4
20131127,8.15,8.6,8.15,8.5
20131126,8.1,8.3,8.1,8.15
20131125,8,8.1,8,8.1
20131122,8.25,8.3,8.15,8.15
20131121,8.45,8.45,8.25,8.25
20131120,8.55,8.55,8.4,8.45
20131119,8.45,8.5,8.35,8.4
20131118,8.5,8.5,8.35,8.45
20131115,8.45,8.55,8.35,8.4
20131114,8.5,8.6,8.35,8.35
20131113,8.35,8.65,8.3,8.45
20131112,8.3,8.35,8.2,8.25
20131111,7.95,8.15,7.95,8.15
20131108,8.05,8.2,8.05,8.15
20131107,8.3,8.4,8.15,8.25
20131106,8.2,8.4,8.1,8.3
20131105,7.9,8.2,7.9,8.2
20131104,8.2,8.2,7.8,7.8
20131101,8.45,8.45,8.35,8.4
20131031,8.4,8.55,8.3,8.55
20131030,8.75,8.75,8.5,8.5
20131029,8.9,8.9,8.7,8.75
20131028,9.1,9.35,8.85,8.9
20131025,8.65,9.05,8.6,9
20131024,8.45,8.5,8.4,8.5
20131022,8.35,8.55,8.3,8.55
20131021,8.6,8.6,8.3,8.3
20131018,8.65,8.65,8.5,8.6
20131017,8.65,8.7,8.55,8.6
20131016,8.65,8.7,8.45,8.45
20131015,8.95,8.95,8.6,8.65
20131014,8.55,8.8,8.35,8.8
20131011,8.75,8.8,8.6,8.7
20131010,8.05,8.5,8,8.5
20131009,8.1,8.1,8,8.05
20131008,8,8.1,7.95,8.05
20131007,8.1,8.15,8,8
20131004,8.2,8.2,8.05,8.1
20131003,8.15,8.35,8.1,8.2
20131002,8.1,8.1,8,8.1
20131001,8.05,8.25,8,8.05
20130930,7.9,8.05,7.85,8.05
20130927,7.95,8.05,7.95,8
20130926,8.05,8.05,7.95,7.95
20130925,8.1,8.15,7.95,8
20130924,8,8.1,7.9,8.05
20130923,8.4,8.4,8.1,8.1
20130920,8.55,8.6,8.4,8.5
20130919,8.75,8.8,8.4,8.5
20130918,8.4,8.6,8.4,8.4
20130917,8.45,8.55,8.2,8.35
20130916,8.55,8.7,8.45,8.5
20130913,8.1,8.95,7.95,8.45
20130912,8,8.15,7.95,8.15
