date,open,high,low,close
20141107,45,45.5,44.5,45.25
20141106,44,44.75,43.75,44.75
20141105,45.25,45.25,43.5,44
20141104,45.75,45.75,45.25,45.75
20141103,45.5,46.25,45.25,45.75
20141031,44.75,45,44.25,44.75
20141030,44,45,43.5,44.75
20141029,43,44,42.75,43.75
20141028,43,43.25,42.25,42.5
20141027,43,43.25,42.75,43.25
20141024,42.75,43.25,42.75,42.75
20141022,43,43.5,42.5,42.5
20141021,43.75,44,42.75,42.75
20141020,44.75,45,43.75,43.75
20141017,45.75,46,44,44
20141016,47,47.25,46,46
20141015,48.25,48.5,47,47
20141014,48,49.25,48,48.25
20141013,48.75,48.75,48,48
20141010,48.25,49,48,49
20141009,49.25,49.5,48.5,48.5
20141008,49.25,49.5,49,49
20141007,50,50.25,49.25,49.25
20141006,51.25,51.25,49.75,50.25
20141003,51.25,51.5,51,51
20141002,51.5,52,51.25,51.25
20141001,51.75,52.25,51.75,51.75
20140930,51.5,52,51.25,51.5
20140929,52,52,51.25,51.5
20140926,52,52.25,51.75,52
20140925,52.25,52.25,51.75,52
20140924,52,52.5,51.75,52
20140923,52.25,52.5,52,52.25
20140922,53,53,52.25,52.25
20140919,53,53,52.5,53
20140918,52.25,53,52.25,53
20140917,52,52.5,52,52.5
20140916,52.25,52.5,52,52.25
20140915,52.25,52.5,52,52.5
20140912,52,52.25,52,52.25
20140911,52.25,52.5,52,52
20140910,53,53,52.5,52.75
20140909,53,53.25,52.75,53
20140908,53,53.25,52.5,53
20140905,52.25,53,52,52.75
20140904,52,53.25,51.75,52
20140903,52.5,52.5,51.75,52
20140902,52.25,52.25,52,52.25
20140901,52.25,52.25,51.5,52
20140829,52.25,52.25,51.75,51.75
20140828,52.5,52.75,52,52.25
20140827,52.5,52.5,52.25,52.5
20140826,52.5,52.75,52.25,52.25
20140825,52.75,52.75,52.25,52.25
20140822,52.25,52.5,52,52.25
20140821,52.5,52.5,52,52
20140820,52.5,52.75,52.25,52.25
20140819,52.75,52.75,52.25,52.5
20140818,52.5,52.5,52,52.25
20140815,52,52.75,52,52.25
20140814,52.25,52.75,52.25,52.5
20140813,52.5,52.5,51.75,52
20140808,51.75,52,51.5,51.5
20140807,51.75,52,51,51.5
20140806,52,52.5,51.5,51.75
20140805,51.75,51.75,51.25,51.75
20140804,51,52,51,52
20140801,51,51.25,50.75,51.25
20140731,51.5,51.75,51,51.75
