date,open,high,low,close
20141107,387,391,384,391
20141106,372,385,372,381
20141105,369,369,365,368
20141104,363,368,360,368
20141103,370,371,358,362
20141031,355,368,354,368
20141030,355,356,352,354
20141029,358,358,351,354
20141028,355,358,352,355
20141027,351,357,351,355
20141024,352,353,348,352
20141022,355,356,351,352
20141021,354,355,348,353
20141020,357,359,350,351
20141017,347,356,345,354
20141016,349,353,343,345
20141015,352,357,351,351
20141014,352,356,352,356
20141013,361,362,352,352
20141010,369,371,364,364
20141009,371,378,371,375
20141008,365,370,363,368
20141007,369,370,363,367
20141006,364,371,364,370
20141003,366,370,363,364
20141002,365,375,365,369
20141001,361,366,361,366
20140930,355,361,353,360
20140929,357,357,351,353
20140926,354,358,354,357
20140925,354,355,352,352
20140924,360,360,352,353
20140923,358,360,355,359
20140922,353,361,352,358
20140919,351,354,349,354
20140918,351,351,349,350
20140917,353,354,348,350
20140916,353,354,350,352
20140915,348,353,348,352
20140912,357,357,352,354
20140911,348,359,348,356
20140910,348,351,343,350
20140909,336,348,336,348
20140908,333,335,331,334
20140905,332,333,330,331
20140904,328,331,328,331
20140903,323,328,322,327
20140902,319,323,319,320
20140901,322,323,319,319
20140829,320,323,319,321
20140828,329,331,319,321
20140827,333,334,328,330
20140826,334,335,331,333
20140825,336,337,333,334
20140822,337,338,335,336
20140821,335,337,334,336
20140820,333,336,332,336
20140819,336,338,333,334
20140818,335,336,332,334
20140815,331,335,328,335
20140814,332,335,331,332
20140813,325,331,325,331
20140808,323,326,322,322
20140807,325,326,321,326
20140806,328,328,325,325
20140805,325,330,323,328
20140804,315,324,314,323
20140801,318,318,311,314
20140731,324,326,315,319
20140730,331,332,325,326
20140729,333,337,329,331
20140728,334,334,329,329
20140725,334,335,332,334
20140724,333,335,332,334
20140723,331,333,330,333
20140722,334,335,327,331
20140721,330,335,330,335
20140718,329,333,329,331
20140717,323,331,323,330
20140716,326,326,323,324
20140715,327,327,322,324
20140714,327,329,326,326
20140710,323,330,323,326
20140709,320,326,320,322
20140708,326,327,320,321
20140707,323,326,321,326
20140704,320,322,318,319
20140703,320,320,317,319
20140702,319,320,317,319
20140630,315,318,313,318
20140627,310,313,308,312
20140626,301,309,301,308
20140625,297,300,296,300
20140624,299,300,297,297
20140623,299,301,298,301
20140620,298,299,295,298
20140619,296,298,295,297
20140618,300,300,295,295
20140617,299,301,298,299
20140616,296,298,294,298
20140613,295,297,292,292
20140612,299,300,294,294
20140611,295,299,295,299
20140610,296,299,296,298
20140609,299,299,294,295
20140606,298,299,296,298
20140605,302,303,296,297
20140604,301,303,300,301
20140603,302,305,300,302
20140602,296,299,296,298
20140530,293,297,292,294
20140529,296,297,291,293
20140528,295,297,294,295
20140527,298,298,292,294
20140526,303,303,292,296
20140523,303,305,301,304
20140522,312,313,305,308
20140521,307,312,305,310
20140520,306,307,303,305
20140519,304,308,303,308
20140516,301,306,300,305
20140515,303,304,301,303
20140514,303,305,301,304
20140512,305,305,301,301
20140509,304,307,303,304
20140508,309,310,305,305
20140507,305,310,305,310
20140506,310,311,308,309
20140502,309,312,309,309
20140430,306,313,304,313
20140429,305,306,302,303
20140428,307,309,306,306
20140425,306,310,306,307
20140424,308,309,306,309
20140423,308,311,306,308
20140422,311,312,306,307
20140421,312,312,309,310
20140418,312,314,311,311
20140417,314,315,312,312
20140416,309,316,309,315
20140411,305,307,305,307
20140410,307,308,303,307
20140409,303,306,303,304
20140408,309,309,302,302
20140404,308,309,304,306
20140403,308,309,306,308
20140402,303,307,301,307
20140401,299,302,298,302
20140331,299,302,298,299
20140328,299,301,298,299
20140327,296,299,293,299
20140326,294,295,293,295
20140325,287,295,285,295
20140324,292,292,287,287
20140321,293,293,290,292
20140320,288,293,286,293
20140319,295,296,290,290
20140318,295,295,290,295
20140317,295,296,291,294
20140314,297,298,292,295
20140313,297,300,295,300
20140312,297,300,295,295
20140311,292,300,291,300
20140310,293,295,290,291
20140307,296,297,292,292
20140306,297,297,295,296
20140305,303,305,302,304
20140304,302,305,300,301
20140303,296,302,295,300
20140228,287,295,286,293
20140227,287,289,286,287
20140226,286,289,285,286
20140225,292,295,288,288
20140224,286,292,286,291
20140221,287,288,285,286
20140220,290,291,286,287
20140219,298,299,291,292
20140218,296,298,293,297
20140217,289,298,288,297
20140213,293,295,289,289
20140212,290,293,289,293
20140211,288,292,285,289
20140210,288,289,285,287
20140207,279,286,278,286
20140206,274,275,272,275
20140205,274,276,270,271
20140204,276,276,272,273
20140203,279,280,277,278
20140131,272,277,271,276
20140130,274,274,269,270
20140129,279,280,274,274
20140128,282,285,277,278
20140127,288,289,282,283
20140124,290,292,288,291
20140123,284,289,282,289
20140122,285,287,281,282
20140121,288,291,284,286
20140120,286,290,286,289
20140117,290,290,286,288
20140116,286,292,286,288
20140115,290,292,285,286
20140114,288,295,288,294
20140113,283,293,281,292
20140110,284,289,280,287
20140109,286,293,283,284
20140108,281,288,278,285
20140107,266,281,265,281
20140106,269,269,259,264
20140103,270,271,265,268
20140102,285,287,274,274
20131227,286,289,285,286
20131226,289,290,284,285
20131225,288,290,287,289
20131224,286,290,286,288
20131223,290,292,285,286
20131220,291,291,288,291
20131219,288,292,288,290
20131218,287,291,287,289
20131217,287,289,285,286
20131216,292,293,287,287
20131213,298,298,291,293
20131212,301,301,295,297
20131211,302,305,301,302
20131209,304,307,300,305
20131206,307,307,298,303
20131204,305,309,305,306
20131203,303,310,301,307
20131202,294,302,293,302
20131129,292,296,290,295
20131128,296,298,291,292
20131127,291,296,291,295
20131126,291,295,291,291
20131125,292,295,290,293
20131122,301,302,294,297
20131121,304,305,300,301
20131120,308,308,305,305
20131119,310,311,308,308
20131118,311,312,310,311
20131115,308,311,308,310
20131114,308,310,308,308
20131113,308,310,307,308
20131112,309,311,308,308
20131111,310,310,306,310
20131108,311,311,309,310
20131107,312,315,310,311
20131106,312,313,309,312
20131105,312,313,310,312
20131104,311,313,310,311
20131101,313,315,311,315
20131031,311,317,310,317
20131030,316,317,311,311
20131029,317,318,315,316
20131028,319,321,316,317
20131025,320,321,317,320
20131024,318,321,317,321
20131022,321,321,318,321
20131021,322,323,318,320
20131018,319,321,318,320
20131017,320,321,318,318
20131016,319,323,319,319
20131015,320,321,318,319
20131014,321,322,319,319
20131011,321,324,320,323
20131010,320,322,318,320
20131009,320,320,318,320
20131008,318,322,317,320
20131007,320,320,318,319
20131004,319,320,317,319
20131003,321,323,319,320
20131002,320,320,316,319
20131001,316,321,316,320
20130930,324,324,316,316
20130927,328,330,326,326
20130926,332,332,327,327
20130925,328,330,325,330
20130924,335,335,327,327
20130923,335,337,330,333
20130920,334,337,332,336
20130919,337,338,332,333
20130918,336,336,330,331
20130917,342,342,337,339
20130916,340,342,338,340
20130913,332,339,332,335
20130912,339,340,333,333
20130911,336,340,333,340
20130910,340,344,338,339
20130909,336,342,336,342
20130906,330,335,329,334
20130905,326,331,326,331
20130904,325,331,325,326
20130903,326,329,320,325
20130902,327,328,324,326
20130830,330,330,323,327
20130829,322,329,319,327
20130828,321,323,318,318
20130827,318,322,316,320
20130826,325,326,317,318
20130823,325,327,320,321
20130822,311,322,310,322
20130821,313,316,311,311
20130820,313,319,308,319
20130819,323,323,315,316
20130816,327,328,323,324
20130815,330,331,326,329
20130814,332,332,328,329
20130813,330,333,328,332
20130809,331,331,327,328
20130808,330,333,327,330
20130807,332,334,328,328
20130806,333,336,330,335
20130805,331,333,327,333
20130802,333,335,326,331
20130801,333,335,330,331
20130731,328,331,323,331
20130730,339,339,328,328
20130729,336,339,334,336
20130726,334,339,331,339
20130725,341,342,333,333
20130724,346,346,343,344
20130723,344,346,344,346
20130719,345,346,341,341
20130718,337,345,337,342
20130717,341,343,336,338
20130716,338,340,335,339
20130715,344,346,339,340
20130712,351,352,344,346
20130711,347,351,347,351
20130710,344,348,341,343
20130709,344,348,343,346
20130708,348,352,344,344
20130705,343,349,343,348
20130704,340,343,340,342
20130703,334,343,334,339
20130702,337,341,336,337
20130628,342,343,333,335
20130627,339,342,335,341
20130626,334,338,332,336
20130625,330,337,323,330
20130624,335,336,326,326
20130621,330,340,327,338
20130620,323,338,322,334
20130619,324,332,322,332
20130618,328,335,321,321
20130617,325,330,323,329
20130614,319,323,317,322
20130613,312,318,308,312
20130612,320,322,313,318
20130611,335,335,322,325
20130610,335,340,335,338
20130607,324,335,323,335
20130606,321,327,320,326
20130605,326,331,322,322
20130604,323,330,320,330
20130603,325,328,321,322
20130531,339,339,326,326
20130530,339,340,336,337
20130529,349,353,343,343
20130528,342,349,341,349
20130527,342,344,338,344
20130523,345,346,337,345
20130522,346,351,345,347
20130521,346,346,344,345
20130520,337,345,337,343
20130517,337,338,335,335
20130516,340,342,336,337
20130515,336,341,335,339
20130514,336,338,334,334
20130513,339,340,335,335
20130510,339,341,336,340
20130509,335,340,333,338
20130508,330,337,330,334
20130507,328,330,322,330
20130503,329,330,325,326
20130502,327,329,325,327
20130430,320,326,319,326
20130429,317,319,315,317
20130426,319,321,317,319
20130425,315,319,314,317
20130424,315,316,312,314
20130423,311,314,310,312
20130422,318,318,311,312
20130419,314,320,312,318
20130418,308,314,305,314
20130417,311,312,308,309
20130412,315,318,313,315
20130411,314,317,312,317
20130410,311,314,309,314
20130409,316,317,311,311
20130405,317,318,313,315
20130404,318,322,317,320
20130403,328,329,322,322
20130402,322,327,321,325
20130401,326,326,321,321
20130329,325,328,325,326
20130328,327,328,324,324
20130327,328,331,327,327
20130326,327,328,324,326
20130325,325,327,321,327
20130322,334,335,316,320
20130321,334,336,331,336
20130320,338,338,331,333
20130319,339,342,337,338
20130318,338,340,336,339
20130315,339,340,336,340
20130314,339,340,335,337
20130313,343,343,340,342
20130312,343,345,341,343
20130311,336,343,335,343
20130308,340,341,334,335
20130307,339,341,338,339
20130306,340,341,338,340
20130305,346,348,344,346
20130304,345,346,342,344
20130301,349,350,345,345
20130228,344,350,342,350
20130227,345,348,341,341
20130226,347,348,342,344
20130222,348,351,346,349
20130221,352,352,348,348
20130220,361,361,354,356
20130219,352,358,352,358
20130218,355,357,351,352
20130215,360,361,356,357
20130214,362,366,359,362
20130213,350,361,349,361
20130212,350,351,345,347
20130211,351,352,346,347
20130208,353,357,349,350
20130207,357,358,350,355
20130206,365,365,360,361
20130205,358,368,357,367
20130204,360,364,359,362
20130201,346,355,345,354
20130131,347,352,341,341
20130130,336,350,335,348
20130129,332,336,331,335
20130128,334,335,330,331
20130125,333,334,330,333
20130124,337,337,333,334
20130123,337,337,333,336
20130122,336,338,335,335
20130121,337,338,335,336
20130118,337,338,335,336
20130117,338,338,333,336
20130116,335,338,333,336
20130115,336,338,334,335
20130114,328,334,328,333
20130111,328,330,325,326
20130110,334,334,327,327
20130109,331,334,330,331
20130108,334,335,330,330
20130107,337,337,334,334
20130104,336,337,334,335
20130103,337,339,335,337
20130102,335,337,334,337
20121228,336,336,332,332
20121227,332,335,331,335
20121226,333,334,331,331
20121225,331,333,331,333
20121224,332,332,330,331
20121221,330,333,330,333
20121220,332,333,331,333
20121219,333,333,329,333
20121218,332,332,328,331
20121217,332,334,329,331
20121214,331,332,329,331
20121213,332,334,328,329
20121212,330,332,328,331
20121211,326,328,325,328
20121207,329,329,325,326
20121206,330,330,328,328
20121204,326,328,324,327
20121203,321,325,321,325
20121130,319,323,318,320
20121129,317,318,315,318
20121128,314,316,313,316
20121127,314,317,313,314
20121126,313,315,312,312
20121123,309,312,309,312
20121122,311,312,309,309
20121121,311,312,308,310
20121120,313,315,310,310
20121119,315,315,312,312
20121116,314,316,312,314
20121115,315,315,312,314
20121114,317,318,316,316
20121113,316,319,316,319
20121112,316,318,315,317
20121109,318,319,315,316
20121108,316,317,314,317
20121107,321,323,318,319
20121106,321,324,318,319
20121105,319,322,318,322
20121102,320,324,319,319
20121101,317,319,316,318
20121031,317,319,316,318
20121030,316,320,313,317
20121029,312,316,311,316
20121026,312,313,310,313
20121025,314,315,311,313
20121024,315,317,314,314
20121022,318,320,317,319
20121019,319,322,318,320
20121018,316,319,315,317
20121017,312,315,312,314
20121016,314,316,311,311
20121015,314,315,312,313
20121012,318,320,315,315
20121011,314,316,312,315
20121010,315,317,314,314
20121009,319,321,315,315
20121008,321,322,317,318
20121005,322,326,321,322
20121004,321,322,320,321
20121003,328,328,323,325
20121002,329,329,326,327
20121001,329,330,328,329
20120928,331,332,329,329
20120927,328,333,328,329
20120926,332,332,327,328
20120925,334,336,331,332
20120924,335,337,334,334
20120921,339,340,336,337
20120920,337,338,335,337
20120919,338,342,337,340
20120918,340,341,337,338
