date,open,high,low,close
20141107,60.5,62.5,60.5,62
20141106,59.25,59.75,59.25,59.75
20141105,61,61.25,60,60
20141104,62,62.25,60.75,61.25
20141103,62.5,62.5,62,62.25
20141031,62,62,61.25,62
20141030,61.75,62.5,61.75,62.25
20141029,60,61.75,60,61.75
20141028,59,60,59,60
20141027,59,59.5,58.5,59.25
20141024,58.75,59,58.25,59
20141022,57.75,59,57.75,59
20141021,57,57.75,57,57.25
20141020,57.5,57.75,57,57.25
20141017,58,58.25,56.75,56.75
20141016,59,59.25,58,58.25
20141015,60.25,60.75,59.75,59.75
20141014,58.25,60.75,58.25,59.75
20141013,59,59.25,58.25,58.25
20141010,57.5,59.5,57.25,59.25
20141009,59.25,59.25,58,58
20141008,57.5,59.25,57.25,58.75
20141007,58.25,58.5,57.5,57.75
20141006,59.25,59.25,58,58
20141003,59.25,59.75,59,59
20141002,60.25,60.25,59,59.25
20141001,61,61.25,60,60.25
20140930,61.5,61.75,61,61
20140929,62.5,62.75,61.5,61.5
20140926,62.25,62.75,61.75,62.5
20140925,63.25,63.25,62.25,62.25
20140924,61.75,63.25,61.5,63
20140923,62,62,61.5,61.5
20140922,61.75,62.25,61.5,61.75
20140919,61.5,62,61.25,62
20140918,61.75,62,61.25,61.25
20140917,61.75,62.75,61.5,61.5
20140916,62.5,62.75,61.75,61.75
20140915,62.5,63.25,62.5,62.5
20140912,63,63.75,62.5,63
20140911,63,63.5,62.5,62.75
20140910,63,63.25,62.5,63
20140909,63.75,64,62.5,63
20140908,64,64,63.5,63.5
20140905,65.25,65.25,63.75,63.75
20140904,65.25,65.5,64.25,65
20140903,63.25,64.75,63,64.75
20140902,62.75,63.5,62.5,62.5
20140901,62.5,62.75,62,62.25
20140829,62.75,63,62,62
20140828,64.75,64.75,63.75,63.75
20140827,65,65.5,65,65
20140826,66.75,67,66.25,66.25
20140825,66.75,67,66.5,66.75
20140822,66,66.75,65.75,66.5
20140821,66.5,66.5,65.5,65.75
20140820,66,66.5,65.75,66.5
20140819,65.75,66.25,65.75,65.75
20140818,66.75,67,65.5,65.75
20140815,66.75,67.25,66.5,66.75
20140814,66.25,67,65.75,66.75
20140813,65.25,65.75,64.75,65.75
20140808,64.75,65,64.5,64.5
20140807,65.5,65.5,64.75,65
20140806,65.75,66.25,65.5,65.5
20140805,66.5,66.75,65.75,66
20140804,65.75,66.25,65.5,66.25
20140801,65.25,65.75,65.25,65.5
20140731,66.25,66.5,65.75,65.75
20140730,66.25,66.75,66,66.75
20140729,66.75,67.25,66,66.25
20140728,67.25,67.25,66.5,67
20140725,67.5,67.5,66.5,67
20140724,66.75,67.5,66.5,67.25
20140723,66.75,67,66.25,66.5
20140722,67.25,67.5,66.5,66.5
20140721,67.75,68,66.75,67
20140718,68,68.5,67.25,67.5
20140717,67.75,68.25,67.25,67.75
20140716,68.5,68.75,67.5,67.75
20140715,69.25,69.5,68.5,68.5
20140714,67.75,69.25,67.5,68.75
20140710,67.25,67.5,66.75,67
20140709,66.25,67,66.25,67
20140708,66.75,66.75,66.25,66.5
20140707,67,67,66.5,66.5
20140704,66.75,67.25,66.5,66.75
20140703,67,67.25,66.5,66.75
20140702,67.75,67.75,67,67
20140630,68,68,67,67.5
20140627,66.5,67.75,66.25,67.75
20140626,67,67.25,66.25,66.75
20140625,66.25,66.5,66,66.5
20140624,66.75,66.75,66,66.25
