date,open,high,low,close
20141107,10.9,11,10.6,10.7
20141106,11.3,11.4,10.8,10.8
20141105,11.4,11.6,11.1,11.3
20141104,11.6,11.6,11.4,11.5
20141103,11.8,11.8,11.3,11.6
20141031,11.4,11.8,11.3,11.8
20141030,11.4,11.5,11.2,11.3
20141029,11.7,11.7,11.3,11.4
20141028,10.9,11.5,10.9,11.5
20141027,10.9,11,10.7,10.9
20141024,10.7,10.9,10.6,10.8
20141022,10.9,11,10.5,10.6
20141021,10.7,10.9,10.5,10.8
20141020,11.3,11.4,10.7,10.7
20141017,11.2,11.3,10.8,11.1
20141016,11.4,11.5,11.2,11.2
20141015,11.4,11.7,11.3,11.5
20141014,11.3,11.4,11.2,11.3
20141013,11.3,11.4,11,11.4
20141010,11.3,11.5,11.2,11.4
20141009,11.3,11.5,11.2,11.5
20141008,10.7,11.1,10.6,10.9
20141007,10.7,11.1,10.6,10.8
20141006,11.6,11.6,10.6,10.6
20141003,11.4,11.7,11.2,11.6
20141002,11.5,11.7,11.2,11.4
20141001,12,12.1,11.5,11.6
20140930,12.1,12.4,11.9,11.9
20140929,12.4,12.5,12,12.1
20140926,12.3,12.5,12.2,12.4
20140925,12.1,12.3,11.8,12.2
20140924,12.5,12.6,12,12
20140923,12.7,12.8,12.5,12.5
20140922,12.5,12.7,12.4,12.7
20140919,12.9,13.1,12.6,12.6
20140918,12.5,12.9,12.3,12.8
20140917,12.5,12.6,12.1,12.5
20140916,12.6,12.7,12.3,12.4
20140915,12.2,12.4,11.8,12.3
20140912,12.6,12.7,12.2,12.5
20140911,12.1,12.7,11.9,12.5
20140910,11.2,12.2,11.1,12
20140909,11.1,11.6,11,11.3
20140908,11.2,11.4,10.8,11.2
20140905,11.1,11.3,11,11.1
20140904,11.3,11.4,10.9,11
20140903,11.3,11.6,11.2,11.3
20140902,11.4,11.4,11.1,11.2
20140901,11.6,11.7,11.2,11.3
20140829,10.8,11.6,10.8,11.5
20140828,10.7,10.8,10.5,10.7
20140827,10.8,11.1,10.5,10.6
20140826,10.9,11,10.6,10.7
20140825,10.8,11.1,10.7,10.9
20140822,10.6,10.9,10.5,10.8
20140821,10.9,11.3,10.5,10.5
20140820,10.4,11,10.4,11
20140819,10.3,10.4,10.2,10.3
20140818,10.4,10.5,10.1,10.2
20140815,10.1,10.5,9.85,10.3
20140814,10.5,10.6,10,10.1
20140813,10.6,10.6,10.3,10.4
20140808,10.3,10.6,10.3,10.4
20140807,10.7,10.8,10.3,10.5
20140806,10.4,10.9,10.2,10.6
20140805,9.8,10.7,9.6,10.6
20140804,9.35,9.8,8.85,9.8
20140801,9.2,9.45,9.1,9.3
20140731,9.85,10.2,9.45,9.5
20140730,11,11.4,10,11
20140729,11.5,11.6,10.8,11
20140728,11.7,11.8,11.1,11.4
20140725,11.6,11.7,11.2,11.4
20140724,11.5,11.8,11.2,11.7
20140723,11.5,11.7,11.1,11.4
20140722,12,12,10.8,11.4
20140721,12.3,12.6,11.9,11.9
20140718,12.7,13,12.4,12.4
20140717,11.5,12.8,11.4,12.8
20140716,11.2,11.6,11.1,11.4
20140715,11.3,11.4,10.8,11.2
20140714,10.2,11.1,10.2,11.1
20140710,10,10.2,9.95,10.2
20140709,9.9,10,9.85,9.95
20140708,9.85,9.95,9.8,9.9
20140707,9.9,9.95,9.8,9.85
20140704,9.75,10.1,9.75,9.85
20140703,9.65,9.85,9.6,9.8
20140702,9.6,9.75,9.45,9.7
20140630,9.6,9.6,9.4,9.55
20140627,9.55,9.7,9.55,9.6
20140626,9.5,9.6,9.45,9.55
20140625,9.55,9.65,9.45,9.5
20140624,9.35,9.7,9.1,9.65
20140623,9.9,9.9,9.35,9.55
20140620,9.95,10.1,9.75,9.9
20140619,9.5,9.95,9.35,9.95
20140618,9.5,9.55,9.2,9.4
20140617,8.7,9.65,8.7,9.65
20140616,8.7,8.8,8.6,8.7
20140613,8.5,8.8,8.4,8.7
20140612,8.6,8.75,8.5,8.55
20140611,8.45,8.9,8.4,8.5
