date,open,high,low,close
20141107,49.75,49.75,49,49.5
20141106,50,50,49,49
20141105,49,50,48.25,49.5
20141104,48.5,49.25,48,48.75
20141103,48,48.5,47.75,48
20141031,47,47.75,47,47.75
20141030,47,47.25,46.5,46.5
20141029,46.25,47.5,46,47
20141028,45.5,46,45.5,46
20141027,45.75,45.75,45,45.75
20141024,44.75,45.25,44.75,45.25
20141022,45,45.25,43.75,45.25
20141021,44.75,45,44.5,44.75
20141020,45.5,45.5,44.5,44.75
20141017,46,46,43,44.75
20141016,46.5,47,45.5,45.5
20141015,47,47.5,46.75,47
20141014,47.25,47.75,47,47
20141013,47,47.75,47,47.5
20141010,47,47.5,46.75,47.5
20141009,48.5,49.5,47,47
20141008,48,48.75,47.25,48.25
20141007,50,50,47.5,48.25
20141006,49,50,48.5,50
20141003,48.5,49,48.25,49
20141002,48.75,49.25,48.25,49.25
20141001,48.75,49.25,48.5,48.75
20140930,49,49.75,48.75,48.75
20140929,49.25,49.75,49,49.25
20140926,49.5,50,49.25,50
20140925,49.5,50,49.5,49.5
20140924,49,49.75,49,49.5
20140923,49.75,49.75,49.25,49.25
20140922,49,49.75,49,49.5
20140919,50.25,50.25,48.75,49.5
20140918,50.75,50.75,49.5,49.5
20140917,50.5,50.75,50.25,50.25
20140916,50.75,51.25,50.5,50.5
20140915,50.75,52,50.75,51.25
20140912,51,51.75,50.5,51.75
20140911,51.75,52.25,51.5,51.75
20140910,50.5,52,50.5,51.5
20140909,52.5,53,52.25,52.25
20140908,53.25,53.5,52.5,52.75
20140905,52.25,54.25,51.75,53.5
20140904,50.25,53,50,53
20140903,49.25,50.25,49.25,50.25
20140902,49.25,50,49,50
20140901,50,50.25,49,49.75
20140829,51,51,49.75,50.25
20140828,51.5,51.5,50.5,50.5
20140827,50.75,51.25,50.5,51.25
20140826,51,51,50.75,51
20140825,50.5,51,50.5,51
20140822,50.25,51.5,50.25,50.5
20140821,51,51,50.5,51
20140820,51.5,51.5,50.5,50.5
20140819,51.25,51.75,50.75,51.75
20140818,50.25,51,50.25,51
20140815,50.5,51,49.5,50.25
20140814,49.5,50,49,50
20140813,48.5,49.5,48,49.5
20140808,49,49,47.75,48
20140807,47.5,48.75,47.5,48.75
20140806,48.75,48.75,47.25,48
20140805,50.5,50.5,48.5,48.75
20140804,50,51.25,50,50
20140801,50,52,50,51
20140731,53.25,53.25,51.25,51.25
20140730,50.75,52.5,50,52.5
20140729,49.25,50.5,49,50.5
20140728,48.75,49.5,48,49.5
20140725,47.25,48.75,47.25,48.75
20140724,49,49,48,48
20140723,47.25,49,47.25,49
20140722,46.75,47.5,46.75,47.5
