date,open,high,low,close
20141107,200,201,199,199.5
20141106,200,201,198.5,200
20141105,199,201,198.5,199.5
20141104,198,199,197.5,199
20141103,198.5,199,197,197.5
20141031,197,198.5,196.5,198
20141030,196,196,195,196
20141029,196,196.5,195,196
20141028,195.5,196,195,195.5
20141027,196.5,197,194.5,196
20141024,196,198.5,195.5,196
20141022,194,194.5,191.5,192.5
20141021,195,195,193.5,194
20141020,194,195,193,194.5
20141017,192.5,193,191,192
20141016,194.5,194.5,192,192
20141015,196.5,198,195,195
20141014,196.5,197.5,196,197
20141013,196.5,197,195,196
20141010,196,197.5,195.5,197.5
20141009,197.5,198.5,196.5,197
20141008,196,198.5,195,196.5
20141007,197.5,198.5,197,197
20141006,203,203,197.5,197.5
20141003,201,204,201,203
20141002,204,204,201,201
20141001,204,206,203,205
20140930,203,206,203,204
20140929,207,208,203,203
20140926,207,208,206,208
20140925,210,210,206,209
20140924,213,215,213,214
20140923,212,215,211,212
20140922,211,213,210,212
20140919,212,214,210,211
20140918,211,212,207,211
20140917,208,212,206,211
20140916,209,210,206,206
20140915,208,210,207,209
20140912,208,209,207,208
20140911,211,212,208,208
20140910,211,214,209,211
20140909,214,214,211,214
20140908,214,216,214,215
20140905,213,214,212,212
20140904,216,216,211,211
20140903,213,215,212,215
20140902,210,214,210,212
20140901,207,212,206,210
20140829,205,207,204,205
20140828,207,209,206,206
20140827,204,207,204,206
20140826,203,204,201,203
20140825,201,204,201,203
20140822,202,203,200,200
20140821,202,203,200,201
20140820,202,204,201,203
20140819,203,203,201,201
20140818,202,203,200,202
20140815,201,202,199.5,202
20140814,201,202,199.5,200
20140813,198,199.5,197.5,199.5
20140808,195,196.5,194.5,196.5
20140807,198.5,199,196.5,197
20140806,199,200,198,198
20140805,201,202,199.5,199.5
20140804,197.5,201,196,200
20140801,195,197,193,196
20140731,195.5,198,194.5,195
20140730,196.5,198,193,196
20140729,199,199.5,195,195
20140728,199.5,201,197.5,199
20140725,202,202,198.5,199
20140724,203,204,201,203
20140723,200,203,200,202
20140722,198.5,201,197,199.5
20140721,196.5,197.5,196.5,197
20140718,197,198,195.5,195.5
20140717,198,198,196,197.5
20140716,199.5,201,197,197.5
20140715,202,202,199,199
20140714,204,205,201,202
20140710,202,203,200,203
20140709,197.5,201,197.5,201
20140708,198,201,197.5,198.5
20140707,198.5,199.5,197,197
20140704,202,202,197.5,198
20140703,200,201,198.5,201
20140702,195,200,194,199.5
20140630,193,194.5,193,193
20140627,193.5,193.5,191,192.5
20140626,193.5,193.5,192,193.5
20140625,192,193.5,191.5,192.5
20140624,192,192,190,191
20140623,195,195,192,193
20140620,190.5,193.5,190,193.5
20140619,190.5,191,188.5,190
20140618,192,192,189.5,190
20140617,193.5,194,192,192
20140616,193.5,194,192,193.5
20140613,193.5,194.5,192.5,193
20140612,195.5,196,193.5,193.5
20140611,195.5,197.5,194.5,196.5
20140610,192.5,195.5,191.5,195
20140609,192.5,193,191,192.5
20140606,192.5,193,191,191.5
20140605,191,192,190,191.5
20140604,194,194,190,190.5
20140603,193,194,192.5,193.5
20140602,186,191,186,191
20140530,186,188,185,185
20140529,186,187.5,184.5,185.5
20140528,184,188,184,186.5
20140527,181.5,184,181.5,183.5
20140526,184,184,179,180
20140523,181,184.5,180.5,184.5
20140522,187,187.5,185,185.5
20140521,185,186,184.5,185.5
20140520,186,187.5,185,185.5
20140519,189,189.5,187,188
20140516,185.5,188.5,185,188
20140515,186,186,184.5,185.5
20140514,186,187,185,186.5
20140512,186.5,186.5,184,184.5
20140509,186,187.5,186,186.5
20140508,188.5,189,185.5,186
20140507,188,190,186.5,189
20140506,192.5,193,190.5,191.5
20140502,189,192,189,192
20140430,190.5,190.5,188.5,188.5
20140429,189,191.5,189,190
20140428,188,190.5,188,189
20140425,188.5,189,187,187.5
20140424,195,195,188,189
20140423,194.5,196.5,194.5,195.5
20140422,192,193.5,190.5,193.5
20140421,190,193,189.5,191
20140418,190.5,192,190,190
20140417,190,195,190,194.5
20140416,188.5,190.5,187.5,190
20140411,186,187.5,186,187.5
20140410,185,186,184,186
20140409,187,188.5,185.5,186
20140408,187.5,189,186.5,186.5
20140404,183.5,186.5,183.5,186.5
20140403,183.5,184.5,182.5,184
20140402,182,184.5,181.5,183.5
20140401,179.5,181,179,181
20140331,177,179,176,178.5
20140328,174.5,176.5,174,176
20140327,175.5,177,174,174
20140326,176,177,175.5,175.5
20140325,176,176,173,175
20140324,176.5,177,175,175
20140321,177,178.5,175,176.5
20140320,180,180.5,176.5,178
20140319,182.5,183.5,180.5,181.5
20140318,180,183,179.5,181.5
20140317,177.5,180.5,177,179
20140314,176.5,178.5,176,178
20140313,177,178.5,176.5,177.5
20140312,176,178,176,177
20140311,175,178.5,174.5,176.5
20140310,176,176.5,174,174.5
20140307,179,179.5,177,177.5
20140306,178.5,179.5,178,179
20140305,177,179,177,179
20140304,174,177,174,176
20140303,172.5,175.5,172.5,174.5
20140228,173,173.5,172,172
20140227,172,174,172,173
20140226,172,173,172,172
20140225,171.5,173.5,171.5,173.5
20140224,172,173,170.5,171.5
