date,open,high,low,close
20141107,38.75,39,38.5,39
20141106,39,39.25,38.5,38.75
20141105,38.5,39,38.5,39
20141104,39,39.25,38.5,38.75
20141103,38,39,38,39
20141031,38.25,38.5,38,38
20141030,38.5,38.5,38,38.25
20141029,38,38.25,37.75,38
20141028,37.75,38,37.5,37.75
20141027,37.75,38,37.5,38
20141024,38,38.5,37.75,37.75
20141022,38.25,38.5,37.75,38.25
20141021,38,38,37.5,38
20141020,37.75,38,37.5,37.75
20141017,37.25,37.75,37.25,37.75
20141016,37.25,37.5,37,37.5
20141015,37.75,38,37.5,37.75
20141014,37.25,37.75,37,37.5
20141013,37.25,37.25,37,37.25
20141010,37,37.5,36.75,37
20141009,37,37.25,37,37.25
20141008,36.75,37.25,36.75,37.25
20141007,36.75,37,36.75,37
20141006,37.25,37.25,36.75,36.75
20141003,37.5,37.75,37.25,37.25
20141002,38.25,38.5,37.5,37.5
20141001,38.75,38.75,38,38.25
20140930,37.75,38,37.25,38
20140929,37.75,38,37.5,37.75
20140926,37.25,37.75,37.25,37.75
20140925,37.5,37.75,37.25,37.25
20140924,37,37.75,37,37.5
20140923,37.25,37.5,37,37
20140922,37.25,37.25,37,37.25
20140919,37,37.25,37,37
20140918,37,37.25,36.75,37
20140917,37.5,37.5,36.75,37
20140916,37.25,37.75,37,37.25
20140915,37,37.25,36.5,37
20140912,36.75,37,36.5,36.75
20140911,37,37.75,36.75,36.75
20140910,37.5,37.5,36.5,37
20140909,37.75,38,37.5,37.5
20140908,38.5,38.75,37.5,37.5
20140905,39.5,39.5,39.25,39.5
20140904,39.75,39.75,39.5,39.5
20140903,39.75,40,39.5,39.75
20140902,39.5,39.75,39.5,39.5
20140901,39.25,39.5,39,39.25
20140829,39,39.25,39,39
20140828,39.25,39.25,38.75,39.25
20140827,38.75,39.25,38.75,39
20140826,39,39,38.5,38.75
20140825,38.25,38.75,38,38.75
20140822,38.75,38.75,38,38.25
20140821,38.75,39,38.5,38.75
20140820,38.5,38.75,38.25,38.75
20140819,38.25,38.5,38,38.5
20140818,38,38.5,38,38
20140815,37.75,38.25,37.75,38
20140814,38,38.25,37.75,37.75
20140813,38.5,38.75,37.75,38
20140808,37,38.5,37,38.5
20140807,37.25,37.5,37,37
20140806,37.75,38,37.25,37.25
20140805,37.75,38,37.5,37.75
20140804,37,37.75,36.75,37.5
20140801,37,37,36.5,36.75
20140731,36.75,37.5,36.75,37.25
20140730,37.5,38,36.75,37
20140729,38.25,38.5,37.5,37.75
20140728,39,39.25,38,38
20140725,39.5,40.5,38.75,38.75
20140724,38.5,38.75,38,38.5
20140723,37.75,38.5,37.75,38.5
20140722,38.25,38.25,37.75,37.75
20140721,38,38.5,37.75,38.25
20140718,38.25,38.5,37.5,38.25
20140717,39,39.25,38.5,38.5
20140716,37.5,38.75,37.25,38.75
20140715,37.5,37.75,37,37.25
20140714,37,37.75,37,37.5
20140710,36.5,36.75,36.25,36.75
20140709,36.5,36.75,36.25,36.5
20140708,37,37.5,36.75,36.75
20140707,37,37.25,37,37
20140704,37.25,37.25,36.75,37
20140703,37.25,37.5,37,37
20140702,37.25,38,37.25,37.25
20140630,38,38,37.25,37.5
20140627,37,37.5,36.75,37.5
20140626,36.5,37,36.25,37
20140625,36.5,36.75,36.25,36.5
20140624,36.5,37,36.25,36.5
20140623,37,37,36.5,36.75
20140620,36.5,37,36.25,36.75
20140619,36.75,36.75,36.25,36.5
20140618,36,37,36,36.5
20140617,35.75,36.25,35.5,36.25
20140616,35.5,35.75,35.25,35.5
20140613,36,36.25,35.5,35.5
20140612,35.75,36.25,35.75,36.25
20140611,36,36.25,36,36
20140610,36,36.25,35.75,35.75
20140609,36,36.25,35.75,36.25
20140606,35.75,36,35.5,35.5
20140605,35.25,36.25,35.25,35.75
20140604,35,35.25,34.75,35
20140603,35,35.25,34.75,35
20140602,35,35,34.75,35
20140530,35,35.25,34.75,34.75
20140529,35.5,35.5,34.75,34.75
20140528,35,35,34.5,35
20140527,35,35,34.5,34.5
20140526,34.25,35,34,35
20140523,33.5,34,33.5,34
20140522,34.25,34.5,34,34
20140521,34.75,34.75,34,34.25
20140520,33.75,34.75,33.5,34.75
20140519,33.5,34.25,33.5,34
20140516,33.75,33.75,33.5,33.5
20140515,34,34,33.5,33.5
20140514,33.75,34.75,33.5,33.75
20140512,33.5,34,33.5,33.5
20140509,33.5,34,33.25,34
20140508,33.75,33.75,33.25,33.5
