date,open,high,low,close
20141107,234,234,229,229
20141106,236,237,232,232
20141105,246,246,233,234
20141104,243,250,242,249
20141103,238,242,235,241
20141031,226,233,224,233
20141030,225,227,224,224
20141029,225,227,223,224
20141028,222,224,221,224
20141027,224,224,221,222
20141024,226,226,221,222
20141022,222,225,220,225
20141021,222,224,219,222
20141020,224,225,222,222
20141017,220,223,219,223
20141016,222,223,221,221
20141015,223,224,220,221
20141014,229,229,220,220
20141013,222,230,221,229
20141010,224,228,221,227
20141009,218,223,214,223
20141008,217,221,217,219
20141007,230,230,222,222
20141006,228,232,224,232
20141003,226,228,221,228
20141002,227,230,225,228
20141001,234,234,226,227
20140930,237,237,228,231
20140929,231,239,231,234
20140926,233,233,229,231
20140925,227,230,227,230
20140924,228,229,226,227
20140923,226,230,226,228
20140922,225,230,225,228
20140919,232,232,228,228
20140918,226,232,226,232
20140917,227,229,223,228
20140916,230,231,223,223
20140915,237,237,233,234
20140912,239,239,229,237
20140911,240,240,236,239
20140910,239,241,236,241
20140909,240,240,238,238
20140908,236,241,235,239
20140905,235,239,234,236
20140904,240,240,236,236
20140903,242,242,236,238
20140902,240,242,236,242
20140901,241,243,240,240
20140829,237,243,237,240
20140828,239,243,237,243
20140827,241,243,240,241
20140826,241,242,237,242
20140825,238,240,236,240
20140822,239,239,233,236
20140821,229,238,227,235
20140820,233,234,231,231
20140819,236,238,233,235
20140818,238,240,237,237
20140815,239,241,235,238
20140814,232,241,232,237
20140813,228,235,228,232
20140808,224,226,224,226
20140807,226,230,223,227
20140806,223,230,222,226
20140805,225,227,221,223
20140804,221,226,215,225
20140801,228,228,221,223
20140731,232,235,228,231
20140730,230,232,226,232
20140729,228,230,226,228
20140728,229,229,224,226
20140725,224,229,223,228
20140724,224,230,223,224
20140723,216,216,212,216
20140722,212,214,207,213
20140721,210,213,210,212
20140718,210,214,210,213
20140717,212,214,209,213
20140716,212,212,210,212
20140715,210,212,208,212
20140714,206,210,206,209
20140710,204,209,204,206
20140709,206,209,204,204
20140708,203,210,203,207
20140707,208,209,206,206
20140704,208,209,205,208
20140703,205,207,205,206
20140702,204,208,204,205
20140630,205,206,204,204
20140627,204,208,203,206
20140626,202,203,202,203
20140625,205,205,201,203
20140624,202,205,201,205
20140623,200,202,200,202
20140620,206,206,199.5,201
20140619,207,208,199,204
20140618,210,210,207,209
20140617,206,210,205,210
20140616,209,209,203,207
20140613,205,211,205,209
20140612,205,208,204,206
20140611,211,212,206,206
20140610,207,210,206,209
20140609,209,209,203,205
20140606,204,207,200,206
20140605,193,203,192.5,202
20140604,193,193,190.5,192
20140603,195,196,191.5,192
20140602,190.5,192,190,192
20140530,190,190.5,187,189
20140529,185,189.5,185,189
20140528,185.5,187.5,184,184.5
20140527,184.5,185,183.5,185
20140526,182.5,184,181,183.5
20140523,183.5,183.5,180,182.5
20140522,185,185,182,183.5
20140521,183.5,184,182,184
20140520,180,184.5,180,184.5
20140519,180.5,183,180.5,181
20140516,179,181.5,178.5,180.5
20140515,179,181,178.5,180
20140514,179.5,181,179,179.5
20140512,179.5,182.5,179.5,180
20140509,183,185,179.5,180.5
20140508,181.5,184,178.5,184
20140507,178.5,182.5,177,182.5
20140506,185,186,183,183
20140502,187.5,188,185.5,185.5
20140430,190.5,192,190,190
20140429,195,196,189.5,193
20140428,190,195,190,195
20140425,191.5,194,190,190
20140424,189.5,191.5,189,190.5
20140423,189,190.5,188,189
20140422,192,192,188.5,189
20140421,187,191,186.5,191
20140418,185.5,187.5,185.5,186.5
20140417,186.5,187,186,186.5
20140416,188.5,190,187.5,189
20140411,187,188,186,187.5
20140410,191.5,191.5,186.5,187
20140409,190,191.5,188.5,188.5
20140408,192,193,189,191
20140404,193,193,191,192
20140403,188,191.5,187,191.5
20140402,187.5,188,185,187.5
20140401,184.5,188,184,186.5
20140331,187,187,183.5,183.5
20140328,180.5,190,179,187
20140327,179,180.5,179,180.5
20140326,180.5,180.5,179,179.5
20140325,180.5,180.5,178,180.5
20140324,178.5,180.5,178.5,180.5
20140321,179.5,180.5,178.5,178.5
20140320,179,179.5,178,179
20140319,181.5,182,179.5,179.5
20140318,182,182.5,180.5,181
20140317,184,184,180.5,183.5
20140314,183,183.5,181,183.5
20140313,180,183.5,180,183
20140312,180,180,179,179.5
20140311,178.5,180.5,178.5,180.5
20140310,177.5,178.5,177.5,178.5
20140307,178.5,178.5,177.5,178
20140306,178,180.5,177,178
20140305,179,179.5,176.5,178
20140304,178.5,179,178,178
20140303,178,180,177.5,178.5
20140228,178,178,176.5,177
20140227,179,179,176.5,178
20140226,179,179.5,178,178
20140225,180,181,176,178
20140224,181,181.5,179.5,180.5
20140221,181,185,180,183
20140220,187,188,182.5,182.5
20140219,191,191,188,188
20140218,186,189,185,188
20140217,189,189.5,186,186
20140213,187,188,185.5,187
20140212,182.5,188.5,182.5,187
20140211,178.5,179.5,177.5,178.5
