date,open,high,low,close
20141107,37.25,37.75,37,37.75
20141106,37.5,37.5,37.25,37.25
20141105,38,38,37.5,37.5
20141104,37.75,38.25,37.5,38
20141103,38,38.5,37.5,37.5
20141031,38,38.25,37.75,37.75
20141030,38.25,38.25,37.75,37.75
20141029,37.75,38.25,37.5,38
20141028,37.75,38.25,37.5,37.5
20141027,37.75,38,37.5,38
20141024,37.75,37.75,36.75,37.75
20141022,37,37.5,36.75,37.5
20141021,36.75,37,36.5,37
20141020,37.5,37.5,36.5,36.75
20141017,37.5,37.5,36.75,37
20141016,38.5,38.5,37.25,37.25
20141015,39,39,38.5,39
20141014,38,39,38,38.75
20141013,38.25,38.25,37.75,38.25
20141010,38.25,39,38,38.25
20141009,39,39.25,38.25,38.75
20141008,38.25,39,38.25,39
20141007,38,39.25,38,39.25
20141006,39,39.5,37.25,38.25
20141003,39.25,39.75,39,39.5
20141002,39.25,39.5,38.5,39
20141001,39,39.75,39,39.5
20140930,39.75,40,39,39
20140929,41,41,39.25,40
20140926,40.75,41.25,40.25,40.75
20140925,40.5,41,40.5,41
20140924,40,41,40,40.5
20140923,39.75,40.5,39.75,40
20140922,40.25,40.75,39.5,39.75
20140919,41.5,41.75,40,40.25
20140918,39.75,41,39.5,41
20140917,39.25,39.5,38.75,39.25
20140916,40,40.25,38.75,38.75
20140915,39.5,41,38.75,39.75
20140912,38.5,39.5,37.75,39.5
20140911,38.25,38.75,38,38
20140910,38.25,38.5,37.5,38.25
20140909,39,39.25,38,38
20140908,39.25,39.25,38,38
20140905,39,39.25,38.5,39
20140904,40.25,40.25,38.75,39
20140903,38.5,40.5,38.5,40
20140902,39.25,39.5,38.5,38.5
20140901,39,39.5,39,39.25
20140829,39,39.75,38.5,39
20140828,38.5,39,38,39
20140827,36.25,38,36.25,37.75
20140826,36.25,36.75,36.25,36.25
20140825,36.25,36.5,36,36.25
20140822,36.5,36.5,36,36.25
20140821,36.5,36.75,36,36.25
20140820,36.75,37,36.5,36.5
20140819,36.5,36.75,36.25,36.5
20140818,36.75,36.75,36.25,36.25
20140815,36.75,37,36.25,36.75
20140814,36.5,37.25,36.5,36.75
20140813,36.5,36.5,36,36.25
20140808,35.5,35.75,35.25,35.5
20140807,36,36.25,35.5,35.75
20140806,36.25,36.25,35.75,35.75
20140805,35.5,36.75,35.25,36.25
20140804,35.25,35.25,34.75,35
20140801,34.25,35.25,34,35.25
20140731,35,35.25,34.5,34.5
20140730,35.5,36,34.75,35
20140729,36.5,36.5,35,35.25
20140728,36,36,35.25,35.25
20140725,36.75,36.75,36,36
20140724,37.5,37.5,36.25,36.5
20140723,34.75,36.5,34.25,36.5
20140722,35,35,33.75,33.75
20140721,35.5,35.5,34.75,34.75
20140718,36,36,35.5,35.5
20140717,36.75,36.75,35.75,36
20140716,36.5,37,36.5,36.5
20140715,37,37,36.25,36.25
20140714,37,37,36.5,37
20140710,36.25,37,36.25,36.5
20140709,36.75,36.75,36,36.25
20140708,36,37,36,36.75
20140707,36,36.5,35.75,36
20140704,36.75,36.75,35.75,35.75
20140703,37.5,37.75,36.5,36.75
20140702,37.75,37.75,37.5,37.5
20140630,38,38.5,37.5,37.5
20140627,38.25,38.25,37.75,38
20140626,37.25,38.5,37.25,37.75
20140625,38.25,38.25,36.25,37
20140624,39.25,39.25,38,38
20140623,39.75,40,39.25,39.25
20140620,39.5,40,39.25,39.5
20140619,39,39.25,39,39
20140618,39.75,39.75,39,39
20140617,39.5,39.5,39.25,39.25
20140616,39.25,39.75,39.25,39.25
20140613,39.75,40,39,39.25
20140612,40.25,40.5,39.5,39.5
20140611,40,41,40,40.25
20140610,39.25,40,39.25,39.75
20140609,39,39.25,38.75,38.75
20140606,39.25,39.25,38.75,39
20140605,39.5,39.5,39,39.25
20140604,38.75,39.5,38.75,39.25
20140603,39.75,39.75,38.75,38.75
20140602,39.75,39.75,39.25,39.25
20140530,40,40.5,39.5,39.5
20140529,40.5,40.5,39.5,39.75
20140528,40.75,41,40,40
20140527,39.5,40.75,39,40.75
20140526,39,39.75,39,39.25
20140523,38.5,39.25,38,38.75
20140522,39.75,40.25,39.25,39.25
20140521,39,40,39,39.75
20140520,38.5,39.25,38.5,39
20140519,39.5,39.75,39,39
20140516,39.75,40.5,39.25,39.5
20140515,39,40,38.75,39.75
20140514,39,39.5,38.5,38.75
20140512,37.75,39.75,37.5,39
20140509,38.25,38.75,38,38.25
