date,open,high,low,close
20141107,1.95,1.96,1.94,1.95
20141106,1.98,1.98,1.95,1.95
20141105,1.96,1.98,1.94,1.98
20141104,1.98,1.98,1.95,1.97
20141103,2,2.02,1.98,1.98
20141031,2,2,1.98,2
20141030,2,2.02,1.97,1.99
20141029,1.98,2.02,1.97,1.99
20141028,1.94,1.99,1.94,1.97
20141027,1.93,1.96,1.92,1.94
20141024,1.92,1.94,1.91,1.93
20141022,1.92,1.92,1.88,1.92
20141021,1.91,1.92,1.89,1.91
20141020,1.96,1.96,1.9,1.9
20141017,1.94,1.95,1.92,1.95
20141016,1.96,1.97,1.93,1.94
20141015,1.96,2.02,1.95,1.98
20141014,1.97,1.98,1.96,1.96
20141013,1.98,1.98,1.94,1.98
20141010,1.98,2,1.98,1.98
20141009,2,2.02,1.98,2.02
20141008,1.94,1.97,1.91,1.97
20141007,1.98,2,1.93,1.96
20141006,2.08,2.1,1.98,1.98
20141003,2.1,2.12,2.06,2.1
20141002,2.12,2.16,2.08,2.1
20141001,2.18,2.2,2.12,2.16
20140930,2.16,2.18,2.14,2.18
20140929,2.18,2.22,2.14,2.16
20140926,2.12,2.18,2.1,2.18
20140925,2.12,2.2,2.1,2.12
20140924,2.1,2.12,2.08,2.12
20140923,2.1,2.12,2.08,2.08
20140922,2.12,2.16,2.1,2.1
20140919,2.1,2.16,2.08,2.14
20140918,2.08,2.1,2.06,2.1
20140917,2.1,2.12,2.06,2.06
20140916,2.1,2.12,2.08,2.1
20140915,2.12,2.12,2.1,2.12
20140912,2.14,2.14,2.1,2.12
20140911,2.12,2.16,2.08,2.14
20140910,2.12,2.12,2.08,2.1
20140909,2.14,2.16,2.08,2.12
20140908,2.16,2.18,2.12,2.14
20140905,2.16,2.18,2.12,2.14
20140904,2.18,2.2,2.14,2.16
20140903,2.16,2.18,2.14,2.16
20140902,2.18,2.2,2.14,2.14
20140901,2.2,2.22,2.16,2.16
20140829,2.18,2.22,2.16,2.2
20140828,2.2,2.2,2.14,2.18
20140827,2.2,2.24,2.16,2.18
20140826,2.24,2.26,2.2,2.2
20140825,2.22,2.28,2.2,2.24
20140822,2.2,2.22,2.18,2.2
20140821,2.2,2.22,2.18,2.18
20140820,2.18,2.18,2.12,2.16
20140819,2.16,2.18,2.12,2.16
20140818,2.14,2.16,2.1,2.12
20140815,2.14,2.16,2.08,2.14
20140814,2.2,2.22,2.14,2.14
20140813,2.2,2.22,2.14,2.18
20140808,2.06,2.2,2.06,2.18
20140807,2.1,2.12,2.06,2.1
20140806,2.12,2.14,2.08,2.1
20140805,2.12,2.16,2.1,2.14
20140804,2.06,2.12,2.02,2.12
20140801,2.04,2.08,1.98,2.06
20140731,2.14,2.18,2.08,2.08
20140730,2.2,2.24,2.08,2.14
20140729,2.32,2.32,2.18,2.2
20140728,2.16,2.3,2.12,2.28
20140725,2.18,2.18,2.12,2.14
20140724,2.18,2.22,2.14,2.16
20140723,2.12,2.2,2.1,2.18
20140722,2.24,2.24,2.08,2.1
20140721,2.22,2.26,2.18,2.22
20140718,2.06,2.18,2.04,2.18
20140717,2.04,2.06,2.02,2.06
20140716,1.99,2.06,1.98,2.04
20140715,1.99,2.06,1.98,1.98
20140714,1.91,1.94,1.9,1.94
20140710,1.89,1.9,1.87,1.9
20140709,1.88,1.89,1.87,1.88
20140708,1.9,1.91,1.89,1.89
20140707,1.89,1.91,1.89,1.9
20140704,1.95,1.97,1.92,1.93
20140703,1.91,1.95,1.9,1.94
20140702,1.92,1.93,1.89,1.9
20140630,1.89,1.92,1.88,1.88
20140627,1.85,1.9,1.82,1.88
20140626,1.82,1.86,1.81,1.85
20140625,1.78,1.82,1.76,1.82
20140624,1.82,1.84,1.76,1.78
20140623,1.7,1.8,1.68,1.79
20140620,1.69,1.7,1.67,1.7
20140619,1.68,1.69,1.67,1.69
20140618,1.69,1.7,1.67,1.67
20140617,1.69,1.71,1.68,1.69
20140616,1.7,1.71,1.68,1.69
20140613,1.69,1.71,1.68,1.7
20140612,1.72,1.73,1.69,1.69
20140611,1.69,1.74,1.67,1.71
20140610,1.67,1.69,1.66,1.68
20140609,1.68,1.69,1.66,1.68
20140606,1.68,1.69,1.66,1.68
20140605,1.67,1.67,1.65,1.67
20140604,1.68,1.71,1.64,1.66
20140603,1.69,1.71,1.65,1.66
20140602,1.63,1.7,1.62,1.68
20140530,1.6,1.62,1.59,1.61
20140529,1.6,1.62,1.58,1.6
20140528,1.62,1.63,1.59,1.59
20140527,1.57,1.61,1.56,1.61
20140526,1.56,1.57,1.54,1.55
20140523,1.54,1.57,1.53,1.56
20140522,1.6,1.62,1.57,1.58
20140521,1.56,1.59,1.55,1.58
20140520,1.54,1.57,1.54,1.56
20140519,1.55,1.58,1.54,1.57
20140516,1.51,1.55,1.51,1.52
20140515,1.54,1.55,1.51,1.52
20140514,1.54,1.55,1.53,1.54
20140512,1.51,1.54,1.51,1.53
20140509,1.51,1.53,1.5,1.51
20140508,1.54,1.55,1.51,1.51
20140507,1.57,1.58,1.51,1.54
20140506,1.62,1.63,1.58,1.58
20140502,1.64,1.64,1.61,1.62
20140430,1.64,1.64,1.61,1.63
20140429,1.63,1.64,1.61,1.64
20140428,1.64,1.64,1.61,1.63
20140425,1.67,1.67,1.63,1.63
20140424,1.64,1.68,1.63,1.67
20140423,1.64,1.65,1.61,1.63
20140422,1.62,1.64,1.6,1.64
