date,open,high,low,close
20141107,10.4,10.4,10.2,10.3
20141106,10.2,10.5,10.2,10.4
20141105,10.5,10.5,10.2,10.2
20141104,10.3,10.6,10.2,10.4
20141103,10.3,10.4,10.2,10.2
20141031,10.2,10.3,10.1,10.3
20141030,10.2,10.2,10.1,10.1
20141029,10.2,10.2,10.1,10.2
20141028,10.1,10.2,10,10.1
20141027,10.2,10.2,10,10
20141024,10.3,10.3,10.1,10.2
20141022,10.2,10.3,10.1,10.2
20141021,10.3,10.3,10.1,10.1
20141020,10.3,10.4,10.1,10.2
20141017,10.2,10.4,10.1,10.2
20141016,10,10.3,10,10.1
20141015,10.1,10.1,9.95,9.95
20141014,10,10.1,9.95,10
20141013,10.1,10.1,9.95,10
20141010,10.1,10.2,10,10.1
20141009,10.1,10.3,10,10.3
20141008,10.1,10.2,10,10
20141007,9.95,10.2,9.85,10.2
20141006,9.9,10,9.8,9.9
20141003,9.75,9.85,9.65,9.85
20141002,9.9,9.95,9.75,9.75
20141001,10,10,9.9,9.9
20140930,9.9,10,9.8,10
20140929,10,10.1,9.9,9.9
20140926,9.9,10,9.85,9.95
20140925,10,10.2,9.9,9.9
20140924,9.7,10,9.65,9.95
20140923,9.6,9.65,9.55,9.65
20140922,9.55,9.7,9.5,9.55
20140919,9.65,9.65,9.55,9.6
20140918,9.65,9.7,9.6,9.65
20140917,9.45,9.65,9.45,9.65
20140916,9.45,9.55,9.4,9.45
20140915,9.5,9.55,9.4,9.45
20140912,9.4,9.55,9.3,9.55
20140911,9.45,9.45,9.35,9.35
20140910,9.5,9.55,9.4,9.4
20140909,9.6,9.6,9.5,9.55
20140908,9.6,9.7,9.55,9.6
20140905,9.65,9.65,9.55,9.6
20140904,9.75,9.75,9.55,9.6
20140903,9.7,9.75,9.65,9.7
20140902,9.65,9.75,9.6,9.65
20140901,9.65,9.75,9.65,9.65
20140829,9.7,9.8,9.6,9.65
20140828,9.7,9.75,9.65,9.75
20140827,9.6,9.85,9.6,9.75
20140826,9.75,9.75,9.6,9.6
20140825,9.6,9.75,9.6,9.75
20140822,9.6,9.6,9.35,9.5
20140821,9.6,9.6,9.5,9.55
20140820,9.7,9.75,9.5,9.55
20140819,9.6,9.7,9.6,9.65
20140818,9.75,9.8,9.55,9.55
20140815,9.55,9.85,9.5,9.75
20140814,9.6,9.7,9.35,9.55
20140813,9.3,9.5,9.25,9.5
20140808,9.15,9.3,9.1,9.2
20140807,9.1,9.25,8.95,9.25
20140806,8.9,9.15,8.85,9
20140805,8.9,8.95,8.8,8.85
20140804,8.7,8.95,8.65,8.9
20140801,8.5,8.7,8.5,8.6
20140731,8.6,8.65,8.55,8.55
20140730,8.7,8.7,8.6,8.6
20140729,8.75,8.75,8.65,8.65
20140728,8.7,8.75,8.65,8.75
20140725,8.7,8.75,8.65,8.7
20140724,8.7,8.75,8.65,8.7
20140723,8.7,8.75,8.65,8.7
20140722,8.8,8.8,8.65,8.65
20140721,8.75,8.8,8.7,8.75
20140718,8.7,8.8,8.7,8.75
20140717,8.7,8.75,8.65,8.75
20140716,8.8,8.85,8.7,8.7
20140715,8.75,8.8,8.65,8.75
20140714,8.75,8.8,8.7,8.7
20140710,8.8,8.85,8.7,8.7
20140709,8.8,8.85,8.75,8.8
20140708,8.85,8.85,8.8,8.8
20140707,8.75,8.85,8.7,8.85
20140704,8.75,8.8,8.7,8.7
20140703,8.75,8.8,8.7,8.75
20140702,8.65,8.75,8.65,8.7
20140630,8.75,8.8,8.65,8.65
20140627,8.8,8.85,8.7,8.75
20140626,8.75,8.85,8.75,8.8
20140625,8.8,8.95,8.65,8.75
20140624,8.9,8.95,8.7,8.8
20140623,8.9,8.95,8.85,8.9
20140620,8.95,9,8.75,8.85
20140619,8.6,8.95,8.55,8.95
20140618,8.6,8.65,8.55,8.6
20140617,8.55,8.6,8.5,8.6
20140616,8.5,8.55,8.45,8.5
20140613,8.5,8.55,8.4,8.45
20140612,8.6,8.6,8.5,8.5
20140611,8.6,8.65,8.55,8.6
20140610,8.55,8.6,8.5,8.6
20140609,8.6,8.6,8.5,8.5
20140606,8.6,8.6,8.5,8.55
20140605,8.5,8.6,8.45,8.55
20140604,8.7,8.7,8.6,8.7
20140603,8.6,8.65,8.55,8.65
20140602,8.5,8.55,8.45,8.5
20140530,8.3,8.45,8.3,8.45
20140529,8.35,8.4,8.25,8.3
20140528,8.3,8.4,8.3,8.35
20140527,8.2,8.35,8.2,8.25
20140526,8.15,8.25,8.1,8.15
20140523,8,8.05,7.95,8.05
20140522,8.1,8.15,8,8.05
20140521,8.1,8.15,8.05,8.05
20140520,8,8.1,8,8.1
20140519,8.1,8.15,8.05,8.1
20140516,8.1,8.15,8.05,8.05
20140515,8.1,8.1,8,8.1
20140514,8.1,8.15,8.05,8.1
20140512,8.1,8.15,8.05,8.05
20140509,8.1,8.2,8.05,8.05
20140508,8.25,8.3,8.1,8.15
20140507,8.25,8.3,8.2,8.3
20140506,8.35,8.4,8.25,8.3
20140502,8.4,8.4,8.3,8.3
20140430,8.4,8.4,8.3,8.35
20140429,8.3,8.4,8.3,8.4
20140428,8.35,8.45,8.3,8.3
20140425,8.45,8.45,8.35,8.35
20140424,8.45,8.5,8.4,8.4
20140423,8.45,8.5,8.4,8.45
20140422,8.45,8.5,8.35,8.4
20140421,8.5,8.5,8.4,8.4
20140418,8.5,8.55,8.45,8.45
20140417,8.6,8.65,8.45,8.45
20140416,8.65,8.7,8.55,8.6
20140411,8.55,8.65,8.5,8.6
20140410,8.5,8.6,8.5,8.6
20140409,8.45,8.5,8.35,8.4
20140408,8.45,8.5,8.4,8.4
20140404,8.4,8.5,8.4,8.45
20140403,8.45,8.5,8.4,8.4
20140402,8.55,8.55,8.45,8.45
20140401,8.4,8.55,8.4,8.55
20140331,8.4,8.45,8.35,8.4
20140328,8.45,8.5,8.3,8.4
20140327,8.45,8.45,8.4,8.4
20140326,8.5,8.5,8.4,8.4
20140325,8.45,8.5,8.4,8.45
20140324,8.5,8.5,8.35,8.4
20140321,8.5,8.6,8.45,8.5
20140320,8.5,8.55,8.45,8.5
20140319,8.65,8.7,8.5,8.55
20140318,8.65,8.7,8.6,8.65
20140317,8.6,8.65,8.45,8.65
20140314,8.6,8.65,8.5,8.6
20140313,8.65,8.7,8.6,8.65
20140312,8.65,8.75,8.6,8.6
20140311,8.6,8.75,8.6,8.65
20140310,8.5,8.55,8.4,8.55
20140307,8.45,8.55,8.4,8.45
20140306,8.3,8.45,8.25,8.4
20140305,8.3,8.35,8.2,8.25
20140304,8.3,8.35,8.25,8.25
20140303,8.4,8.4,8.2,8.25
20140228,8.3,8.35,8.15,8.35
20140227,8.25,8.4,8.25,8.25
20140226,8.25,8.3,8.2,8.25
20140225,8.1,8.25,8.1,8.2
20140224,8.15,8.2,8.1,8.1
20140221,8.2,8.25,8.15,8.2
20140220,8.25,8.3,8.15,8.25
20140219,8.4,8.45,8.25,8.25
20140218,8.4,8.45,8.25,8.4
20140217,8.4,8.45,8.35,8.4
20140213,8.35,8.45,8.3,8.35
20140212,8.3,8.35,8.25,8.3
20140211,8.35,8.4,8.25,8.25
20140210,8.45,8.45,8.25,8.35
20140207,8.3,8.45,8.25,8.4
20140206,8.25,8.4,8.2,8.3
20140205,8.15,8.25,8.1,8.2
20140204,8.1,8.2,8.05,8.15
20140203,8.05,8.25,8.05,8.2
20140131,8.1,8.15,8,8.05
20140130,8.05,8.1,8,8.05
20140129,8.15,8.2,8.1,8.1
20140128,8.2,8.25,8.15,8.25
20140127,8.25,8.3,8.2,8.2
20140124,8.35,8.35,8.25,8.35
20140123,8.3,8.4,8.15,8.35
20140122,8.4,8.5,8.35,8.45
20140121,8.4,8.6,8.4,8.5
20140120,8.35,8.45,8.3,8.35
20140117,8.5,8.5,8.3,8.35
20140116,8.35,8.5,8.35,8.45
20140115,8.45,8.5,8.3,8.35
20140114,8.35,8.5,8.3,8.4
20140113,8.2,8.4,8.15,8.35
20140110,8.05,8.25,7.95,8.2
20140109,8.1,8.3,8.05,8.1
20140108,8.15,8.25,7.95,8.05
20140107,7.95,8.15,7.95,8.15
20140106,7.9,7.9,7.65,7.9
20140103,8,8.1,7.85,7.95
20140102,8.6,8.65,8.2,8.2
