date,open,high,low,close
20141107,26.75,26.75,26.25,26.25
20141106,26.25,26.75,26,26.5
20141105,27,27,25.75,26
20141104,27,27,26.25,26.75
20141103,27.5,27.75,26.75,27
20141031,27.5,27.75,27,27.5
20141030,26.75,27.5,26.5,27.25
20141029,27,27,26.25,26.5
20141028,26.25,27,26,26.75
20141027,25.5,26.5,25.25,26.25
20141024,25.25,25.5,25,25.25
20141022,25.25,25.5,24.6,25
20141021,25.5,25.5,24.1,24.9
20141020,26.25,26.5,24.7,25.5
20141017,26,26.25,25.75,26.25
20141016,26.5,26.5,25.75,26
20141015,26.25,26.75,26.25,26.5
20141014,26.5,26.75,26.25,26.5
20141013,26,26.25,25.75,26.25
20141010,25.75,26.25,25.75,26.25
20141009,26.5,26.75,26,26.25
20141008,25.75,26.5,25.75,26.25
20141007,25.5,26.25,25.25,26.25
20141006,26.75,26.75,25.5,25.5
20141003,26.5,26.75,25.75,26.75
20141002,27.75,27.75,26.25,26.5
20141001,28,28.5,27.75,27.75
20140930,28,28.5,27.75,28.25
20140929,28.5,28.75,27.75,28.25
20140926,28,28.25,27.5,28.25
20140925,28.25,28.5,27.75,27.75
20140924,28,28.25,27.75,28
20140923,27.75,28.5,27.75,27.75
20140922,27.75,28,27.5,27.75
20140919,28,28.25,27.75,28
20140918,27.75,28,27.5,27.75
20140917,28,28,27.25,27.5
20140916,28,28.75,27.5,27.5
20140915,27.75,28,27.5,28
20140912,28.25,28.5,27.25,28
20140911,27.5,28.5,27.5,28.25
20140910,27.75,28,27.25,27.5
20140909,28,28.25,27.5,28
20140908,27.75,28.5,27.5,28
20140905,27.5,27.75,27.25,27.75
20140904,27.75,28,27,27.5
20140903,27.75,28.25,27.5,28
20140902,27.5,27.75,27,27.5
20140901,27.25,27.75,27,27.25
20140829,26.75,27.25,26.75,27
20140828,27.25,27.25,26.5,26.75
20140827,27.25,27.5,26.5,27
20140826,27.5,27.75,27,27
20140825,27.25,27.75,27,27.5
20140822,27.25,27.5,27,27
20140821,27.5,28,27,27
20140820,26.75,27.25,26.25,27.25
20140819,26.5,26.75,26.25,26.25
20140818,27,27.25,26.25,26.25
20140815,27,27.5,26.75,27
20140814,27.5,27.75,27,27.25
20140813,26.75,27.75,26.25,27.25
20140808,25.75,26.25,25.75,26.25
20140807,26.5,26.5,25.75,26.25
20140806,25.75,27,25.5,26.25
20140805,26,26.5,25.75,25.75
20140804,25.5,26.25,25,26
20140801,24.8,25.5,24.8,25
20140731,26.5,27.25,25,25
20140730,25.25,26.5,24.2,26.5
20140729,26.75,27,25,25
20140728,26.25,27,25.25,26.75
20140725,24.8,26,24.4,26
20140724,23.7,24.8,23.6,24.4
20140723,22.5,23.4,22.3,23.4
20140722,23.2,23.5,21.7,22.3
20140721,21.6,22.9,21.6,22.9
20140718,21.7,22,21.5,21.5
20140717,21.9,22,21.7,21.8
20140716,21.8,22.2,21.7,21.8
20140715,21.9,22.1,21.7,21.7
20140714,21.8,22,21.7,21.9
20140710,22,22,21.6,22
20140709,22.1,22.2,22,22.2
20140708,22.2,22.4,22,22.2
20140707,22.3,22.5,22.1,22.2
20140704,21.8,22.4,21.7,22.2
20140703,21.9,22,21.7,21.7
20140702,21.8,22,21.7,21.8
20140630,21.9,21.9,21.5,21.6
20140627,22.1,22.1,21.7,21.7
20140626,22.1,22.1,21.8,22
20140625,22,22.2,21.8,21.9
20140624,22.2,22.3,21.3,22.2
20140623,22.6,22.6,22.1,22.4
20140620,22.3,22.6,22.1,22.4
20140619,22.1,22.4,21.7,22.3
20140618,22.5,22.7,21.6,21.7
20140617,22.2,22.4,21.9,22.3
20140616,22.1,22.4,22,22.1
20140613,22.4,22.9,22,22.2
20140612,21.6,22.2,21.4,22.2
20140611,21.5,22,21.2,21.7
20140610,21,21.9,20.9,21.7
20140609,21.5,21.5,20.6,21
20140606,22.3,22.4,21.5,21.9
20140605,22.1,22.5,22,22.2
20140604,22.2,22.3,21.8,22
20140603,22.4,22.5,21.8,22
20140602,22.3,22.6,21.9,22.1
20140530,21.8,22.1,21.5,22.1
20140529,20.4,22,20.3,22
20140528,20.4,20.5,19.9,20.1
20140527,20,20.5,19.9,20.3
20140526,18.4,19.7,18.4,19.7
20140523,17.7,18.2,17.5,18
20140522,18.2,18.3,17.7,18.3
20140521,16.9,18,16.9,18
20140520,16.8,17.2,16.7,17
20140519,17,17.2,16.8,17.1
20140516,16.8,17.2,16.5,16.9
20140515,16.9,17.1,16.7,16.8
20140514,17,17.1,16.8,16.8
20140512,16.8,17,16.7,16.9
20140509,17.2,17.2,16.8,17
20140508,17.5,17.5,16.9,17.3
20140507,17.4,17.6,17.2,17.6
20140506,18.5,18.6,17.6,18
20140502,18.5,18.7,18.4,18.5
20140430,18.4,18.5,18.3,18.5
20140429,18,18.4,17.9,18.4
20140428,18,18.2,17.9,18
20140425,18.2,18.2,17.8,18
20140424,18.4,18.4,18,18.2
20140423,17.8,18.4,17.8,18.4
20140422,17.8,18,17.7,17.8
20140421,17.6,17.9,17.5,17.7
20140418,17.6,17.7,17.3,17.7
20140417,17.3,17.7,17.2,17.6
20140416,17.1,17.3,17,17.2
20140411,16.9,17.2,16.9,17.1
20140410,17,17.2,16.8,17.1
20140409,17.1,17.2,16.9,16.9
20140408,17.5,17.6,16.9,17
20140404,17.3,17.6,17.2,17.6
20140403,16.8,17.4,16.8,17.2
20140402,17.1,17.1,16.8,16.8
20140401,16.4,17.2,16.2,17.1
20140331,16.2,16.4,16.1,16.3
20140328,16.2,16.2,15.8,16.1
20140327,16.3,16.4,16.1,16.1
20140326,16.2,16.4,16.1,16.4
20140325,16.2,16.3,16,16.1
20140324,16.8,16.9,16.2,16.2
