date,open,high,low,close
20141107,29.75,29.75,28.5,28.75
20141106,30.5,30.75,29.5,29.75
20141105,31,31.25,30.25,30.5
20141104,31,31.25,30.75,31
20141103,31.25,31.5,30.75,31
20141031,31,31.25,30.75,31.25
20141030,31,31,30.5,31
20141029,31,31,30.5,31
20141028,30.5,30.75,30.25,30.75
20141027,31.25,31.25,30,30.5
20141024,31.5,31.75,31,31.25
20141022,31.5,31.75,31,31.25
20141021,30.75,31.5,30.5,31.25
20141020,31.75,32,30.25,30.5
20141017,32.75,33,31.25,31.5
20141016,33,33.25,32.25,32.75
20141015,32.5,33,32.5,33
20141014,32.25,32.75,32.25,32.25
20141013,32,33,31.5,32
20141010,31.5,32,31.25,32
20141009,32.25,32.25,31.25,31.75
20141008,30,32.25,29.75,32.25
20141007,30.5,30.75,30,30.25
20141006,30.5,30.75,30,30.25
20141003,30.75,31,29.5,30.5
20141002,30.5,31,30.25,30.75
20141001,30.5,30.75,30.25,30.5
20140930,30,30.75,30,30.25
20140929,31,31,30.25,30.25
20140926,30.75,31,30.5,31
20140925,31,31.25,30.75,30.75
20140924,31.25,31.5,30.75,31
20140923,31.25,31.5,31,31.25
20140922,31.25,31.5,31.25,31.5
20140919,31.5,31.75,31.25,31.25
20140918,31.25,31.5,31,31.25
20140917,31.5,31.75,31.25,31.5
20140916,31,31.5,30.75,31.25
20140915,31,31.75,30.5,31
20140912,31.25,31.5,30.75,31
20140911,31,31.5,30.5,31.25
20140910,30.25,31,29.75,30.75
20140909,30.75,31,30.25,30.25
20140908,31.25,31.5,30.5,30.5
20140905,31.25,31.5,31,31.25
20140904,31.75,32,31.25,31.25
20140903,30.75,32,30.75,31.75
20140902,31,31,30.5,30.75
20140901,29.5,30.75,29.5,30.5
20140829,29.5,29.75,29.25,29.5
20140828,29.25,29.75,29.25,29.25
20140827,29.5,29.5,29,29.25
20140826,29.25,29.5,29.25,29.25
20140825,29.75,29.75,29.25,29.5
20140822,29.5,29.75,29,29.5
20140821,29.5,30,29.25,29.5
20140820,30,30.25,29.25,29.75
20140819,29.25,30,29.25,30
20140818,29,29.25,28.5,29
20140815,29.25,29.25,28.5,28.75
20140814,29.25,29.5,28.75,29
20140813,29.25,29.5,29,29
20140808,29,29.25,28.5,29
20140807,28.75,29.5,28.75,29
20140806,28.5,29,28.5,28.75
20140805,28,28.25,27.75,28.25
20140804,27.5,28,27.25,28
20140801,26.75,27.5,26.5,27
20140731,26.75,27.25,26.5,26.75
20140730,27.25,27.75,26.75,26.75
20140729,28,28,27.25,27.5
20140728,28,28.25,27.5,27.75
20140725,29,29,27.75,27.75
20140724,29.75,30.25,28.5,28.75
20140723,27.5,28.25,27.25,28.25
20140722,27.5,27.75,27.25,27.5
20140721,27.5,27.75,27.25,27.5
20140718,27.5,27.5,27.25,27.5
20140717,27.25,27.75,27.25,27.5
20140716,27.75,27.75,27.5,27.5
20140715,27.75,27.75,27.25,27.75
20140714,27.75,28,27.5,27.75
20140710,28,28.25,27,27.5
20140709,27.75,28.25,27.75,27.75
20140708,27.5,28,27.25,27.75
20140707,27.25,27.5,27,27.25
20140704,27,27.5,26.75,27.25
20140703,26.5,26.75,26.25,26.75
20140702,27.25,27.5,26.25,26.5
20140630,26.75,27.5,26.5,27.25
20140627,26.5,27,26.5,26.75
20140626,26.75,27,26.5,26.5
20140625,26.5,27,26.25,26.75
20140624,26.75,26.75,26.25,26.25
20140623,27,27.25,26.5,26.75
20140620,27.25,27.5,27,27.5
20140619,27.5,27.75,27,27
20140618,27.25,27.5,27,27.5
20140617,27,27.5,27,27
20140616,27.25,27.5,27,27
20140613,28,28,26.5,27
20140612,28.5,28.5,27.75,28
20140611,28.5,29,28.25,28.25
20140610,28.5,28.75,28.25,28.25
20140609,29,29.25,28.25,28.5
20140606,29,29.25,28.75,29
20140605,29,29.25,28.5,28.75
20140604,29.25,29.5,28.75,29
20140603,28.5,29.5,28.25,29.25
20140602,28,28.25,27.75,28
20140530,28.25,28.25,27.75,27.75
20140529,27.75,28,27.5,28
20140528,28,28,27.5,27.5
20140527,28,28.25,27.75,27.75
20140526,27.75,28,27.5,28
20140523,27.5,28,27.25,27.75
20140522,28.25,28.5,27.75,28
20140521,27.75,28.25,27.75,28
20140520,27.25,27.75,27,27.75
20140519,27,28,27,27.75
20140516,26,27.5,26,27
20140515,25.75,26.5,25.5,26
20140514,25.5,25.5,25,25.25
20140512,25.5,25.75,25,25.25
20140509,25.25,25.75,25,25.5
20140508,26,26.25,25.25,25.25
20140507,25.75,26.25,25.5,25.75
20140506,26.75,27,26,26
20140502,27,27.5,26.75,26.75
20140430,27,27.25,26.75,27
20140429,26.75,27,26.5,26.75
20140428,26.75,27.5,26.5,26.5
20140425,27.5,27.75,26.75,26.75
20140424,28,28,27.5,27.5
20140423,28,28.25,27.75,27.75
20140422,28,28,27.75,28
20140421,28,28,27.75,28
20140418,28,28.25,27.75,28
20140417,28.25,28.5,27.75,27.75
20140416,28,28.25,27.75,28.25
20140411,27.5,28,27.5,27.75
20140410,28,28,27.5,27.5
20140409,28,28,27.75,27.75
20140408,28,28.25,27.75,27.75
20140404,28,28,27.5,28
20140403,27.75,28,27.5,27.75
20140402,28,28.5,27.75,28
20140401,28.25,28.25,27.75,28
20140331,28.25,28.5,27.75,28
20140328,28,28.5,28,28.25
20140327,28,28.5,27.75,27.75
20140326,28.25,28.5,27.75,27.75
20140325,28,28,27.5,28
20140324,28.75,28.75,27.75,27.75
20140321,28,28.75,27.75,28.75
20140320,29.25,29.5,27.75,28
20140319,30,30.75,29.25,29.5
20140318,30,30,29.5,29.75
20140317,30.25,30.25,29.5,29.75
20140314,29.75,30,29.5,30
20140313,29.75,30.5,29.75,30
20140312,29.25,30.25,29.25,29.75
20140311,28.25,29.25,28,29.25
20140310,28.25,28.5,27.75,28
20140307,27.75,28.25,27.75,28.25
20140306,28,28,27.25,27.75
20140305,28,28.5,27.5,27.75
20140304,27.75,28,27.25,27.75
20140303,27.5,27.75,27.5,27.5
20140228,27.5,27.75,27.25,27.25
20140227,27.5,28,27.25,27.5
20140226,27.5,27.75,27.25,27.25
20140225,26.75,27.5,26.5,27.25
20140224,26.75,27,26.25,26.5
20140221,26.5,27,26.25,27
20140220,26.75,27,26,26.25
20140219,26.75,27,26.25,27
20140218,26.75,26.75,26,26.75
20140217,26.5,27.25,26.25,27
20140213,27.5,27.5,26,26
20140212,28,28.25,27.25,27.25
20140211,28,28.25,27.75,28
20140210,28.5,28.75,27.75,28
20140207,28.75,29,28.25,28.25
20140206,28.5,29,28,28.5
20140205,28.5,29.25,27.75,28.25
20140204,28.5,28.75,28,28.25
20140203,28.75,29.25,28.75,29
20140131,28,28.5,27.75,28.5
20140130,27.5,28,27.25,27.75
20140129,28.5,28.75,28,28
20140128,29.5,29.75,28.25,28.5
20140127,29.75,30.25,29.25,29.25
20140124,30.25,30.25,29.75,30
20140123,30,30.5,29.75,30
20140122,29.75,30.25,29.5,29.75
20140121,30.25,30.5,29.5,29.5
20140120,29.25,30.25,29,30
20140117,29.5,29.75,29,29.25
20140116,29.5,29.75,29,29.5
20140115,30.75,31,29.5,29.5
20140114,30,31.25,29.75,30.75
20140113,29.75,30.25,29.5,30
20140110,29.25,30.25,29.25,30
20140109,30,30.25,29.5,29.5
20140108,30.5,31,29.5,29.75
20140107,29.5,30.5,29.5,30.5
20140106,30.5,30.5,29,29.25
20140103,30,31,29.5,30.5
20140102,31,31.75,30.5,30.5
