date,open,high,low,close
20141107,58.75,59,58.5,58.5
20141106,59.25,59.25,58.75,58.75
20141105,58.75,59.25,58.75,58.75
20141104,59.5,59.5,58.75,58.75
20141103,59.75,59.75,58.75,59.25
20141031,58,59,58,59
20141030,58.25,58.25,57.75,58
20141029,58.5,58.75,58.25,58.25
20141028,57.75,57.75,57.5,57.75
20141027,57.75,57.75,57.25,57.5
20141024,57.25,57.5,57,57.5
20141022,57,57.25,57,57.25
20141021,57.5,57.75,57,57
20141020,58,58,57.5,57.5
20141017,57.25,58,57,58
20141016,57.75,57.75,57.25,57.25
20141015,58.25,58.25,57.75,58
20141014,57.75,58.25,57.75,58
20141013,58.5,58.5,58,58
20141010,58.25,58.75,58.25,58.25
20141009,58,59,58,58.75
20141008,58.25,58.25,57.75,58
20141007,58,58.5,57.75,58.25
20141006,58.25,58.5,57.5,58
20141003,58,58.25,57.5,58
20141002,57.5,58,57.5,57.5
20141001,57.5,58,57.5,58
20140930,58,58,57.25,58
20140929,57.25,58,57.25,58
20140926,57.5,58,57.25,57.25
20140925,57.25,57.75,57.25,57.5
20140924,57.25,58,57,57.25
20140923,57.75,58,57.5,57.5
20140922,57.75,58,57.5,57.75
20140919,58,58.25,57.75,57.75
20140918,57.5,58.5,57.5,57.75
20140917,57.75,58.5,57.5,57.5
20140916,58.5,58.5,57.75,57.75
20140915,57.75,58.5,57.5,58.25
20140912,58,58,57,57.25
20140911,58.25,58.5,58,58
20140910,58.75,58.75,58.25,58.25
20140909,59.25,59.25,58.5,58.75
20140908,58.5,59,58.5,58.75
20140905,59.25,59.25,58.5,58.5
20140904,59,59.25,58.75,59
20140903,59,59.25,58.5,59
20140902,58.75,58.75,58.5,58.75
20140901,58.25,58.75,58,58.5
20140829,58.75,58.75,58.25,58.25
20140828,57.75,58.75,57.75,58.75
20140827,57.75,58,57.75,57.75
20140826,57.5,58,57.5,57.75
20140825,57.5,58.25,57.5,58
20140822,58.75,58.75,57.75,58
20140821,59.75,59.75,58.25,58.75
20140820,59,59.25,58.5,58.75
20140819,59.5,59.5,59,59.25
20140818,60,60,59.5,59.5
20140815,60,60.25,59.75,60
20140814,60,60,59.75,59.75
20140813,59.5,60,59.25,60
20140808,59,59.5,58.25,59.25
20140807,59.25,59.5,58.25,58.75
