date,open,high,low,close
20141107,103.5,103.5,102,102
20141106,101.5,103.5,101,103
20141105,102,102.5,101,101
20141104,101.5,102.5,101.5,102
20141103,102.5,103,101.5,101.5
20141031,102.5,103.5,102.5,103.5
20141030,103,103.5,102,102.5
20141029,101.5,103.5,101.5,103
20141028,101,101.5,100.5,101
20141027,101,101.5,100,100.5
20141024,101,101.5,100,101
20141022,101.5,104,101.5,102.5
20141021,101.5,102,101,101
20141020,102.5,103,101.5,101.5
20141017,102.5,102.5,101.5,102
20141016,103.5,103.5,102,102
20141015,103.5,105,103,103.5
20141014,102.5,104.5,102,104
20141013,102.5,103,101.5,102
20141010,103.5,104.5,102.5,103
20141009,103.5,105,103,103.5
20141008,102.5,104,102,103
20141007,103,103.5,102,103
20141006,105.5,105.5,102,103.5
20141003,106,106.5,103,105.5
20141002,106.5,106.5,105,106
20141001,105,107,105,107
20140930,105.5,107,105,105
20140929,108,108,105.5,106.5
20140926,105.5,108,105.5,107.5
20140925,107.5,108,106,106
20140924,104,107,103.5,106
20140923,101.5,104,101,103.5
20140922,101,102.5,100,100.5
20140919,103,103.5,100.5,100.5
20140918,101,101.5,100.5,101
20140917,102,103,100,100.5
20140916,103,103,101,101
20140915,105,106,102,102
20140912,105.5,106,104.5,105
20140911,105,106,104,104.5
20140910,102.5,105.5,102,105
20140909,103,103.5,102,102.5
20140908,103.5,104,102.5,102.5
20140905,103.5,103.5,102.5,103
20140904,107,107,102.5,103.5
20140903,107,108,106.5,107.5
20140902,107.5,108,106.5,107
20140901,109.5,110,107,107.5
20140829,109.5,110.5,108,109
20140828,111,111,109,110.5
20140827,110,111,109,110
20140826,109.5,110,109,109
20140825,110,110.5,109,110
20140822,111,111,109,110
20140821,111,111.5,108.5,111.5
20140820,107,111.5,107,111.5
20140819,104.5,105.5,104,104.5
20140818,104,105.5,103.5,104.5
20140815,103,105.5,103,104
20140814,105,105.5,102.5,103
20140813,102.5,105,102,105
20140808,104,104.5,101.5,103
20140807,105.5,106,103.5,105
20140806,106.5,107,104.5,106
20140805,104.5,108.5,104,107.5
20140804,104,106.5,103.5,104.5
20140801,102.5,105,102,105
20140731,101,104,100.5,103.5
20140730,100,102,99.25,100.5
20140729,103.5,104,100.5,101.5
20140728,106.5,106.5,103,103.5
20140725,108,108.5,106,106.5
20140724,108.5,109,107,108
20140723,109,109.5,108,108.5
20140722,110,111,108,108.5
20140721,110.5,112,109,110
20140718,112.5,113.5,108,109
20140717,113,113.5,112.5,112.5
20140716,113,113.5,112.5,113
20140715,115,115,113,113
20140714,114.5,115,113.5,114
20140710,114,114.5,113,113.5
20140709,112,114.5,111.5,113.5
20140708,111,112.5,110.5,112
20140707,109,111,108.5,111
20140704,111,111.5,109,109.5
20140703,112,112,109.5,110.5
20140702,112.5,113.5,111.5,111.5
20140630,114,114,112.5,112.5
20140627,114.5,115,112.5,113.5
20140626,112.5,115,112,114
20140625,111.5,113,111,112
20140624,110.5,111.5,110,111.5
20140623,111.5,112,111,111
20140620,112,112,110,111
20140619,112.5,114,111,112.5
20140618,111,112,110.5,111
20140617,114.5,115,109,110.5
20140616,110,114,110,113.5
20140613,113,113.5,106,107
20140612,114,117,112,113
20140611,118.5,118.5,114,115.5
20140610,110,124,110,121.5
20140609,130,130,127,127.5
20140606,128,130,126.5,129
20140605,127.5,128,126.5,127
20140604,128,128.5,126,126
20140603,125,128.5,123.5,128
20140602,120,125,120,123.5
20140530,121,121.5,119,120
20140529,120,121.5,119.5,121
20140528,120,121,119.5,120.5
20140527,121.5,121.5,117.5,118
20140526,120.5,122,120,120
20140523,122.5,123,120,121
20140522,122,123.5,121.5,123.5
20140521,121,122.5,120.5,122
20140520,120,122.5,119.5,121.5
20140519,121,122.5,120.5,122
20140516,119,122,119,121
20140515,121,121,119.5,121
20140514,119.5,121.5,119,121.5
20140512,116.5,119.5,116,118.5
20140509,118,119.5,116.5,118
20140508,119,120,118.5,118.5
20140507,120,120.5,118.5,120
20140506,123,123.5,120,120
20140502,124.5,124.5,122,123
20140430,121,124.5,121,124.5
20140429,120,121,118,121
20140428,119,120,119,120
20140425,122,122,120.5,121
20140424,122.5,123.5,122.5,123
20140423,124,124.5,122,122.5
20140422,122.5,123.5,122,123.5
20140421,123,123.5,120.5,122
20140418,121,123,121,123
20140417,118.5,121.5,118.5,120.5
20140416,118.5,119.5,118,118.5
20140411,117.5,118,116,118
20140410,115.5,117,114.5,117
20140409,115.5,117,114.5,114.5
20140408,116.5,117.5,115,115.5
20140404,116.5,119,116,117.5
20140403,119,119,116,116
20140402,120,120,118,119.5
20140401,117,119.5,116.5,119.5
20140331,117,118.5,116.5,116.5
20140328,116,117,114.5,117
20140327,115.5,116.5,115,116
20140326,115.5,115.5,114.5,115
20140325,115.5,116.5,113,114.5
20140324,116,116.5,114.5,115.5
20140321,116,117,114,117
20140320,114.5,116,112.5,116
20140319,113.5,117,113.5,116
20140318,109,113.5,108.5,113
20140317,109.5,109.5,107.5,109
20140314,107.5,109,106.5,109
20140313,109,110.5,107.5,108.5
20140312,107,109,106.5,108.5
20140311,109,109.5,107.5,108
20140310,108,108.5,105.5,108.5
