date,open,high,low,close
20141107,174.5,175,172.5,173
20141106,173.5,175,172.5,174.5
20141105,175,175,172.5,173.5
20141104,172,174.5,172,174.5
20141103,174,174,172,172
20141031,171,173,170,172
20141030,168.5,171.5,168.5,171
20141029,169.5,170.5,168,169
20141028,170.5,170.5,169,170.5
20141027,171,174.5,171,171
20141024,172,174,172,173
20141022,172.5,173,170,172
20141021,174.5,174.5,168,169.5
20141020,178,179,173,173
20141017,170,178.5,170,176
20141016,170,171,169.5,170.5
20141015,167.5,170.5,167,169.5
20141014,170.5,171,166,167
20141013,169,171.5,169,169.5
20141010,172.5,176.5,170.5,171.5
20141009,170,175,169,171.5
20141008,164,169,163.5,169
20141007,164.5,165,162.5,165
20141006,165.5,165.5,162.5,164
20141003,164,166,162.5,164.5
20141002,164,164.5,163,164
20141001,163.5,165,163.5,164
20140930,163,167,163,165
20140929,166,166,162,163
20140926,163.5,164,162.5,164
20140925,161.5,162.5,161.5,162.5
20140924,161.5,162.5,161,162
20140923,163,163,161.5,162
20140922,161.5,163,161.5,161.5
20140919,162,163,161,161
20140918,161,164,161,162
20140917,165,165,160.5,160.5
20140916,164.5,165.5,163,163
20140915,163.5,166,163.5,165
20140912,166,166,162,164.5
20140911,164,166,163,165
20140910,167,167.5,163,165
20140909,168,169,167.5,167.5
20140908,169,170.5,167,168.5
20140905,169,170,167.5,170
20140904,166.5,168.5,165,168.5
20140903,170,171,169,169.5
20140902,168.5,170,167.5,170
20140901,171,172,168,168
20140829,167.5,171.5,167.5,170.5
20140828,166,169,165.5,167.5
20140827,167,167.5,165,166
20140826,167.5,168.5,166.5,166.5
20140825,169.5,169.5,166,167.5
20140822,166,169.5,166,169.5
20140821,159.5,167,159.5,165.5
20140820,158,160.5,158,158
20140819,157.5,158,155.5,157.5
20140818,161,161.5,157.5,157.5
20140815,161,162.5,159,161
20140814,162,163.5,157,161
20140813,159,166,157,162.5
20140808,150,157,149,157
20140807,148,151,147,150
20140806,148,148.5,146.5,147.5
20140805,148,150,148,150
20140804,146,150,145,150
20140801,143,146.5,143,146.5
20140731,144,146.5,144,146
20140730,145,146,142.5,146
20140729,148.5,148.5,145,145
20140728,148.5,150,147.5,150
20140725,150,151,148.5,150
20140724,147,151,145.5,150
20140723,144.5,147,144,146.5
20140722,145,145,143.5,144
20140721,144.5,145.5,144,145
20140718,145,145.5,143.5,145.5
20140717,143.5,145,142.5,145
20140716,144.5,145,143.5,143.5
20140715,145,145,144,144.5
20140714,143.5,145,143.5,145
20140710,145.5,145.5,143,145
20140709,147,147.5,144,145
20140708,142,146.5,142,146.5
20140707,140.5,142,140,141.5
20140704,141,142,140.5,141
20140703,141,141,138,140.5
20140702,138,141,138,139.5
20140630,139.5,140,138.5,138.5
20140627,139.5,140,138.5,139
20140626,136,140,135.5,138.5
20140625,135,135,133.5,135
20140624,133,134,132.5,134
20140623,133.5,134.5,132.5,133
20140620,132.5,133.5,131.5,133
20140619,134,134.5,132.5,132.5
20140618,135,135,133.5,134
20140617,133.5,135.5,133.5,134
20140616,134,135.5,133.5,134
20140613,135,136,134,135
20140612,136,137,135,135.5
20140611,138,138,136,136.5
20140610,136,137.5,136,137.5
20140609,135.5,135.5,134,135
20140606,134,134.5,133.5,133.5
20140605,134.5,135,132.5,132.5
20140604,135,135,132.5,133.5
20140603,133,135.5,132.5,134
20140602,131.5,133,131,132.5
20140530,131.5,131.5,130.5,131.5
20140529,130,131.5,130,131.5
20140528,130,131,130,130
20140527,131,131,130,130
20140526,131.5,132,130.5,130.5
20140523,129.5,132,129.5,132
20140522,132,132,131,131
20140521,131,132,130.5,132
20140520,130.5,131.5,130.5,130.5
20140519,131.5,131.5,131,131
20140516,131.5,132.5,130.5,131
20140515,132.5,132.5,131,131.5
20140514,133,133,131.5,131.5
20140512,134,134,131,132.5
20140509,132,133,130.5,133
20140508,129.5,131.5,129.5,131.5
20140507,130,131.5,129.5,130
20140506,134,134.5,130.5,130.5
20140502,131.5,133,131,133
20140430,130,132,130,131.5
20140429,132,132,129.5,130
20140428,129,131,129,131
20140425,130,130,128.5,128.5
20140424,130,130.5,129.5,129.5
20140423,131,131,129.5,130
20140422,131.5,131.5,130.5,131.5
20140421,130.5,131.5,129.5,131.5
20140418,131.5,131.5,130,131
20140417,131.5,131.5,129.5,130.5
20140416,131,132,130.5,131.5
20140411,130.5,131,129.5,129.5
20140410,132,132,130.5,131
20140409,132,132,129.5,131
20140408,132,132.5,131,131
20140404,130.5,132.5,130.5,131
20140403,131,131.5,130.5,130.5
20140402,132.5,132.5,130.5,132
20140401,131.5,132,129.5,132
20140331,131.5,132,130.5,131
20140328,129,131.5,127.5,131.5
20140327,128.5,129.5,128.5,129.5
20140326,129.5,130,128.5,128.5
20140325,127.5,129.5,126.5,128.5
20140324,127,128,126.5,127.5
20140321,129,129.5,127,127
20140320,129,129,127,129
20140319,129,130.5,129,129.5
20140318,130,130,129,129.5
20140317,132,133.5,132,133.5
20140314,132,132,130.5,132
20140313,131,132,130.5,131.5
20140312,132.5,132.5,130,131
20140311,132,132.5,131,132.5
20140310,132,133,130,131.5
20140307,129.5,131.5,129.5,131
20140306,129.5,130,128.5,129.5
20140305,130,130.5,129,129.5
20140304,130,130.5,129,130
20140303,129,130,128,129.5
20140228,128,128.5,127.5,128.5
20140227,129,129,127.5,128.5
20140226,128.5,129,128,128.5
20140225,129.5,129.5,128,128
20140224,128,129,127.5,128.5
20140221,127.5,128.5,127,128
20140220,128,128.5,127.5,128
20140219,128,129.5,128,129
20140218,126,128,126,128
20140217,125.5,127.5,125.5,126
20140213,126,127,125.5,125.5
20140212,127,127.5,126,126.5
20140211,125.5,128,125.5,127
20140210,126,126.5,125.5,125.5
20140207,125,126,125,125.5
20140206,126,126.5,125,125
20140205,126,126.5,125,126
20140204,127.5,128,125.5,125.5
20140203,127.5,129.5,127.5,129
20140131,126,127.5,126,127.5
20140130,126.5,126.5,125.5,126.5
