date,open,high,low,close
20141107,4.72,4.72,4.6,4.64
20141106,4.74,4.78,4.72,4.74
20141105,4.8,4.8,4.74,4.74
20141104,4.72,4.8,4.72,4.8
20141103,4.84,4.84,4.7,4.7
20141031,4.7,4.82,4.7,4.78
20141030,4.78,4.8,4.7,4.7
20141029,4.8,5,4.74,4.74
20141028,4.68,4.84,4.68,4.78
20141027,4.68,4.9,4.68,4.74
20141024,4.48,4.6,4.46,4.6
20141022,4.42,4.54,4.38,4.48
20141021,4.42,4.46,4.34,4.4
20141020,4.56,4.56,4.4,4.4
20141017,4.52,4.56,4.4,4.56
20141016,4.56,4.6,4.5,4.52
20141015,4.52,4.64,4.52,4.64
20141014,4.56,4.62,4.54,4.54
20141013,4.54,4.58,4.5,4.54
20141010,4.56,4.62,4.56,4.58
20141009,4.44,4.66,4.44,4.66
20141008,4.32,4.44,4.3,4.42
20141007,4.34,4.36,4.22,4.32
20141006,4.5,4.5,4.3,4.32
20141003,4.48,4.5,4.42,4.5
20141002,4.48,4.52,4.44,4.48
20141001,4.42,4.52,4.42,4.52
20140930,4.48,4.5,4.4,4.42
20140929,4.56,4.56,4.46,4.48
20140926,4.58,4.6,4.54,4.56
20140925,4.62,4.66,4.58,4.6
20140924,4.52,4.64,4.52,4.6
20140923,4.58,4.62,4.48,4.52
20140922,4.68,4.78,4.56,4.56
20140919,4.6,4.66,4.56,4.58
20140918,4.4,4.66,4.4,4.62
20140917,4.42,4.44,4.34,4.36
20140916,4.46,4.48,4.38,4.42
20140915,4.36,4.48,4.36,4.46
20140912,4.36,4.4,4.3,4.34
20140911,4.4,4.42,4.32,4.36
20140910,4.42,4.44,4.3,4.38
20140909,4.46,4.48,4.38,4.46
20140908,4.26,4.52,4.26,4.48
20140905,4.18,4.26,4.18,4.22
20140904,4.24,4.28,4.16,4.18
20140903,4.3,4.3,4.2,4.24
20140902,4.32,4.36,4.28,4.28
20140901,4.3,4.36,4.28,4.3
20140829,4.16,4.36,4.16,4.3
20140828,4.26,4.28,4.14,4.2
20140827,4.36,4.38,4.24,4.28
20140826,4.28,4.4,4.28,4.36
20140825,4.24,4.36,4.24,4.26
20140822,4.1,4.24,4.1,4.24
20140821,4,4.1,3.98,4.04
20140820,3.96,4,3.94,3.98
20140819,3.96,3.96,3.92,3.92
20140818,3.92,3.94,3.9,3.92
20140815,3.9,3.94,3.88,3.88
20140814,3.98,4,3.9,3.9
20140813,3.84,3.88,3.82,3.84
20140808,3.8,3.84,3.78,3.8
20140807,3.84,3.86,3.78,3.84
20140806,3.88,3.88,3.82,3.82
20140805,3.9,3.94,3.88,3.9
20140804,3.76,3.9,3.74,3.88
20140801,3.64,3.72,3.62,3.7
