date,open,high,low,close
20141107,3.34,3.36,3.32,3.34
20141106,3.36,3.38,3.32,3.34
20141105,3.4,3.4,3.32,3.38
20141104,3.44,3.44,3.38,3.42
20141103,3.42,3.48,3.42,3.42
20141031,3.44,3.44,3.4,3.42
20141030,3.44,3.44,3.4,3.44
20141029,3.42,3.44,3.4,3.4
20141028,3.46,3.46,3.4,3.42
20141027,3.46,3.46,3.4,3.44
20141024,3.42,3.46,3.38,3.44
20141022,3.4,3.4,3.36,3.4
20141021,3.4,3.42,3.38,3.38
20141020,3.38,3.4,3.36,3.38
20141017,3.4,3.42,3.36,3.36
20141016,3.38,3.46,3.38,3.38
20141015,3.44,3.46,3.38,3.38
20141014,3.4,3.5,3.38,3.44
20141013,3.38,3.42,3.38,3.38
20141010,3.4,3.42,3.38,3.4
20141009,3.38,3.44,3.38,3.44
20141008,3.36,3.44,3.34,3.36
20141007,3.42,3.44,3.36,3.36
20141006,3.54,3.56,3.4,3.42
20141003,3.52,3.56,3.48,3.54
20141002,3.6,3.62,3.52,3.52
20141001,3.6,3.76,3.52,3.56
20140930,3.46,3.5,3.42,3.44
20140929,3.42,3.5,3.38,3.46
20140926,3.4,3.42,3.34,3.38
20140925,3.34,3.46,3.32,3.42
20140924,3.32,3.34,3.3,3.32
20140923,3.32,3.32,3.3,3.3
20140922,3.32,3.34,3.3,3.32
20140919,3.34,3.36,3.28,3.32
20140918,3.34,3.36,3.32,3.34
20140917,3.32,3.34,3.3,3.34
20140916,3.34,3.36,3.3,3.3
20140915,3.36,3.4,3.34,3.36
20140912,3.4,3.4,3.36,3.36
20140911,3.44,3.44,3.38,3.4
20140910,3.44,3.44,3.4,3.44
20140909,3.48,3.5,3.44,3.44
20140908,3.52,3.52,3.44,3.48
20140905,3.52,3.52,3.46,3.5
20140904,3.42,3.58,3.42,3.5
20140903,3.34,3.38,3.32,3.38
20140902,3.34,3.36,3.32,3.32
20140901,3.34,3.34,3.32,3.32
20140829,3.34,3.34,3.32,3.32
20140828,3.36,3.36,3.32,3.34
20140827,3.36,3.38,3.34,3.36
20140826,3.36,3.38,3.34,3.36
20140825,3.34,3.36,3.32,3.34
20140822,3.36,3.36,3.32,3.32
20140821,3.34,3.36,3.32,3.34
20140820,3.32,3.34,3.3,3.34
20140819,3.36,3.36,3.3,3.32
20140818,3.4,3.4,3.32,3.34
20140815,3.38,3.4,3.36,3.38
20140814,3.38,3.4,3.34,3.38
20140813,3.38,3.4,3.36,3.36
20140808,3.32,3.34,3.3,3.32
20140807,3.38,3.38,3.3,3.34
20140806,3.4,3.42,3.36,3.38
20140805,3.36,3.42,3.34,3.38
20140804,3.34,3.36,3.32,3.34
20140801,3.34,3.38,3.32,3.34
20140731,3.36,3.38,3.32,3.38
20140730,3.38,3.4,3.32,3.36
20140729,3.44,3.46,3.38,3.38
20140728,3.46,3.46,3.4,3.42
20140725,3.46,3.48,3.42,3.46
20140724,3.42,3.46,3.38,3.46
20140723,3.4,3.42,3.38,3.42
20140722,3.4,3.5,3.36,3.4
20140721,3.36,3.4,3.36,3.38
20140718,3.38,3.4,3.36,3.36
20140717,3.36,3.4,3.36,3.4
20140716,3.4,3.42,3.36,3.36
20140715,3.44,3.44,3.38,3.4
20140714,3.34,3.42,3.34,3.42
20140710,3.34,3.36,3.32,3.34
20140709,3.34,3.36,3.32,3.32
20140708,3.36,3.38,3.34,3.34
20140707,3.34,3.36,3.32,3.34
20140704,3.36,3.38,3.34,3.34
20140703,3.4,3.4,3.34,3.34
20140702,3.4,3.42,3.38,3.4
20140630,3.36,3.4,3.34,3.38
20140627,3.36,3.38,3.34,3.34
20140626,3.32,3.38,3.32,3.36
20140625,3.34,3.34,3.3,3.32
20140624,3.36,3.38,3.3,3.34
20140623,3.42,3.44,3.34,3.36
20140620,3.42,3.42,3.38,3.42
20140619,3.42,3.44,3.38,3.42
20140618,3.46,3.48,3.42,3.42
20140617,3.44,3.52,3.42,3.46
20140616,3.42,3.44,3.4,3.42
20140613,3.42,3.44,3.38,3.4
20140612,3.46,3.46,3.4,3.42
20140611,3.46,3.48,3.42,3.46
20140610,3.46,3.5,3.44,3.5
20140609,3.56,3.6,3.54,3.56
20140606,3.58,3.6,3.54,3.56
20140605,3.62,3.64,3.52,3.58
20140604,3.62,3.64,3.6,3.6
20140603,3.64,3.68,3.62,3.62
20140602,3.56,3.62,3.54,3.6
20140530,3.52,3.56,3.52,3.54
20140529,3.56,3.58,3.52,3.52
20140528,3.52,3.58,3.5,3.58
20140527,3.52,3.54,3.5,3.5
20140526,3.56,3.56,3.5,3.52
20140523,3.5,3.56,3.48,3.54
20140522,3.62,3.62,3.56,3.6
20140521,3.6,3.66,3.58,3.6
20140520,3.6,3.64,3.56,3.6
20140519,3.64,3.68,3.64,3.66
20140516,3.6,3.66,3.58,3.66
20140515,3.6,3.64,3.56,3.64
20140514,3.48,3.62,3.48,3.62
20140512,3.5,3.52,3.46,3.46
20140509,3.52,3.56,3.48,3.5
20140508,3.56,3.58,3.5,3.52
20140507,3.48,3.58,3.46,3.56
20140506,3.64,3.66,3.5,3.5
20140502,3.68,3.72,3.6,3.62
20140430,3.6,3.7,3.58,3.68
20140429,3.58,3.64,3.58,3.6
20140428,3.58,3.64,3.58,3.58
20140425,3.68,3.7,3.6,3.6
20140424,3.7,3.7,3.66,3.7
20140423,3.7,3.72,3.66,3.7
20140422,3.7,3.76,3.66,3.7
20140421,3.58,3.66,3.56,3.66
20140418,3.56,3.58,3.54,3.58
20140417,3.6,3.62,3.54,3.54
20140416,3.58,3.64,3.56,3.6
20140411,3.54,3.58,3.52,3.58
20140410,3.5,3.6,3.48,3.56
20140409,3.46,3.52,3.44,3.48
20140408,3.46,3.5,3.42,3.44
20140404,3.46,3.5,3.44,3.44
20140403,3.52,3.52,3.42,3.44
20140402,3.54,3.56,3.5,3.52
20140401,3.46,3.54,3.44,3.52
20140331,3.5,3.54,3.44,3.44
20140328,3.36,3.48,3.34,3.44
20140327,3.34,3.38,3.28,3.3
20140326,3.3,3.34,3.28,3.3
20140325,3.28,3.3,3.26,3.26
20140324,3.28,3.3,3.24,3.28
20140321,3.28,3.3,3.24,3.26
20140320,3.24,3.3,3.22,3.28
20140319,3.28,3.32,3.24,3.26
20140318,3.36,3.4,3.28,3.28
20140317,3.34,3.36,3.3,3.36
20140314,3.32,3.32,3.3,3.32
20140313,3.32,3.34,3.3,3.32
20140312,3.34,3.34,3.28,3.3
20140311,3.28,3.38,3.26,3.36
20140310,3.3,3.32,3.24,3.26
20140307,3.28,3.32,3.28,3.3
20140306,3.3,3.32,3.26,3.28
20140305,3.34,3.34,3.26,3.3
20140304,3.34,3.34,3.28,3.32
20140303,3.36,3.38,3.28,3.3
20140228,3.38,3.4,3.36,3.4
20140227,3.36,3.4,3.34,3.38
20140226,3.34,3.38,3.3,3.34
20140225,3.32,3.36,3.3,3.3
20140224,3.24,3.32,3.24,3.32
20140221,3.26,3.3,3.22,3.26
20140220,3.32,3.34,3.26,3.28
20140219,3.4,3.42,3.32,3.34
20140218,3.36,3.38,3.3,3.34
20140217,3.38,3.42,3.34,3.36
20140213,3.3,3.38,3.28,3.34
20140212,3.28,3.3,3.24,3.3
20140211,3.24,3.28,3.22,3.24
20140210,3.24,3.28,3.22,3.22
20140207,3.3,3.3,3.24,3.24
20140206,3.2,3.28,3.18,3.26
20140205,3.18,3.2,3.12,3.14
20140204,3.18,3.2,3.14,3.14
20140203,3.14,3.22,3.14,3.22
20140131,3.12,3.16,3.1,3.12
20140130,3.12,3.12,3.08,3.1
20140129,3.14,3.16,3.1,3.1
20140128,3.14,3.16,3.1,3.12
20140127,3.24,3.26,3.14,3.16
20140124,3.32,3.32,3.22,3.3
20140123,3.18,3.3,3.18,3.28
20140122,3.16,3.2,3.16,3.18
20140121,3.24,3.28,3.18,3.18
20140120,3.24,3.32,3.22,3.22
20140117,3.24,3.26,3.18,3.24
20140116,3.2,3.3,3.16,3.24
20140115,3.24,3.26,3.16,3.18
20140114,3.22,3.28,3.16,3.28
20140113,3.12,3.22,3.1,3.22
20140110,3.12,3.14,3.08,3.14
20140109,3.16,3.2,3.12,3.12
20140108,3.16,3.18,3.1,3.1
20140107,3.06,3.2,3.04,3.16
20140106,3.08,3.12,3,3.04
20140103,3.06,3.12,3.02,3.06
20140102,3.26,3.26,3.08,3.08
