date,open,high,low,close
20141107,5.8,6.05,5.7,5.95
20141106,5.5,5.8,5.45,5.7
20141105,5.6,5.65,5.4,5.4
20141104,5.65,5.65,5.5,5.65
20141103,5.75,5.75,5.55,5.65
20141031,5.8,5.8,5.65,5.7
20141030,5.65,5.75,5.55,5.75
20141029,5.4,5.7,5.35,5.65
20141028,5.3,5.4,5.25,5.4
20141027,5.2,5.35,5.2,5.3
20141024,5.15,5.2,5.1,5.2
20141022,5.2,5.2,5.05,5.1
20141021,5.2,5.2,5,5.1
20141020,5.35,5.35,5.15,5.15
20141017,5.25,5.3,5.2,5.25
20141016,5.3,5.35,5.2,5.2
20141015,5.45,5.5,5.35,5.35
20141014,5.4,5.5,5.4,5.45
20141013,5.35,5.45,5.3,5.4
20141010,5.4,5.45,5.35,5.4
20141009,5.55,5.55,5.35,5.5
20141008,5.2,5.45,5.2,5.45
20141007,5.15,5.4,5.05,5.3
20141006,5.55,5.55,5.1,5.1
20141003,5.55,5.6,5.4,5.55
20141002,5.8,5.8,5.5,5.55
20141001,5.9,5.95,5.8,5.8
20140930,5.85,5.9,5.8,5.9
20140929,5.9,6,5.8,5.85
20140926,5.75,5.9,5.7,5.9
20140925,5.95,6,5.7,5.7
20140924,5.85,5.9,5.75,5.85
20140923,5.85,5.95,5.75,5.8
20140922,5.8,5.85,5.7,5.8
20140919,5.85,5.9,5.75,5.8
20140918,5.9,5.95,5.8,5.85
20140917,5.95,6,5.7,5.85
20140916,6.15,6.15,5.85,5.85
20140915,5.8,6.1,5.75,6.1
20140912,5.9,6,5.7,5.85
20140911,5.6,5.9,5.6,5.9
20140910,5.6,5.65,5.45,5.6
20140909,5.75,5.75,5.5,5.65
20140908,5.45,5.8,5.4,5.7
20140905,5.4,5.45,5.35,5.4
20140904,5.55,5.65,5.35,5.35
20140903,5.3,5.5,5.3,5.5
20140902,5.35,5.35,5.25,5.3
20140901,5.35,5.4,5.3,5.3
20140829,5.2,5.35,5.15,5.3
20140828,5.3,5.35,5.15,5.2
20140827,5.45,5.5,5.25,5.3
20140826,5.35,5.55,5.35,5.4
20140825,5.25,5.35,5.2,5.3
