date,open,high,low,close
20141107,22.8,22.9,22.4,22.5
20141106,22.8,22.9,22.3,22.8
20141105,23.4,23.5,22.5,22.6
20141104,23.8,23.9,23.4,23.4
20141103,24,24.1,23.6,23.8
20141031,24,24,23.8,23.9
20141030,23.9,24,23.5,23.9
20141029,23.5,24.2,23.4,23.9
20141028,23.3,23.5,23.2,23.3
20141027,23.5,23.6,23.2,23.3
20141024,23.6,23.8,23.4,23.6
20141022,22.9,23.7,22.8,23.6
20141021,22.4,22.9,22.4,22.8
20141020,22.8,22.9,22.3,22.3
20141017,23,23.1,22.5,22.6
20141016,24,24,22.9,23
20141015,24.2,24.3,24.1,24.1
20141014,24.2,24.5,24.1,24.2
20141013,24.2,24.3,24,24.2
20141010,24.5,24.7,24.1,24.3
20141009,24.5,25,24.3,24.9
20141008,24.5,24.7,24.2,24.3
20141007,24.3,24.8,24.2,24.6
20141006,24.5,24.6,24,24.2
20141003,24.6,24.8,23.9,24.4
20141002,25.5,25.5,24.4,24.7
20141001,25.75,25.75,25.25,25.25
20140930,25.75,25.75,25.25,25.5
20140929,26.25,26.25,25.5,25.5
20140926,26.5,26.5,26,26.25
20140925,26.5,26.75,26.25,26.75
20140924,26.5,26.75,26.25,26.5
20140923,26.5,26.75,26.25,26.25
20140922,26.75,27,26.25,26.5
20140919,26.75,27.25,26.5,27
20140918,26.5,26.75,26.25,26.5
20140917,27.25,27.5,26.5,26.5
20140916,27.25,27.75,27,27
20140915,27.25,27.5,27,27
20140912,27.75,28,27.25,27.25
20140911,28.25,28.5,27.75,27.75
20140910,27.5,28.5,27.25,28
20140909,27.75,28.25,27.25,27.75
20140908,28.5,28.5,27.75,27.75
20140905,28.5,29,28,28
20140904,27,28.75,27,28.25
20140903,27,27.25,26.5,27
20140902,27.25,27.25,26.75,27
20140901,27.25,27.5,27,27
20140829,27.25,27.5,27,27
20140828,27.75,27.75,27,27.5
20140827,27.75,28,27.5,27.5
20140826,26.75,28,26.75,27.75
20140825,26.5,26.75,26.25,26.75
20140822,26.75,26.75,26.25,26.5
20140821,26.25,26.75,26,26.5
20140820,26,26.25,25.5,26
20140819,26.25,26.75,26,26
20140818,26.25,26.5,26,26.25
20140815,26.75,27,26,26.5
20140814,27,27.25,26.5,26.75
20140813,26.25,26.75,26,26.75
20140808,27,27.5,26.75,27
20140807,27,27.5,26.75,27.25
20140806,27.25,27.5,26.5,26.5
20140805,27,27.25,26.75,26.75
20140804,26.25,26.75,26,26.75
20140801,26,26.5,25.5,26
20140731,26.75,27.5,26.25,26.25
20140730,27,27.5,26,26.75
20140729,29,29.5,26.5,27
20140728,29,29.5,28.25,29.25
20140725,27.75,28.75,27.75,28.75
20140724,28,28,27.5,27.75
20140723,27.5,28,27.25,27.75
20140722,27.75,27.75,26.75,27.25
20140721,28,28.5,27.5,27.5
20140718,28,28.25,27.75,27.75
20140717,28.5,28.5,28,28.25
20140716,28.25,28.5,28,28.5
20140715,28.25,28.75,27.5,28
20140714,28.25,28.25,27.5,28
20140710,27.25,28.5,27.25,28
20140709,26.5,27.25,26.5,27
20140708,27.5,27.75,26.5,26.75
20140707,27.75,27.75,27,27.5
20140704,28.25,28.5,27.5,27.75
20140703,29.25,29.75,27.75,28.25
20140702,28.25,29,27.75,29
20140630,28.25,28.25,27.5,27.75
20140627,27.75,28,27.25,27.75
20140626,27.75,28.25,27.5,27.75
20140625,27.25,28,27,28
20140624,27.75,27.75,26.75,27
20140623,27.5,28.25,27.5,27.75
20140620,26.5,27.5,26.5,27.25
20140619,26.25,26.5,26,26.5
20140618,26.25,27,25.75,26
20140617,26.5,27,26,26
20140616,26.25,26.5,26,26.25
20140613,26,26.5,25.75,26
20140612,26,26.25,26,26
20140611,26.75,26.75,25.5,26
20140610,26.75,27.5,26.5,26.75
20140609,27,27.25,26.25,26.75
20140606,27,27.25,26.5,27
20140605,26.75,27,26.5,26.5
20140604,25.5,27,25.5,26.5
20140603,25,25.5,24.7,25
20140602,25.25,25.5,24.6,24.8
