date,open,high,low,close
20141107,59.25,59.25,58.5,58.75
20141106,59.5,59.75,58.75,59.75
20141105,59.5,60.25,58.5,59.25
20141104,59.25,60.5,59.25,60.25
20141103,59,60.25,58.75,59.25
20141031,58.75,59,58.25,59
20141030,58.5,59,58.25,58.5
20141029,58.25,58.75,58.25,58.25
20141028,58.25,58.5,58,58.5
20141027,57.75,58.5,57.75,58.25
20141024,58,58.25,57.5,57.5
20141022,57.75,58.25,57.5,58
20141021,57.25,57.75,57.25,57.75
20141020,58.75,58.75,57,58
20141017,58,59.25,57.25,57.25
20141016,59,59.25,58,58.25
20141015,59.75,59.75,59,59.25
20141014,59.75,60,59,59.75
20141013,59.75,59.75,59,59.5
20141010,60,60.25,59.25,59.75
20141009,59.75,60.5,59.5,60
20141008,59.25,60,59.25,60
20141007,59.75,60.25,59.25,60.25
20141006,60.5,60.5,59.75,60.25
20141003,60.75,60.75,59.5,60
20141002,60.75,61,59.75,60.75
20141001,60.5,62,60.5,61.25
20140930,60.5,61,60.25,61
20140929,62,62,60,61
20140926,61.5,61.75,61.25,61.75
20140925,61.75,62,61.25,62
20140924,61.25,61.5,61,61.25
20140923,62.25,62.25,61,61.5
20140922,62.25,62.75,61.5,62.25
20140919,61.75,62.5,61,62.5
20140918,60.5,61.5,60.25,61.25
20140917,60.25,60.5,59.5,60.25
20140916,60.5,61,59.75,60.25
20140915,59,60.5,59,60.5
20140912,58.75,59.5,58.5,59
20140911,59,59.25,58.5,58.75
20140910,58.75,59.25,58.5,59
20140909,60,60,59,59.25
20140908,59.5,60,59.5,59.75
20140905,59.75,60.25,59.5,59.5
20140904,60.25,61,59.25,59.75
20140903,60,60.5,60,60.25
20140902,61,61,59.75,60
20140901,60.5,61.25,60.5,60.5
20140829,61.25,61.5,60.25,61
20140828,62,62.5,61.5,61.75
20140827,59.75,61,58.5,61
20140826,60,60,57.5,59.5
20140825,60,60.75,59.75,59.75
20140822,61,61,59.5,60
20140821,61,61.75,60.5,60.75
20140820,62.75,63,61.25,61.5
20140819,63.75,64,63.25,63.25
20140818,63.5,64,63.5,63.75
20140815,63.75,64,63,64
20140814,64.25,64.5,63.25,63.5
20140813,62.5,63.75,62.5,63.75
20140808,63,63.75,62.75,63.75
20140807,63.75,63.75,63,63.25
20140806,64.25,64.5,63.5,63.75
20140805,64,64.75,64,64.5
20140804,63,64,63,63.75
20140801,63.5,63.75,62.5,63.5
20140731,65,65.25,64.25,64.25
20140730,66,66,64.5,65.25
20140729,66,67,65.25,66.5
20140728,66.5,66.5,66.25,66.5
20140725,66.25,67,66,66.75
20140724,66.75,67.25,66.5,67
20140723,65,67,65,67
20140722,66,66.75,65.25,65.5
20140721,66,67,65.5,67
20140718,64.5,66,64.5,66
20140717,64.5,65,64.25,64.75
20140716,64,64.75,63.75,64.75
20140715,63.75,64.25,63.75,63.75
20140714,64.25,64.25,63.5,63.75
20140710,63.25,64.25,63.25,64
20140709,65,65.25,62.75,63.25
20140708,65.5,65.5,65,65
20140707,66.75,67,65,65.75
20140704,65,67,64.75,66.75
20140703,64,65,64,65
20140702,62,65,61.25,65
20140630,62.5,62.75,61.75,62
20140627,59.5,62.25,59.5,62.25
20140626,59.5,60.25,59,59.75
20140625,60,60,59.5,59.75
20140624,59.75,60,59.5,60
20140623,60,60.5,59.75,59.75
20140620,59.25,60.25,59.25,60.25
20140619,59,60,58.75,59.25
20140618,59.75,60,59,59
20140617,59,60.5,58.75,59.75
20140616,59.25,59.5,58.5,59
20140613,59.25,60.25,59,59
20140612,59.25,60,59.25,59.5
20140611,60,60.25,59.5,59.75
20140610,59,60.25,58.75,60
20140609,58.25,59,58,59
20140606,58,58,57.25,58
20140605,57.75,58,57.25,57.25
20140604,58.5,58.5,57.5,57.5
20140603,58.5,59,57.5,58.75
20140602,57.25,58,56.75,58
20140530,58,58,56.75,57
20140529,56.75,58,56.75,57.75
20140528,56.75,58,56.75,57
20140527,55.25,56.75,55.25,56.75
20140526,55.5,55.5,54.75,55
20140523,54.25,55.75,54.25,55.5
20140522,55,56.25,54.75,55.75
20140521,54.75,54.75,54.25,54.75
20140520,54,55,53.75,54.25
20140519,54,55,54,54.75
20140516,54,55,53.5,54
20140515,54.5,56.75,53.5,54.5
20140514,54.25,54.5,53.5,54.5
20140512,53,54.25,52,54.25
20140509,53.25,53.75,53,53.25
20140508,54.75,54.75,53.25,53.75
20140507,55.75,55.75,54.25,55
20140506,55.75,57,55.5,55.75
20140502,56.75,58,56.75,57.25
20140430,57,57.25,56.75,56.75
20140429,56.5,57,56,57
20140428,57,57.25,56.25,56.25
20140425,55.5,58,55.5,56.75
20140424,55.25,55.5,55,55.5
20140423,55,55.5,54.75,55.25
20140422,55.5,55.5,54.75,54.75
20140421,55.75,56,55,55.5
20140418,55,56.25,55,55.75
20140417,55.25,55.25,54.75,55
20140416,55.25,55.5,55,55.25
20140411,55.5,55.5,54.75,55.5
20140410,56.25,56.25,54.5,55.5
20140409,56,56.5,55.75,56
20140408,55.5,56.25,55.5,56.25
20140404,56.25,57.25,56,56
20140403,56.25,56.25,55.75,56.25
20140402,53.75,56.5,53.5,56.5
20140401,53.75,53.75,53.5,53.75
20140331,53.75,54,53.25,53.75
20140328,53.25,54,52.75,53.5
20140327,54,54,53,53
20140326,53.75,54,53.5,53.75
20140325,54,54,53.5,53.5
20140324,54.5,54.5,53.75,53.75
20140321,54.75,55.5,54.5,55
20140320,52.75,55.25,52.5,55
20140319,53.5,53.75,52.25,52.75
20140318,53.5,54,53,53.5
20140317,54,54.5,53.5,54
20140314,53,54.75,52.5,54.5
20140313,53,53.5,53,53
20140312,51.5,53.75,51.25,53.25
20140311,51,51.75,50.75,51.5
20140310,50.5,51,50.25,51
20140307,50.5,51.25,50.25,50.5
20140306,50.25,51,50,50.25
