date,open,high,low,close
20141107,24,24,23.6,23.9
20141106,24.1,24.1,23.7,24
20141105,23.9,24,23.8,23.9
20141104,24.1,24.1,23.8,23.9
20141103,24,24,23.8,24
20141031,23.8,24.2,23.6,23.8
20141030,24,24,23.6,23.8
20141029,24,24.1,23.8,23.9
20141028,23.8,24,23.8,24
20141027,23.7,24,23.6,24
20141024,23.3,23.7,23.3,23.5
20141022,23.4,23.4,23.1,23.2
20141021,23.3,23.6,23.1,23.3
20141020,23.6,23.8,23.4,23.6
20141017,23.8,23.8,23.6,23.6
20141016,24,24,23.6,23.7
20141015,24.1,24.2,23.7,24
20141014,23.8,24,23.7,23.9
20141013,23.7,24,23.7,24
20141010,23.4,24,23.4,23.7
20141009,23.4,24,23.4,23.8
20141008,22.7,23.4,22.7,23.2
20141007,23.3,23.3,22.7,22.9
20141006,23.6,23.7,23.4,23.4
20141003,23.8,23.9,22.9,23.7
20141002,24,24.2,23.6,23.9
20141001,23.9,24.2,23.5,24
20140930,24.1,24.2,23.9,24.2
20140929,24.3,24.3,24,24.1
20140926,24,24.4,23.9,24.1
20140925,24.2,24.2,23.8,23.8
20140924,24.2,24.4,24,24.1
20140923,24,24.4,24,24
20140922,23.6,24.3,23.6,24
20140919,23.8,23.9,23.7,23.9
20140918,23.7,23.9,23.5,23.5
20140917,23.8,23.9,23.5,23.7
20140916,22.8,23.8,22.8,23.6
20140915,22.2,22.7,22.2,22.6
20140912,22,22.6,22,22.2
20140911,22.4,22.4,21.9,22.2
20140910,22.7,22.8,22.4,22.5
20140909,22.7,22.9,22.6,22.8
20140908,22.6,22.9,22.5,22.9
20140905,22.6,22.9,22.1,22.4
20140904,22.5,22.7,22.3,22.3
20140903,22.6,22.7,22.2,22.3
20140902,22,22.6,21.9,22.5
20140901,21.7,22.1,21.7,21.8
20140829,21.6,21.8,21.5,21.7
20140828,21.8,21.9,21.7,21.7
20140827,21.7,21.8,21.6,21.6
20140826,21.8,21.9,21.7,21.8
20140825,21.8,21.9,21.6,21.7
20140822,21.6,21.7,21.5,21.7
20140821,21.5,21.7,21.3,21.5
20140820,21.7,22.1,21.7,22
20140819,21.2,21.7,21.1,21.5
20140818,20.8,20.9,20.6,20.7
20140815,20.6,20.8,20.5,20.6
20140814,20.6,20.7,20.4,20.4
20140813,20.4,20.7,20.2,20.6
20140808,19.6,20.1,19.6,19.9
20140807,19.8,19.8,19.6,19.7
20140806,19.7,19.9,19.7,19.8
20140805,20,20,19.8,19.9
20140804,19.7,20,19.6,19.9
20140801,19.4,19.8,19.4,19.7
20140731,19.6,19.9,19.4,19.8
20140730,19.6,19.8,19.5,19.7
20140729,19.9,19.9,19.5,19.7
20140728,19.8,20,19.6,19.7
20140725,20.5,20.5,19.5,19.8
20140724,20.2,20.5,20,20.3
20140723,19.9,20.1,19.8,20
20140722,19.5,20,19.5,19.7
20140721,19.2,19.6,19.1,19.5
20140718,19.2,19.2,19,19.2
20140717,19.1,19.2,19,19.1
20140716,19.1,19.2,19,19.1
20140715,19,19.2,19,19.1
20140714,18.9,19.2,18.9,19
20140710,19,19.3,19,19.1
20140709,19.1,19.2,19,19.1
20140708,19.3,19.3,19.1,19.3
20140707,19.2,19.3,19,19.3
20140704,19.1,19.3,18.8,19.3
