date,open,high,low,close
20141107,18.1,18.4,18.1,18.1
20141106,18.5,18.5,18.1,18.2
20141105,18.7,18.8,18.1,18.4
20141104,18.4,18.7,18.4,18.7
20141103,18.6,18.6,18.4,18.4
20141031,18.8,18.9,18.4,18.5
20141030,18.9,18.9,18.7,18.7
20141029,19.2,19.2,18.6,18.8
20141028,18.9,19,18.8,19
20141027,18.6,19,18.6,19
20141024,18.9,18.9,18.6,18.6
20141022,18.9,19,18.8,18.8
20141021,19,19.1,18.9,19
20141020,19,19.1,18.8,19
20141017,19.1,19.1,18.9,19
20141016,19.2,19.4,19.1,19.3
20141015,19.4,19.4,19.3,19.4
20141014,19.3,19.4,19.2,19.2
20141013,19.1,19.4,19.1,19.4
20141010,19.4,19.5,19.3,19.4
20141009,19.4,19.6,19.3,19.5
20141008,19.2,19.5,19.1,19.4
20141007,19.3,19.6,19.3,19.4
20141006,20,20.1,19.2,19.4
20141003,19.7,20,19.7,19.8
20141002,20,20,19.7,19.7
20141001,19.7,20.2,19.7,20
20140930,20.1,20.1,19.7,19.7
20140929,20.7,20.7,19.9,20
20140926,20.2,20.5,20,20.5
20140925,19.8,20.4,19.7,20.3
20140924,19.9,20,19.7,19.7
20140923,19.1,20,19.1,19.8
20140922,18.9,19.1,18.8,19
20140919,18.7,19.1,18.7,19.1
20140918,19.1,19.2,18.9,19
20140917,19.1,19.1,18.9,19
20140916,19,19.1,18.9,19
20140915,19.2,19.2,18.9,19
20140912,18.3,19.2,18.3,19.1
20140911,18.5,18.7,18.3,18.3
20140910,18.9,18.9,18.5,18.5
20140909,19.1,19.2,18.8,18.8
20140908,19.6,19.6,18.7,19
20140905,19.4,19.5,19.1,19.3
20140904,19,19.5,18.9,19.2
20140903,19.1,19.2,18.9,18.9
20140902,19.4,19.5,19,19
20140901,19.7,19.8,19.4,19.4
20140829,19.5,19.7,19.5,19.7
20140828,19.7,19.9,19.5,19.7
20140827,20.1,20.1,19.7,19.7
20140826,19.6,20,19.3,20
20140825,19.5,19.7,19.4,19.6
20140822,19.4,19.8,19.3,19.8
20140821,19.4,19.6,19.2,19.5
20140820,19.9,19.9,19.3,19.3
20140819,20,20,19.7,19.8
20140818,20,20.1,19.8,19.8
20140815,21.2,21.2,19.9,20
20140814,21.5,21.5,20.9,20.9
20140813,20.7,21.4,20.7,21.2
20140808,20.8,21,20.6,20.9
20140807,20.9,21,20.7,20.8
20140806,21,21.1,20.8,20.9
20140805,20.7,21.1,20.7,20.9
20140804,20.4,21,20.4,20.7
20140801,20.9,21.3,20.2,20.4
20140731,21.2,21.4,20.9,21.1
20140730,21.6,21.6,21.1,21.1
20140729,21.6,21.8,21.4,21.5
20140728,21.8,21.9,21.5,21.6
20140725,21.7,22,21.7,21.8
20140724,22,22,21.7,21.7
20140723,21.6,22,21.6,21.8
20140722,21.9,22,21.5,21.5
20140721,21.7,22,21.7,21.9
20140718,21.8,22.1,21.7,21.7
20140717,22.2,22.3,21.9,21.9
20140716,22.3,22.5,22,22.2
20140715,22.5,22.6,22.2,22.2
20140714,21.8,22.3,21.6,22.3
20140710,21.8,21.8,21.6,21.7
20140709,22,22,21.7,21.8
20140708,22,22.1,21.8,21.8
20140707,21.8,22.1,21.6,22
20140704,21.9,21.9,21.6,21.6
20140703,22,22.1,21.7,21.7
20140702,22,22.2,21.6,22
20140630,21.5,22.1,21.5,21.6
20140627,21.6,21.6,21.4,21.5
20140626,21.2,21.6,21.2,21.5
20140625,21.2,21.2,20.9,21
20140624,21.5,21.5,21.1,21.2
20140623,21.5,21.6,21.4,21.4
20140620,21.6,21.6,21.4,21.5
20140619,21.4,21.7,21.2,21.6
20140618,20.9,21.4,20.9,21.2
20140617,21.4,21.4,20.8,20.8
20140616,21.8,21.9,21.4,21.4
20140613,21.8,22,21.8,21.8
20140612,22.1,22.2,21.7,21.8
20140611,22.2,22.4,22,22.1
20140610,22.3,22.4,22.1,22.2
20140609,22.8,22.8,22.2,22.2
20140606,22,22.7,21.9,22.5
20140605,21.8,22,21.7,22
20140604,21.7,21.8,21.4,21.7
20140603,22.1,22.3,21.6,21.6
20140602,22.3,22.3,21.9,22
20140530,21.7,22.4,21.7,22.2
20140529,21.9,22.1,21.5,21.8
20140528,21.8,22.2,21.7,21.8
20140527,21.3,21.7,21.2,21.6
20140526,21.5,21.6,21.1,21.2
20140523,21.1,21.4,21,21.3
20140522,22,22,21.5,21.5
20140521,21.4,22,21.4,21.8
20140520,21.7,22,21.3,21.4
20140519,23.1,23.1,22.1,22.2
20140516,22.8,23.4,22.4,23.1
20140515,23.2,24,23.2,23.5
20140514,22.8,23,22.6,22.8
20140512,22.6,23.1,22.5,22.8
20140509,22.8,23.3,22.6,22.8
20140508,23.9,23.9,22.1,22.6
20140507,24.3,24.5,23.8,24
20140506,24.3,25,24.3,24.6
20140502,22.7,23.9,22.7,23.7
20140430,22.1,22.7,22.1,22.7
20140429,22.4,22.4,22.1,22.1
20140428,22.5,22.7,22,22.2
20140425,22.2,22.5,22.2,22.4
20140424,21.9,22.2,21.9,22
20140423,22.2,22.2,21.9,21.9
20140422,21.8,22.5,21.8,22
