date,open,high,low,close
20141107,15.2,15.2,14.9,15
20141106,15.2,15.2,14.9,15.2
20141105,15.3,15.3,15,15.2
20141104,15.3,15.3,15.1,15.2
20141103,15.4,15.4,15.2,15.3
20141031,15.4,15.4,15.3,15.4
20141030,15.6,15.6,15.4,15.4
20141029,15.4,15.7,15.4,15.7
20141028,15.3,15.3,15.2,15.3
20141027,15.2,15.4,15.2,15.3
20141024,15.4,15.5,15.2,15.3
20141022,15.6,15.6,15.3,15.3
20141021,15.7,15.7,15.4,15.4
20141020,15.6,15.7,15.4,15.7
20141017,16.3,16.3,15.5,15.5
20141016,15.5,16.2,15.4,16
20141015,15.2,15.6,15.1,15.5
20141014,15.6,15.7,15.2,15.2
20141013,15.7,15.8,15.5,15.6
20141010,15.9,16.1,15.7,15.7
20141009,16.2,16.3,16.1,16.2
20141008,15.8,16.1,15.8,16.1
20141007,15.4,15.8,15.4,15.7
20141006,15.4,15.6,15.2,15.4
20141003,15.5,15.6,15.3,15.4
20141002,15.8,15.8,15.5,15.5
20141001,16.1,16.1,15.7,15.8
20140930,16.2,16.5,16,16
20140929,16.3,16.4,16,16.2
20140926,16.2,16.4,16.1,16.3
20140925,15.7,16.3,15.7,16.3
20140924,15.7,15.9,15.7,15.7
20140923,15.9,15.9,15.7,15.7
20140922,15.9,16,15.8,15.8
20140919,16.3,16.3,15.9,15.9
20140918,16,16.2,16,16.2
20140917,15.9,16,15.9,15.9
20140916,16.2,16.2,15.8,15.8
20140915,16.3,16.5,16.1,16.1
20140912,16.7,16.7,16.1,16.3
20140911,17.2,17.3,16.6,16.6
20140910,16.7,17.6,16.4,17.1
20140909,16.3,16.5,16.1,16.5
20140908,16.4,16.4,16.2,16.2
20140905,15.9,16.2,15.8,16.1
20140904,16,16,15.8,15.8
20140903,15.8,15.9,15.8,15.9
20140902,16,16.1,15.8,15.8
20140901,16.1,16.1,15.9,15.9
20140829,16,16.1,15.9,16
20140828,15.9,16.1,15.9,15.9
20140827,16.3,16.3,16.1,16.1
20140826,16.3,16.5,16.2,16.2
20140825,16,16.2,15.9,16.2
20140822,15.9,16,15.8,15.8
20140821,16.1,16.2,15.8,15.9
20140820,16.1,16.2,16,16.1
20140819,16.4,16.4,16.1,16.1
20140818,16.6,16.7,16.2,16.3
20140815,16.3,16.7,16.3,16.6
20140814,16.2,16.3,16.1,16.3
20140813,15.9,16.1,15.9,16
20140808,16,16,15.6,15.8
20140807,16.7,16.7,16,16.1
20140806,16.9,16.9,16.5,16.6
20140805,16.8,16.9,16.7,16.9
20140804,16.2,16.9,16.2,16.7
20140801,16.5,16.6,16.1,16.3
20140731,16.7,17,16.6,16.6
20140730,16.8,16.9,16.4,16.8
20140729,16.7,16.9,16.5,16.7
20140728,16.8,16.9,16.5,16.6
20140725,17,17,16.5,16.7
20140724,16.9,17,16.8,16.9
20140723,16.9,16.9,16.6,16.9
20140722,17.1,17.1,16.6,16.8
20140721,16.9,17.1,16.7,17
20140718,16.9,17.1,16.6,16.8
20140717,17,17,16.7,16.8
20140716,17.1,17.2,16.7,16.9
20140715,17.6,17.6,16.9,17
20140714,17.8,17.8,17.5,17.6
20140710,18.1,18.1,17.7,17.8
20140709,17.7,18.1,17.7,18
20140708,17.9,18,17.6,17.7
20140707,17.9,17.9,17.7,17.9
20140704,17.3,18.1,17.3,18
20140703,17.4,17.5,17.3,17.3
20140702,17.6,17.7,17.3,17.4
20140630,17.7,17.7,17.4,17.5
20140627,17.8,17.8,17.6,17.7
20140626,17.9,17.9,17.7,17.7
20140625,17.7,17.8,17.6,17.7
20140624,18,18,17.7,17.7
20140623,18.1,18.1,17.8,17.9
20140620,17.8,18,17.8,18
20140619,17.8,17.9,17.8,17.8
20140618,18.3,18.4,17.7,17.8
20140617,18,18.2,17.7,18.2
20140616,17.7,17.8,17.7,17.8
20140613,18,18,17.6,17.6
20140612,17.8,18,17.7,17.7
20140611,18.1,18.1,17.8,17.8
20140610,18.5,18.5,17.8,17.9
20140609,18.6,18.9,18.1,18.3
20140606,18.1,18.4,17.9,18.4
20140605,17.8,17.9,17.7,17.9
20140604,17.7,17.8,17.6,17.6
20140603,18,18,17.5,17.5
20140602,18.1,18.1,17.7,18
20140530,18.3,18.4,17.9,18.1
20140529,18.1,18.4,17.9,18.1
20140528,17.9,18.1,17.9,18
20140527,18.2,18.2,17.8,17.8
20140526,17.9,18.1,17.7,18
20140523,17.6,17.9,17.5,17.8
20140522,18.1,18.2,17.8,17.9
20140521,17.7,18.2,17.6,18
20140520,17.6,17.9,17.1,17.6
20140519,18.1,18.2,17.9,17.9
20140516,17.8,18.4,17.7,18
20140515,17.3,17.8,17.2,17.8
20140514,16.9,17.1,16.7,17
20140512,17.1,17.1,16.8,16.8
20140509,17.5,17.6,17.1,17.1
20140508,17.1,18,17.1,17.5
20140507,16.8,17.2,16.8,17
20140506,17.1,17.5,16.8,16.8
20140502,17,17.2,17,17.1
20140430,17.1,17.4,17,17
20140429,17,17.1,16.8,17
20140428,17,17.1,16.9,16.9
20140425,17.4,17.6,17,17
20140424,17.8,18.1,17.4,17.4
20140423,18,18,17.7,17.7
20140422,18,18.4,17.9,17.9
20140421,18.3,18.4,17.9,18
20140418,18.1,18.4,18.1,18.3
20140417,18.4,18.5,18.3,18.4
20140416,18.1,18.5,18.1,18.5
20140411,18.1,18.1,18,18.1
20140410,18.3,18.3,18.1,18.1
20140409,17.8,18.4,17.8,18.4
20140408,18.1,18.1,17.8,17.8
20140404,18.3,18.4,17.9,18
20140403,18.4,18.5,18.2,18.3
20140402,18.3,18.8,18.2,18.3
20140401,17.9,18.3,17.9,18.2
20140331,17.9,18.2,17.8,17.8
20140328,17.8,18,17.7,17.8
20140327,18.1,18.1,17.7,17.8
20140326,18.1,18.3,18,18
20140325,18.2,18.2,17.9,18
20140324,18.6,18.6,18,18.1
20140321,18.6,18.8,18.3,18.5
20140320,18.4,18.7,18.4,18.6
20140319,19,19,18.4,18.4
20140318,18.9,19.5,18.7,18.9
20140317,18.7,18.9,18.6,18.8
20140314,18.8,18.9,18.6,18.6
20140313,18.7,18.9,18.7,18.8
20140312,18.6,19,18.6,18.6
20140311,18.6,18.7,18.5,18.5
20140310,19,19.1,18.8,18.9
20140307,18.7,19.3,18.7,19.1
20140306,18.7,19,18.6,18.7
20140305,18.7,18.7,18.5,18.5
20140304,18.5,18.7,18.5,18.6
20140303,18.8,18.9,18.4,18.5
20140228,19,19,18.7,18.8
20140227,19.1,19.2,18.9,18.9
20140226,18.6,18.9,18.4,18.8
20140225,18.8,19.1,18.5,18.5
20140224,18.5,18.8,18.3,18.7
20140221,18.3,18.8,18.3,18.4
20140220,18.4,18.5,18.2,18.2
20140219,18.4,18.6,18.4,18.4
20140218,18.7,18.8,18.3,18.3
20140217,19.1,19.1,18.2,18.5
20140213,19,19.2,18.9,18.9
20140212,18.9,19.1,18.9,18.9
20140211,19.1,19.4,18.8,18.8
20140210,19,19.2,18.9,19
20140207,19.8,20,18.8,18.9
20140206,19.9,20,19.5,19.7
20140205,19.8,20.2,19.6,19.7
20140204,19.8,20,19.3,19.7
20140203,19,20.1,18.9,20
20140131,18.8,19.2,18.7,18.8
20140130,18.6,18.8,18.6,18.7
20140129,18.7,18.8,18.5,18.7
20140128,19.3,19.3,18.2,18.5
20140127,19,19.5,18.9,19.1
20140124,18.9,19.6,18.8,19.1
20140123,19.1,19.5,18.6,18.6
20140122,18.7,19.9,18.7,18.9
20140121,17.8,19,17.8,19
20140120,18.3,18.4,17.5,17.7
20140117,18.9,19.5,18.2,18.3
20140116,18.1,19.2,18.1,18.9
20140115,16.4,18.1,16.4,17.6
20140114,16.4,16.7,16.4,16.5
20140113,16.3,16.4,16,16.4
20140110,16.4,16.5,16.3,16.4
20140109,16.6,16.8,16.4,16.5
20140108,16.6,17.1,16.5,16.5
20140107,16.3,16.7,16.3,16.5
20140106,16.2,16.5,16.1,16.3
20140103,16.2,16.7,16.1,16.2
20140102,17.1,17.1,16,16.1
20131227,17.2,17.5,16.7,17
20131226,16.8,17.1,16.7,17
20131225,17.1,17.1,16.7,16.7
20131224,16.7,17.2,16.7,16.9
