date,open,high,low,close
20141107,19.7,19.7,19,19
20141106,19.9,19.9,19.5,19.5
20141105,20.1,20.3,19.7,19.7
20141104,20.6,20.8,19.9,20
20141103,21.4,21.5,20.4,20.4
20141031,21.4,21.7,21.3,21.3
20141030,21.8,21.8,21.3,21.4
20141029,22.2,22.3,21.7,21.7
20141028,22.1,22.2,21.9,22
20141027,21.9,22.3,21.8,22.1
20141024,22,22.1,21.5,21.8
20141022,21.6,21.8,21.5,21.8
20141021,21.3,21.4,20.8,20.9
20141020,22.2,22.4,21,21.1
20141017,21.9,22,21.7,21.9
20141016,22.5,22.6,21.9,21.9
20141015,22.8,23,22.5,22.6
20141014,22,22.8,22,22.8
20141013,21.9,22.2,21.6,22.2
20141010,22.2,22.3,21.8,21.8
20141009,22.8,22.8,22.3,22.5
20141008,22.2,22.7,22.1,22.7
20141007,22.5,22.7,22.4,22.4
20141006,23.2,23.2,22.5,22.5
20141003,22.9,23.3,22.5,23
20141002,23.4,23.4,22.9,22.9
20141001,24,24.1,23.5,23.5
20140930,24.3,24.5,24,24
20140929,24.4,24.5,24.1,24.3
20140926,24.3,24.5,24,24.2
20140925,24.8,25,24.3,24.3
20140924,25,25.25,24.8,24.8
20140923,24.9,25.25,24.9,25.25
20140922,25,25.25,24.8,24.8
20140919,26,26,25,25
20140918,25.75,26,25.5,26
20140917,25.75,26,25.25,26
20140916,25.5,26,25.25,25.75
20140915,26,26,25.5,25.5
20140912,26.25,26.5,25.75,26
20140911,27,27,26.5,26.5
20140910,27.25,27.25,26.5,27
20140909,27.5,27.5,27,27
20140908,27.75,28,27.25,27.5
20140905,27,28,26.75,27.75
20140904,27,27,26.5,26.75
20140903,27,27.25,27,27
20140902,27.5,27.5,27,27.25
20140901,27.5,27.75,26.75,27.25
20140829,25.75,27.5,25.75,27.25
20140828,25,25.25,24.9,25.25
20140827,24.9,25.25,24.9,25
20140826,25,25.25,24.9,25
20140825,25,25.5,24.9,25
20140822,26,26,25.5,25.5
20140821,25.75,26,25.5,25.5
20140820,25.25,25.5,25,25.25
20140819,26,26,25.25,25.25
20140818,26.5,27.25,25.75,26
20140815,25.75,26.25,25.5,26
20140814,25.5,25.5,25,25.25
20140813,24.6,25.25,24.5,25
20140808,24.5,24.5,24,24.1
20140807,23.7,24.6,23.6,24.5
20140806,23.7,23.9,23.5,23.5
20140805,24,24.3,23.8,23.9
20140804,23.6,23.9,23.2,23.7
20140801,23.5,23.7,23.3,23.6
20140731,22.8,24.1,22.7,23.9
20140730,22.5,22.8,22.5,22.7
20140729,22.7,22.8,22.6,22.8
20140728,22.7,22.9,22.6,22.7
20140725,23.2,23.2,22.7,23
20140724,22.7,23.2,22.6,23.2
20140723,21.7,22.4,21.6,22.4
20140722,22.1,22.1,21.3,21.5
20140721,22.4,22.6,21.9,22
20140718,22.7,22.9,22.3,22.4
20140717,23.6,23.6,22.8,22.9
20140716,23.9,24.1,23.6,23.7
20140715,24.5,24.5,23.9,24.1
20140714,25,25,24.5,24.5
20140710,24.8,25.25,24.8,25
20140709,24.9,24.9,24.7,24.8
20140708,24.9,25,24.7,24.9
20140707,25,25,24.9,24.9
20140704,25,25.25,24.9,25
20140703,25,25.25,24.8,25
20140702,24.8,25.25,24.6,25
20140630,24.9,25,24.4,24.4
20140627,25,25,24.9,24.9
20140626,25.5,25.5,24.9,25
20140625,25.25,25.5,25,25.5
20140624,25,25.25,25,25.25
20140623,26,26,25,25
20140620,25.5,26,25.5,25.75
20140619,25.25,25.5,25,25.5
20140618,25.25,25.25,24.9,25
20140617,25,25.5,24.9,25.25
20140616,25.75,25.75,24.8,25
20140613,26,26.25,25.5,26
20140612,26.5,26.5,25.75,26
20140611,27.25,27.5,26.75,26.75
20140610,27.5,27.75,26.75,26.75
20140609,27.75,28,27.25,27.25
20140606,28,28.25,27.25,27.25
20140605,27.75,28,27,27.75
20140604,26.25,27.25,26,27.25
20140603,26.25,26.25,26,26.25
20140602,26.25,26.25,25.75,25.75
20140530,25.25,26,25.25,25.75
20140529,25.25,25.25,24.9,25
20140528,25.25,25.75,24.9,25
20140527,26,26,25,25.25
20140526,26.25,26.5,25.75,26
20140523,25.75,26.5,25.5,26.25
20140522,26.5,26.75,26.25,26.5
20140521,26.5,26.75,26.25,26.5
20140520,26.25,26.75,26,26.5
20140519,26.5,27,26.5,27
20140516,26.5,26.75,26.25,26.5
20140515,26.25,27,25.5,26.75
20140514,24.9,26.25,24.8,25.75
20140512,25.5,25.75,24.7,25
20140509,26.5,26.5,25.75,26
20140508,26.75,27,26,26.75
20140507,26.75,27,26.25,27
20140506,28,28,27,27
20140502,28,28,27.5,27.5
20140430,27.5,28.25,27.5,27.5
20140429,27.25,28,26.75,28
20140428,26.75,27.25,26.75,27
20140425,27.5,27.5,26.75,26.75
20140424,27.5,27.75,27.25,27.5
20140423,27.25,27.25,26.75,27.25
20140422,27.25,27.5,26.75,26.75
20140421,27.75,27.75,27,27.25
20140418,27.75,28,27.75,27.75
20140417,26.75,28,26.5,28
20140416,26,26.75,25.75,26.5
20140411,27.25,27.25,25,26.25
20140410,26.5,27.5,26.5,27.25
20140409,26.5,26.75,26.25,26.5
20140408,27.25,27.75,26.75,26.75
20140404,26,27.5,25.75,27.5
20140403,27.25,27.75,26.25,26.5
20140402,28.5,28.5,27.5,27.5
20140401,28.5,28.75,28,28.5
20140331,27.25,28.5,27.25,28.25
20140328,27.25,27.5,27,27.25
20140327,27.5,28,27.25,27.75
20140326,28.25,28.75,27.75,28
20140325,29,29.25,28.5,28.5
20140324,28.75,29.75,27.75,29.25
20140321,28.5,29.25,28.25,28.5
20140320,27,27.75,26.5,27.75
20140319,26.5,28,26.5,27.5
20140318,27,27,26.25,26.25
20140317,27,27,26.25,26.75
20140314,27,27.5,26.75,27
20140313,27,27.25,26.25,27.25
20140312,27.75,28,27.25,27.75
20140311,26.25,28,26.25,28
20140310,26.5,27.25,26,26.25
20140307,27,28,26.75,27
20140306,25.5,27.25,25.25,27
20140305,25,25.25,24.6,25.25
20140304,26,26.25,24.6,24.7
20140303,25.75,26.25,25.25,25.75
20140228,25,25.75,24.8,25.5
20140227,25,25.75,24.9,25
20140226,25.25,25.25,24.6,24.9
20140225,24.2,25.25,24.1,25.25
20140224,22.9,24.3,22.9,24
20140221,22.8,23.2,22.4,23.2
20140220,23,23.3,22.2,22.8
20140219,23.7,23.7,23.1,23.2
20140218,23.1,23.9,22,23.6
20140217,23.5,23.7,22.9,23.1
20140213,22.3,23,22.1,23
20140212,21.5,22.5,21.4,22.3
20140211,21.7,21.7,21.4,21.4
20140210,21,21.7,21,21.7
20140207,21.1,21.2,20.6,20.6
20140206,20.6,21,20.6,21
20140205,21,21.1,20.5,20.5
20140204,20.5,20.8,20.3,20.7
20140203,19.8,20.7,19.8,20.6
20140131,20,20.1,19.8,20
20140130,19.8,20.1,19.8,20
20140129,19.9,20.1,19.7,20.1
20140128,20.2,20.3,19.8,20
20140127,20.9,21.1,20.3,20.5
20140124,21.1,21.2,21,21
20140123,21.1,21.2,21,21.1
20140122,20.4,21.1,20.4,21
20140121,20.2,20.8,20.2,20.8
20140120,20.6,20.6,20.3,20.3
20140117,20.4,20.9,20.4,20.6
20140116,19.6,20.8,19.6,20.6
20140115,19.4,19.8,19.4,19.6
20140114,19.6,19.7,19.2,19.5
20140113,19.6,19.9,19.5,19.7
20140110,19.7,19.9,19.5,19.9
20140109,19.2,20,19.2,20
20140108,19.2,19.5,19.1,19.3
20140107,19.6,19.6,19.3,19.5
20140106,19.6,19.7,19.2,19.6
20140103,19.7,20.1,18.9,20.1
20140102,21.4,21.4,20.3,20.3
