date,open,high,low,close
20141107,144.5,147,144.5,147
20141106,143.5,147,143.5,146.5
20141105,142.5,144,141.5,143
20141104,145,145,142.5,143
20141103,147,147,143.5,145.5
20141031,147,147.5,144.5,146.5
20141030,144,148,143.5,146.5
20141029,143,145,142.5,143.5
20141028,144.5,144.5,141,142.5
20141027,143,144.5,143,144
20141024,143.5,146.5,143,143
20141022,143.5,145,142,144
20141021,145.5,146,142,143.5
20141020,146,146.5,145,145
20141017,146.5,147,145,145.5
20141016,145.5,147.5,145,145
20141015,149,150,147,147
20141014,150.5,152.5,149.5,150
20141013,150.5,151.5,150,150
20141010,151,152,150,151
20141009,153,154,151.5,152
20141008,154,154.5,152.5,153
20141007,156,156.5,154,154.5
20141006,156.5,157.5,154,154
20141003,156.5,158,155.5,156.5
20141002,157,158,155.5,156
20141001,160,160,157,157.5
20140930,162.5,162.5,160,160
20140929,164.5,165,161,162
20140926,163.5,164,162.5,164
20140925,164,164.5,163.5,163.5
20140924,163,164,162,163.5
20140923,163,163.5,161.5,162
20140922,163,163.5,162.5,163
20140919,163,164,161.5,164
20140918,163.5,164,162,163.5
20140917,162.5,163.5,161.5,163
20140916,164,164,161.5,161.5
20140915,164.5,165,163,163
20140912,162.5,164,162,163
20140911,163,163.5,161,161
20140910,164.5,165,164,164
20140909,166,166.5,164.5,165.5
20140908,164.5,166,164.5,165
20140905,165,165.5,164,164
20140904,164.5,166,164,165
20140903,163,164,162,164
20140902,163,164,162,163
20140901,165,165,162.5,163
20140829,162.5,164.5,162,164.5
20140828,165,165.5,161,164
20140827,167,168,164.5,165
20140826,165.5,167,165,166.5
20140825,166,167,165.5,165.5
20140822,168,168,167,167
20140821,166,168,166,167.5
20140820,167.5,168,165.5,166.5
20140819,169,169.5,167.5,167.5
20140818,168,169.5,167.5,168
20140815,169,170,167,168.5
20140814,172,172,169.5,170.5
20140813,172,172,170,171
20140808,166,168,165.5,167.5
20140807,167.5,168,165.5,166.5
20140806,165.5,169,165.5,167.5
20140805,163,164.5,162.5,163.5
20140804,163.5,166.5,163,165
20140801,161.5,164,161.5,162.5
20140731,166,166.5,161,162.5
20140730,167,168,165,167.5
20140729,169,170,166,167
20140728,171.5,171.5,168,168
20140725,171,172.5,169.5,171
20140724,169,169,167,168.5
20140723,168,169,167,169
20140722,169.5,169.5,165,166
20140721,169,169.5,167.5,168
20140718,165.5,168.5,165,168.5
20140717,165,165.5,163,165
20140716,165.5,166,164.5,165.5
20140715,165,165.5,163.5,165
20140714,164,165,163,164
20140710,162.5,163.5,162,163
20140709,162,162.5,161,161.5
20140708,162,163,161.5,162
20140707,160,162.5,159.5,161
20140704,162,163,158.5,158.5
20140703,164,164.5,161,161
20140702,169,169,162.5,164.5
20140630,166.5,167.5,165.5,167.5
20140627,166,166.5,164,165
20140626,165,167,164.5,166.5
20140625,167.5,167.5,163.5,164.5
20140624,168.5,168.5,166.5,167.5
20140623,168,169.5,167.5,168.5
20140620,167,168,165.5,166.5
20140619,165,165,163,164.5
20140618,166,166,162,164.5
20140617,167,167.5,163.5,166
20140616,162,167.5,161.5,167
20140613,158,161.5,157.5,160.5
20140612,158.5,158.5,156,157.5
20140611,157,158.5,156.5,158
20140610,154,156,153.5,155.5
20140609,156,156,153,153.5
20140606,156,156.5,154.5,155.5
20140605,159,159,154.5,155
20140604,157,160,156.5,158.5
20140603,157,157.5,156.5,156.5
20140602,155,156.5,154,156
20140530,154.5,156,153.5,153.5
20140529,154,155,152.5,153
20140528,157,157,153.5,154.5
20140527,157,157,155,155
20140526,158,158,155,157
20140523,155,157.5,154.5,157.5
20140522,156.5,158,156,157
20140521,155,156,154.5,155
20140520,154,155,153.5,155
20140519,155,156,154.5,156
20140516,153,156.5,152.5,156
20140515,154,154.5,153,153.5
20140514,153.5,154,153,154
20140512,156.5,157,153,153
20140509,155,156.5,154.5,155.5
20140508,157,157.5,155,155
20140507,157.5,158.5,156.5,157
20140506,160.5,161.5,159,159.5
20140502,161,161,160,161
20140430,160,160.5,158.5,159.5
20140429,159,160,157.5,158
20140428,161,162,160,161
20140425,158.5,161,158.5,159.5
20140424,162,162.5,160,160
20140423,159,162,158.5,162
20140422,160,160.5,158,158.5
20140421,158.5,160,157.5,159.5
20140418,158.5,158.5,157,157.5
20140417,158,159.5,157,158
20140416,155,159,154.5,158
20140411,156.5,156.5,155,156
20140410,155,157,155,157
20140409,158.5,159,156,157
20140408,156,158.5,156,158
20140404,159,159,155,156
20140403,160,160,157.5,159
20140402,160,160,158.5,159
20140401,158,159.5,157,159
20140331,157,157.5,156,157
20140328,155.5,157,154.5,156
20140327,155.5,156,153.5,154
20140326,153.5,155,153,155
20140325,151.5,153.5,151,153
20140324,152,153,151.5,151.5
20140321,152.5,153,151,151.5
20140320,152.5,152.5,151,152.5
20140319,156.5,157,152,153
20140318,157.5,158,155.5,156
20140317,157,158,156.5,157.5
20140314,156,157,155.5,156
20140313,156.5,158,156.5,157
20140312,155,156.5,155,156
20140311,155.5,156,154.5,155.5
20140310,154,154.5,152.5,154.5
20140307,154.5,155,153.5,154.5
20140306,153.5,154.5,152.5,154
20140305,155,155,152,152.5
20140304,155.5,156.5,152.5,153.5
20140303,155,156,153.5,154.5
20140228,152,154,152,154
20140227,152,153.5,151.5,152.5
20140226,152.5,152.5,151,151.5
20140225,152.5,153,151,152
20140224,151.5,152.5,151,151.5
20140221,153,153,151,153
20140220,152.5,153.5,151,151.5
20140219,153,154.5,152.5,153.5
20140218,152,153.5,151.5,151.5
20140217,153,153,151,153
20140213,152.5,153.5,152,152.5
20140212,151.5,152.5,150.5,152
20140211,150.5,152,150,151
20140210,156,156.5,152.5,153
20140207,157.5,157.5,154.5,155
20140206,157,158,156,157.5
20140205,155.5,156,154,155
20140204,155,155.5,153.5,154
20140203,155,156,153.5,156
20140131,156,156.5,152.5,153
20140130,156.5,157,155.5,156
20140129,157,159,156.5,157
20140128,158,158.5,155.5,156.5
20140127,162.5,163.5,161,161
20140124,162.5,166.5,162,165
20140123,159,162.5,157.5,160.5
20140122,158.5,159,157.5,158
20140121,159,160,155.5,159
20140120,159,160,158,158.5
20140117,160.5,160.5,158,159
20140116,158,161,157,159.5
20140115,162,163.5,157.5,157.5
20140114,163,164.5,161.5,162
20140113,158.5,165,156.5,165
20140110,155,159,154,159
20140109,158,163,155.5,156.5
20140108,155,158.5,154.5,156.5
20140107,148.5,153.5,148,153.5
20140106,152,152.5,145.5,148
20140103,151,154,150,153
20140102,164,165,155,155
