date,open,high,low,close
20141107,4.18,4.22,4.16,4.22
20141106,4.24,4.28,4.16,4.16
20141105,4.24,4.28,4.2,4.2
20141104,4.32,4.32,4.26,4.26
20141103,4.32,4.32,4.26,4.3
20141031,4.28,4.3,4.24,4.3
20141030,4.36,4.38,4.26,4.26
20141029,4.3,4.38,4.26,4.36
20141028,4.3,4.3,4.2,4.22
20141027,4.1,4.26,4.08,4.26
20141024,4.06,4.1,4.02,4.1
20141022,4.08,4.1,4.04,4.04
20141021,4.08,4.1,4.02,4.04
20141020,4.1,4.14,4.08,4.12
20141017,4.08,4.12,4,4.12
20141016,4.12,4.14,4.08,4.1
20141015,4.14,4.18,4.1,4.16
20141014,4.08,4.12,4.02,4.12
20141013,4.08,4.1,3.98,4.06
20141010,4.06,4.14,4.04,4.08
20141009,4.08,4.14,4.06,4.08
20141008,4.02,4.06,4,4.02
20141007,4.04,4.1,4,4.06
20141006,4.16,4.16,4.02,4.06
20141003,4.14,4.2,4.1,4.18
20141002,4.24,4.24,4.12,4.16
20141001,4.24,4.26,4.22,4.24
20140930,4.28,4.3,4.22,4.22
20140929,4.22,4.32,4.2,4.28
20140926,4.24,4.28,4.2,4.2
20140925,4.3,4.3,4.26,4.26
20140924,4.28,4.32,4.24,4.28
20140923,4.3,4.32,4.26,4.3
20140922,4.34,4.34,4.28,4.3
20140919,4.3,4.36,4.28,4.34
20140918,4.16,4.3,4.14,4.3
20140917,4.14,4.16,4.1,4.14
20140916,4.2,4.22,4.1,4.1
20140915,4.14,4.2,4.12,4.18
20140912,4.2,4.22,4.14,4.14
20140911,4.12,4.2,4.1,4.2
20140910,4.14,4.14,4.08,4.12
20140909,4.28,4.28,4.16,4.16
20140908,4.2,4.3,4.12,4.28
20140905,4.28,4.3,4.2,4.2
20140904,4.44,4.44,4.24,4.3
20140903,4.46,4.46,4.42,4.44
20140902,4.48,4.48,4.4,4.46
20140901,4.36,4.46,4.36,4.46
20140829,4.38,4.48,4.38,4.44
