date,open,high,low,close
20141107,32,32.25,30.25,30.5
20141106,32.25,32.5,32,32
20141105,32.5,33.25,31.75,32.5
20141104,32,32.5,31.5,32.5
20141103,33,33,31.5,31.75
20141031,33.25,33.5,32.75,33
20141030,32,33.25,32,33
20141029,31.5,32,31.5,31.75
20141028,31.75,32,31.25,31.25
20141027,32.75,32.75,31,31.75
20141024,32.25,33,32.25,32.75
20141022,32.75,32.75,32,32.25
20141021,33.5,33.75,31.75,32.25
20141020,34.5,34.75,33,33.5
20141017,33.75,34,33.25,34
20141016,33.25,34,32.75,33.75
20141015,32.75,34.25,32.75,33.25
20141014,32.5,32.75,32.25,32.5
20141013,32.75,32.75,32.25,32.5
20141010,32,33.75,32,33
20141009,30.5,32.75,30.5,32.75
20141008,29,30.75,28.75,30.25
20141007,28.5,30,28.25,29.5
20141006,30,30.5,28.5,28.75
20141003,29.75,30.25,29.5,30.25
20141002,30,30.5,29.5,29.75
20141001,31.25,31.5,30,30
20140930,31.25,31.75,31,31
20140929,31.25,31.75,30.75,31.25
20140926,29.5,31.25,29.5,31.25
20140925,30.75,31,30,30
20140924,32.25,32.5,30.25,31
20140923,33,33,32,32
20140922,32.25,33.25,32.25,32.5
20140919,32,32.75,31.5,32.5
20140918,30.5,32,30.25,32
20140917,29.75,30.5,29.25,30.25
20140916,29.75,30,28.75,29.5
20140915,29,30.5,28.75,29.75
20140912,29.5,29.75,28.75,29
20140911,29.75,29.75,29,29.5
20140910,28.75,29.5,28,29.5
20140909,29,29.75,28.5,29
20140908,28.5,29.5,28.5,29
20140905,27.5,28.25,27.5,28.25
20140904,27.75,28,27.25,27.5
20140903,27.75,28.25,27.5,27.5
20140902,27.75,28,27,27.5
20140901,25.75,27.5,25.75,27.5
20140829,25.75,26,25.5,25.5
20140828,26,26.25,25.5,25.75
20140827,25.75,26,25.5,25.75
20140826,26.25,26.25,25.5,25.75
20140825,26,26.75,25.75,26
20140822,25,25.75,24.9,25.5
20140821,24,25.25,24,25
20140820,23.5,24,23.4,23.8
20140819,23.1,23.5,23,23.5
20140818,23.1,23.5,22.8,23.4
20140815,23.3,23.4,23,23.2
20140814,23.5,23.5,23.2,23.3
20140813,23.4,23.6,23.2,23.3
20140808,23.3,23.6,23.1,23.2
20140807,23.9,24.2,23.4,23.5
20140806,23.7,24,23.5,23.8
20140805,23.2,23.7,23.2,23.6
20140804,23.3,23.4,23,23.3
20140801,22.4,23,22.4,23
20140731,23,23.4,22.6,22.7
20140730,23.6,23.7,22.7,23
20140729,23.7,24.2,23.4,23.5
20140728,23.5,23.6,23,23.6
20140725,23,23.8,22.9,23.5
20140724,23.1,23.3,22.8,22.8
20140723,22,22.8,21.9,22.8
20140722,22.2,22.2,21.6,21.8
20140721,21.9,22.2,21.9,22.2
20140718,22.3,22.5,21.6,21.7
20140717,22.2,22.3,22.1,22.3
20140716,22.2,22.5,22.1,22.1
20140715,22.7,22.7,22.1,22.1
20140714,22.2,22.5,22,22.5
20140710,21.8,22.1,21.7,22.1
20140709,21.7,21.9,21.6,21.8
20140708,21.4,21.8,21.3,21.7
20140707,21.3,21.6,21.1,21.1
20140704,21,21.6,21,21.2
20140703,21.3,21.3,20.8,20.8
20140702,20.5,21,20.5,21
20140630,20.6,20.8,20.5,20.5
20140627,20.7,20.8,20.6,20.6
20140626,20.6,20.8,20.6,20.7
20140625,20.4,20.4,20.2,20.4
20140624,20.5,20.6,20.2,20.4
20140623,20.7,20.9,20.4,20.5
20140620,20.3,20.9,20.2,20.7
20140619,20.1,20.6,20,20.2
20140618,20.8,20.9,20,20
20140617,21.5,21.5,20.8,20.8
