date,open,high,low,close
20141107,446,446,444,446
20141106,446,446,438,444
20141105,452,452,442,446
20141104,454,454,444,452
20141103,452,454,450,452
20141031,446,452,444,450
20141030,436,446,436,442
20141029,432,440,430,434
20141028,436,438,432,432
20141027,434,436,430,436
20141024,432,436,430,434
20141022,432,434,424,432
20141021,430,434,428,432
20141020,434,436,428,430
20141017,430,434,428,432
20141016,434,436,430,430
20141015,434,440,434,434
20141014,434,434,430,434
20141013,436,438,432,432
20141010,434,438,434,438
20141009,436,440,434,438
20141008,434,438,432,436
20141007,442,444,434,438
20141006,446,450,440,444
20141003,446,448,442,446
20141002,452,454,446,448
20141001,452,458,452,452
20140930,448,454,444,450
20140929,450,452,444,446
20140926,446,450,444,450
20140925,448,450,446,448
20140924,452,454,444,446
20140923,454,458,452,452
20140922,454,458,454,454
20140919,458,460,452,456
20140918,460,462,456,456
20140917,450,462,448,458
20140916,454,454,448,450
20140915,454,456,452,452
20140912,458,460,452,454
20140911,460,462,456,456
20140910,454,464,452,462
20140909,460,460,452,456
20140908,454,464,454,462
20140905,440,448,438,448
20140904,440,442,436,438
20140903,440,442,436,442
20140902,438,440,436,438
20140901,442,444,436,436
20140829,438,442,438,440
20140828,440,442,436,438
20140827,436,442,434,440
20140826,440,440,434,434
20140825,440,442,434,438
20140822,440,442,432,436
20140821,440,442,438,440
20140820,442,442,438,442
20140819,444,446,440,440
20140818,442,444,440,442
20140815,442,442,436,442
20140814,444,446,440,442
20140813,434,444,432,440
20140808,428,430,426,428
20140807,432,434,428,432
20140806,440,444,436,436
20140805,434,442,434,440
20140804,434,436,426,430
20140801,430,436,428,432
20140731,450,450,432,434
20140730,458,462,450,452
20140729,460,462,454,458
20140728,464,464,456,460
20140725,468,468,460,464
20140724,464,466,458,462
20140723,456,466,454,464
20140722,458,462,450,454
20140721,452,460,450,454
20140718,450,456,448,448
20140717,458,460,448,448
20140716,466,468,458,462
20140715,468,468,462,468
20140714,466,472,462,466
20140710,462,468,462,464
20140709,472,474,462,462
20140708,482,482,472,472
20140707,472,482,468,478
20140704,468,472,468,468
20140703,462,468,458,468
20140702,454,462,450,462
20140630,452,454,450,452
20140627,450,456,446,450
20140626,450,450,446,448
20140625,446,448,444,448
20140624,444,450,442,446
20140623,444,450,442,448
20140620,442,444,440,444
20140619,444,446,438,442
20140618,454,454,440,444
20140617,450,456,448,454
20140616,446,458,444,452
20140613,438,448,438,444
20140612,440,444,438,440
20140611,444,446,438,442
20140610,442,446,438,446
20140609,438,444,436,440
20140606,434,438,432,436
20140605,432,434,428,430
20140604,436,438,432,432
20140603,440,440,430,434
20140602,420,434,420,434
20140530,418,424,416,418
20140529,414,418,414,416
20140528,410,420,410,414
20140527,412,414,408,408
20140526,412,412,406,412
20140523,404,410,402,410
20140522,412,414,408,410
20140521,406,412,404,408
20140520,410,414,406,406
20140519,416,418,412,414
20140516,414,422,414,418
20140515,416,418,414,416
20140514,418,422,412,418
20140512,422,424,418,418
20140509,420,422,418,422
20140508,420,424,420,420
20140507,420,426,418,422
20140506,426,430,422,422
20140502,432,434,424,426
20140430,444,446,430,434
20140429,440,442,436,442
20140428,434,440,432,440
20140425,442,446,432,432
20140424,452,452,444,446
20140423,436,452,436,448
20140422,428,434,426,434
20140421,426,428,424,426
20140418,426,430,426,426
20140417,428,432,426,426
20140416,424,430,424,428
20140411,424,430,424,426
20140410,426,428,420,426
20140409,422,426,422,426
20140408,428,430,420,420
20140404,422,428,422,428
20140403,422,424,420,422
20140402,418,424,416,422
20140401,414,418,412,418
20140331,420,420,416,418
20140328,416,424,416,420
20140327,414,418,412,418
20140326,418,418,414,414
20140325,412,416,408,416
20140324,416,416,412,412
20140321,416,418,410,418
20140320,410,416,410,414
20140319,418,420,408,410
20140318,426,426,418,420
20140317,428,428,422,424
20140314,428,428,426,426
20140313,430,430,424,430
20140312,434,434,426,428
20140311,432,436,430,436
20140310,432,436,428,432
20140307,426,434,426,434
20140306,430,432,424,426
20140305,432,434,424,428
20140304,434,436,428,428
20140303,426,438,426,432
20140228,422,434,420,430
20140227,416,422,414,420
20140226,414,416,412,416
20140225,418,420,412,414
20140224,416,418,412,416
20140221,416,418,412,416
20140220,410,416,410,414
20140219,420,420,412,412
20140218,418,418,416,418
20140217,420,422,418,420
20140213,422,424,416,416
20140212,414,422,412,420
20140211,412,418,408,414
20140210,416,418,406,410
20140207,418,424,414,416
20140206,408,416,408,416
20140205,408,410,404,404
20140204,404,408,402,406
20140203,406,412,404,408
20140131,404,408,404,406
20140130,399,404,398,402
20140129,402,404,397,402
20140128,400,404,399,400
20140127,404,406,402,402
20140124,410,416,406,416
20140123,400,410,400,410
20140122,398,402,397,402
20140121,408,410,400,400
20140120,406,408,402,402
20140117,410,414,404,404
20140116,406,416,402,408
20140115,404,408,400,406
20140114,399,412,398,406
20140113,390,398,387,397
20140110,388,392,387,391
20140109,390,393,389,392
20140108,388,393,387,392
20140107,387,391,386,389
20140106,378,386,373,385
20140103,372,380,365,380
20140102,396,396,378,381
