date,open,high,low,close
20141107,426,426,406,416
20141106,424,428,422,426
20141105,428,430,424,424
20141104,430,430,426,430
20141103,424,430,424,430
20141031,420,420,414,420
20141030,418,418,414,414
20141029,422,422,416,418
20141028,424,424,422,424
20141027,426,426,422,426
20141024,424,426,422,426
20141022,426,426,422,426
20141021,422,426,420,426
20141020,424,426,422,422
20141017,418,424,418,424
20141016,418,422,416,420
20141015,420,420,416,418
20141014,422,422,416,418
20141013,418,420,416,420
20141010,422,426,418,424
20141009,424,424,416,420
20141008,420,426,420,422
20141007,428,428,420,422
20141006,434,434,428,430
20141003,428,432,428,432
20141002,432,436,428,432
20141001,430,436,430,434
20140930,430,436,430,434
20140929,430,436,430,434
20140926,436,436,432,432
20140925,434,438,432,434
20140924,434,434,430,432
20140923,434,436,432,436
20140922,432,436,432,436
20140919,440,440,432,432
20140918,430,438,430,438
20140917,428,434,428,432
20140916,434,436,430,430
20140915,440,440,434,434
20140912,434,438,432,438
20140911,440,440,432,432
20140910,442,442,434,438
20140909,444,444,436,438
20140908,438,444,438,442
20140905,438,438,430,436
20140904,438,442,436,436
20140903,428,436,428,436
20140902,432,434,428,428
20140901,430,432,428,430
20140829,422,430,420,426
20140828,426,426,420,420
20140827,426,430,424,424
20140826,428,430,424,428
20140825,420,428,420,428
20140822,428,428,420,420
20140821,424,426,420,422
20140820,432,432,424,426
20140819,438,438,430,434
20140818,442,442,432,436
20140815,440,440,436,440
20140814,436,440,436,440
20140813,420,434,420,434
20140808,420,424,416,424
20140807,426,426,418,424
20140806,426,426,422,422
20140805,420,430,420,422
20140804,426,428,418,422
20140801,432,432,428,430
20140731,444,446,442,442
20140730,446,446,442,446
20140729,442,444,440,444
20140728,440,444,436,444
20140725,442,442,436,440
20140724,444,446,440,442
20140723,448,448,442,446
20140722,460,462,440,448
20140721,450,458,450,458
20140718,450,456,450,454
20140717,460,462,452,452
20140716,460,464,460,462
20140715,460,460,456,456
20140714,454,458,454,458
20140710,456,456,452,454
20140709,456,456,452,452
20140708,458,458,454,456
20140707,452,460,452,456
20140704,456,458,450,450
20140703,450,454,448,454
20140702,450,452,446,446
20140630,458,458,450,450
20140627,450,460,444,456
20140626,442,448,438,448
20140625,442,444,440,444
20140624,440,446,436,440
20140623,448,450,440,442
20140620,444,448,438,446
20140619,444,450,444,450
20140618,460,460,444,444
20140617,450,458,448,454
20140616,442,452,442,450
20140613,432,448,432,446
20140612,428,436,428,434
20140611,430,430,426,426
20140610,426,432,426,428
20140609,430,430,426,426
20140606,430,430,426,428
20140605,426,430,424,426
20140604,426,428,424,426
20140603,428,430,424,424
20140602,420,428,420,426
20140530,420,422,414,416
20140529,414,424,414,418
20140528,400,414,398,414
20140527,390,404,390,400
20140526,389,393,387,393
20140523,385,393,385,392
20140522,391,394,391,392
20140521,387,389,387,388
20140520,387,390,383,388
20140519,388,390,386,387
20140516,389,392,386,389
20140515,389,394,388,392
20140514,384,392,384,388
20140512,380,384,378,381
20140509,374,380,374,379
20140508,379,380,371,372
20140507,379,382,376,382
20140506,387,388,383,383
20140502,384,388,384,386
20140430,386,391,385,386
20140429,386,388,384,388
20140428,386,390,383,387
20140425,393,395,383,386
20140424,390,398,386,394
20140423,366,387,366,386
20140422,359,360,356,359
20140421,352,358,352,358
20140418,364,364,360,362
20140417,362,364,361,362
20140416,360,363,359,362
20140411,356,358,354,358
20140410,357,357,355,356
20140409,351,358,351,357
20140408,358,358,351,351
20140404,355,356,354,356
20140403,351,355,351,354
20140402,350,352,349,351
20140401,347,349,347,349
20140331,348,351,346,346
20140328,344,350,344,350
20140327,348,348,344,348
20140326,347,348,346,348
20140325,346,346,344,345
20140324,348,348,345,346
20140321,348,348,346,347
20140320,348,349,346,347
20140319,351,352,349,349
20140318,352,353,350,351
20140317,355,355,352,354
20140314,353,355,351,355
20140313,353,353,351,353
20140312,351,353,350,353
20140311,354,354,349,349
20140310,352,353,349,353
20140307,351,353,351,351
20140306,351,356,351,351
20140305,357,357,351,353
20140304,356,356,353,356
20140303,357,359,355,356
20140228,349,354,349,353
20140227,347,350,347,349
20140226,350,350,348,348
20140225,349,351,349,350
20140224,345,350,345,349
20140221,348,350,345,346
20140220,355,355,348,349
20140219,362,362,357,358
20140218,360,361,358,361
20140217,362,364,361,362
20140213,359,362,358,361
20140212,356,360,356,359
20140211,355,357,354,354
20140210,364,364,352,354
20140207,356,362,355,360
20140206,353,354,352,354
20140205,354,355,349,350
20140204,355,355,352,354
20140203,356,362,356,358
20140131,354,356,352,355
20140130,355,355,352,353
20140129,365,365,357,357
20140128,370,370,365,365
20140127,376,376,370,372
20140124,382,382,376,378
20140123,378,380,375,380
20140122,381,382,379,379
20140121,386,388,380,383
20140120,388,392,384,387
20140117,391,392,387,390
20140116,386,393,386,392
20140115,395,396,385,386
20140114,402,402,396,399
20140113,391,402,390,402
20140110,397,397,386,396
20140109,393,398,390,392
20140108,390,394,388,392
20140107,382,390,382,390
20140106,373,385,370,385
20140103,372,376,368,375
20140102,396,400,382,382
