date,open,high,low,close
20141107,2.04,2.06,2,2.02
20141106,2.04,2.04,2,2.02
20141105,2.06,2.06,2.02,2.02
20141104,2.02,2.06,2.02,2.06
20141103,2.06,2.12,2.02,2.02
20141031,2.04,2.06,2,2.06
20141030,2.04,2.06,2.02,2.04
20141029,2.04,2.06,2,2.04
20141028,2.02,2.08,2.02,2.04
20141027,2.04,2.06,2.02,2.02
20141024,1.97,2.04,1.96,2.04
20141022,2,2,1.94,1.98
20141021,2,2.02,1.97,1.98
20141020,2.06,2.08,1.98,1.98
20141017,2.14,2.16,2.02,2.04
20141016,2.16,2.18,2.12,2.12
20141015,2.22,2.22,2.14,2.14
20141014,2.22,2.28,2.2,2.24
20141013,2.2,2.24,2.14,2.2
20141010,2.02,2.2,2.02,2.16
20141009,2.06,2.08,1.98,2.06
20141008,1.9,2.06,1.88,2.04
20141007,1.93,1.94,1.86,1.9
20141006,2.3,2.36,2.24,2.24
20141003,2.28,2.28,2.18,2.24
20141002,2.3,2.34,2.24,2.26
20141001,2.24,2.36,2.24,2.34
20140930,2.26,2.28,2.22,2.24
20140929,2.22,2.3,2.2,2.26
20140926,2.18,2.22,2.16,2.22
20140925,2.2,2.22,2.18,2.2
20140924,2.2,2.22,2.16,2.18
20140923,2.26,2.28,2.18,2.2
20140922,2.18,2.28,2.18,2.24
20140919,2.04,2.14,2.04,2.14
20140918,2.06,2.06,2.02,2.04
20140917,2.06,2.06,2.02,2.04
20140916,2.04,2.1,2.02,2.04
20140915,2.04,2.04,2.02,2.02
20140912,2.02,2.04,2.02,2.04
20140911,2.04,2.06,2.02,2.04
20140910,2.04,2.06,2.02,2.04
20140909,2.06,2.06,2.04,2.04
20140908,2.04,2.06,2.04,2.04
20140905,2.04,2.06,2.02,2.02
20140904,2.08,2.08,2.04,2.04
20140903,2.08,2.08,2.06,2.06
20140902,2.06,2.08,2.06,2.08
20140901,2.08,2.1,2.06,2.06
20140829,2.08,2.1,2.06,2.08
20140828,2.08,2.08,2.04,2.06
20140827,2.1,2.12,2.06,2.06
20140826,2.04,2.1,2.04,2.08
20140825,2.04,2.06,2.02,2.04
20140822,2.04,2.06,2.02,2.04
20140821,2.04,2.06,2.02,2.04
20140820,2.04,2.06,2.02,2.04
20140819,2.04,2.06,2.02,2.02
20140818,2.06,2.06,2.02,2.04
20140815,2.02,2.1,2,2.06
20140814,2.04,2.04,1.99,2
20140813,2.04,2.04,2.02,2.04
20140808,2,2.04,2,2.02
20140807,2,2.04,2,2.02
20140806,2,2.04,2,2
20140805,2.04,2.06,1.99,2.02
20140804,2.02,2.06,2,2.06
20140801,1.96,1.99,1.95,1.99
20140731,2.04,2.06,2.02,2.02
20140730,2.06,2.08,2,2.06
20140729,2.18,2.26,2.02,2.08
20140728,2.42,2.42,2.36,2.36
20140725,2.5,2.52,2.42,2.42
20140724,2.48,2.52,2.44,2.48
20140723,2.36,2.5,2.34,2.5
20140722,2.44,2.48,2.34,2.34
20140721,2.36,2.44,2.34,2.4
