date,open,high,low,close
20141107,24.8,25,24.7,24.8
20141106,25,25,24.8,24.8
20141105,25.25,25.25,24.9,25
20141104,25.25,25.25,24.9,24.9
20141103,25.25,25.5,25,25
20141031,24.9,25.5,24.9,25.25
20141030,25.25,25.25,24.8,24.9
20141029,25.25,25.25,25,25
20141028,25.25,25.5,24.9,25
20141027,25.75,26,25.25,25.25
20141024,25.5,25.75,25.5,25.75
20141022,25.75,26,25.25,25.25
20141021,25,25.5,24.9,25.5
20141020,24.8,25,24.8,24.9
20141017,24.5,24.7,24.4,24.7
20141016,24.7,24.8,24.6,24.6
20141015,24.9,24.9,24.7,24.8
20141014,24.7,24.9,24.7,24.8
20141013,24.9,25,24.7,24.7
20141010,25,25.25,24.9,25
20141009,25,25.25,25,25
20141008,24.8,25,24.8,24.9
20141007,24.9,25.25,24.8,24.9
20141006,25.25,25.25,24.8,24.9
20141003,24.9,25.25,24.9,25.25
20141002,25.5,25.75,24.9,24.9
20141001,25.75,26,25.5,25.75
20140930,25.5,25.75,25.25,25.5
20140929,26.25,26.25,25.5,25.75
20140926,26.25,26.5,26,26.25
20140925,26.75,26.75,26.25,26.25
20140924,26.5,26.75,26.25,26.5
20140923,26,26.5,25.75,26.5
20140922,26.5,26.5,25.75,26
20140919,26.5,27,26,26.5
20140918,25.25,26,25,26
20140917,25,25.25,24.9,25
20140916,25.75,26,24.9,24.9
20140915,25.5,25.75,25.25,25.5
20140912,25.75,26,25.5,25.5
20140911,24.5,26,24.5,26
20140910,24.7,24.8,24.4,24.4
20140909,24.9,25,24.7,24.7
20140908,25,25.25,24.9,24.9
20140905,25.25,25.25,24.9,24.9
20140904,25.5,25.5,24.9,25.25
20140903,25.5,25.75,25.25,25.25
20140902,26,26,25.25,25.25
20140901,26.5,26.5,25.75,26
20140829,26.25,26.75,26,26.5
20140828,26,26.25,25.75,26.25
20140827,25.5,26.25,25.5,25.75
20140826,26.25,26.25,25.5,25.5
20140825,26.5,26.75,26.25,26.25
20140822,27.25,27.25,26.75,27
20140821,26.5,27.25,26.5,27.25
20140820,26.5,26.75,26.25,26.25
20140819,27.25,27.25,26.5,26.5
20140818,27.5,27.5,26.75,27
20140815,26.75,27.25,26.5,27.25
20140814,27.5,27.5,26.75,26.75
20140813,27.5,27.5,26.75,27.25
20140808,25.75,27,25.5,26.75
20140807,26,26.25,25.5,25.75
20140806,25.25,26,25.25,25.5
20140805,24.9,25.5,24.9,25.5
20140804,24.8,24.9,24.5,24.8
20140801,24.5,24.8,24.4,24.8
20140731,25.5,25.75,24.8,24.8
20140730,26.25,26.5,25,25.75
20140729,27,27.25,26.25,26.25
20140728,25.75,27,25.75,26.75
20140725,25.25,25.75,25,25.5
20140724,25.25,25.5,24.9,25
20140723,24.8,25.25,24.7,25.25
20140722,25.25,25.25,24.5,24.6
20140721,25.5,25.5,24.9,25
20140718,25.75,26,25.25,25.5
20140717,26.25,26.25,25.75,26
20140716,25.25,26.25,25.25,25.75
20140715,25.5,26,25.25,25.25
20140714,25.25,25.75,25,25.25
20140710,26,26,24.8,25
20140709,25.75,26.25,25.25,26
20140708,26.75,27,25.25,26
20140707,27,27,26.75,27
20140704,27.75,27.75,27,27
20140703,28,28.25,27,27.75
20140702,27,27.75,26.5,27.75
20140630,26.75,27.25,26.5,26.75
20140627,27,27,26.75,26.75
20140626,26.75,27.25,26.75,27
20140625,26.5,27,26.5,26.75
20140624,26.75,26.75,26.25,26.5
20140623,27,27,26.75,27
20140620,26.75,27,26.5,27
20140619,26.25,27,25.75,26.75
20140618,26.75,27.25,26,26
20140617,27.75,27.75,26.5,27
20140616,27,27.75,26.75,27.5
20140613,26.75,27.75,26.25,26.5
20140612,26,27.25,25.75,26.75
20140611,26.75,27,26,26
20140610,27.25,27.25,26.75,26.75
20140609,27,27.5,26.75,27.5
20140606,26,27.5,25.75,27
20140605,25.75,26.5,25.5,25.5
20140604,25.25,26,24.9,25.5
20140603,25.5,25.5,25,25.25
20140602,25,25.25,24.9,24.9
20140530,24.4,25.5,24.3,24.8
20140529,24.6,24.8,24.1,24.3
20140528,24.2,24.8,24,24.6
20140527,24.5,25,24.1,24.1
20140526,25.25,25.25,24.4,24.4
20140523,23.8,25,23.5,24.9
20140522,23.7,25,23.7,24.5
20140521,22.1,23.3,22.1,23.3
20140520,21.7,22.1,21.6,21.9
20140519,22.1,22.2,22,22.1
20140516,22.1,22.4,21.9,22.2
20140515,22.2,22.2,21.8,22.2
20140514,21.4,22.4,21.3,22.4
20140512,21.1,21.2,20.7,21.1
20140509,20.8,20.9,20.5,20.6
20140508,21.6,21.6,20.7,20.8
20140507,21.3,21.6,21.1,21.6
20140506,22.5,22.6,21.6,21.6
20140502,21.4,22.5,21.4,22.3
20140430,21.4,21.5,21,21.2
20140429,21.4,21.6,21.3,21.3
20140428,21.7,21.7,21.3,21.4
20140425,22.4,22.4,21.7,21.7
20140424,22.6,22.8,22.3,22.5
20140423,22.1,22.7,22.1,22.6
20140422,21.6,22.1,21.6,22
20140421,21.4,21.5,21.1,21.5
20140418,21.7,21.7,21.3,21.4
20140417,21.4,21.7,21.3,21.5
20140416,21.5,21.8,21.3,21.4
20140411,20.5,21.5,20.4,21.3
20140410,20.4,20.6,20.2,20.5
20140409,20.4,20.6,20.2,20.3
20140408,20.2,20.7,20.1,20.1
20140404,19.6,20.1,19.3,20
20140403,19.5,19.5,19.1,19.4
20140402,19.3,19.4,19.2,19.3
20140401,19.2,19.3,19.1,19.2
20140331,19.4,19.4,19.1,19.1
20140328,19.4,19.5,19.2,19.2
20140327,19.5,19.6,19.1,19.2
20140326,19,19.4,18.8,19.3
20140325,18.2,18.8,17.9,18.8
20140324,18.6,18.6,18.1,18.4
20140321,18.8,18.9,18.6,18.7
20140320,18.6,18.8,18.5,18.8
20140319,19.1,19.3,18.7,18.7
20140318,19.5,19.6,19.1,19.1
20140317,19.6,19.8,19.3,19.5
20140314,19.5,19.6,19.4,19.6
20140313,19.3,19.6,19.2,19.4
20140312,19.7,19.7,19.4,19.4
20140311,19.3,19.8,19.3,19.7
20140310,19.9,19.9,19.2,19.4
20140307,20.2,20.3,19.7,19.9
20140306,19.7,20.3,19.6,20.1
20140305,18.9,19.6,18.9,19.4
20140304,18.8,19,18.7,18.9
20140303,19,19,18.7,18.7
20140228,19,19,18.7,19
20140227,18.4,18.9,18.3,18.8
20140226,18.5,18.6,18.4,18.4
20140225,18.6,18.7,18.4,18.5
20140224,18.5,18.5,18,18.4
20140221,18.4,18.7,18.3,18.6
20140220,18.8,18.8,18.3,18.5
20140219,19,19,18.7,18.8
20140218,19.1,19.2,18.7,19
20140217,18.9,19.2,18.9,19.1
20140213,19.3,19.3,19,19
20140212,19,19.3,19,19.2
20140211,19,19.2,18.9,18.9
20140210,19.2,19.2,18.9,18.9
20140207,19.3,19.3,19,19.1
20140206,19.2,19.3,19.1,19.2
20140205,19.1,19.4,18.9,19.1
20140204,19.1,19.1,18.9,19
20140203,19,19.2,19,19.2
20140131,19,19,18.6,18.8
20140130,18.9,19.2,18.8,18.9
20140129,19.2,19.2,18.9,18.9
20140128,19.3,19.5,18.9,19
20140127,19,19.4,19,19.2
20140124,19.1,19.9,19,19.1
20140123,19.3,19.3,19,19.2
20140122,19.1,19.3,18.9,19.1
20140121,18.7,19.4,18.5,19.4
20140120,18.8,19,18.4,18.6
20140117,19,19.2,18.6,18.7
20140116,18,19,17.9,19
20140115,18.1,18.4,17.8,17.8
20140114,17.2,18.2,17.1,18
20140113,16.8,17.3,16.8,17.3
20140110,17,17.1,16.8,17
20140109,17.2,17.5,16.9,17
20140108,17.1,17.5,16.9,17
20140107,16.8,17.1,16.7,17
20140106,17.3,17.4,16.4,16.8
20140103,17.5,17.7,17.1,17.4
20140102,18.9,19,17.7,17.8
