date,open,high,low,close
20141107,34.75,34.75,34,34.25
20141106,34.75,35,34.75,35
20141105,35,35,34.5,34.75
20141104,35.25,35.25,34.75,35
20141103,35,35.25,34.75,35.25
20141031,34.5,35,34.25,35
20141030,34.25,34.5,34,34.25
20141029,34.25,34.5,34,34.5
20141028,34,34.25,33.75,34.25
20141027,33.5,34.25,33.5,34
20141024,33.75,34,33.5,33.5
20141022,34.75,35,33.75,34
20141021,35,35.25,34.25,34.5
20141020,35.5,35.5,35,35.5
20141017,35,35.75,34.75,35.25
20141016,35,35.25,34.75,35
20141015,35,35.75,35,35.25
20141014,34.75,35,34.75,34.75
20141013,35,35,34.5,35
20141010,35,35,34.5,35
20141009,35.25,35.5,34.75,35.25
20141008,34.5,35.25,34.25,35.25
20141007,34.75,35.25,34.75,34.75
20141006,35.5,35.5,34.75,35
20141003,35.75,36,35.5,35.5
20141002,36.5,36.5,35.75,36
20141001,37.25,37.5,37,37.25
20140930,37.25,37.25,37,37.25
20140929,37.5,37.75,37.25,37.5
20140926,37.5,37.75,37.5,37.75
20140925,38.25,38.25,37.75,37.75
20140924,38.25,38.5,37.75,38
20140923,38.5,38.75,38.25,38.5
20140922,37.75,38.5,37.75,38.5
20140919,37.25,38,37.25,37.75
20140918,36.5,37.25,36.5,37
20140917,36.5,36.75,36,36.5
20140916,37,37.25,36.25,36.25
20140915,36.5,37.25,36.5,37
20140912,36.75,37.25,36.25,36.75
20140911,37,37.5,36.75,37
20140910,37.25,37.25,36.5,37
20140909,37.25,37.5,37,37.5
20140908,36.25,37.5,36.25,37.25
20140905,36,36,35.5,36
20140904,35.5,35.75,35.25,35.75
20140903,35.25,35.75,35,35.25
20140902,35.5,35.5,35,35.25
20140901,35.25,35.5,35,35.5
20140829,35.25,35.5,35,35
20140828,35.75,36,35.25,35.25
20140827,35.25,35.75,35.25,35.5
20140826,35.25,35.5,35,35.25
20140825,35,35.5,34.75,35
20140822,34.75,35,34.5,34.75
20140821,34.5,34.75,34.5,34.75
20140820,35,35,34.25,34.5
20140819,34.75,35,34.5,34.75
20140818,34.75,35,34.75,34.75
20140815,35,35,34.5,34.75
20140814,34.5,35,34.5,34.75
20140813,34,34.5,34,34.5
20140808,34.25,34.5,34,34
20140807,34.75,34.75,34.25,34.5
20140806,34.5,34.75,34.25,34.5
20140805,34.75,35,34.5,34.5
20140804,34.5,34.75,34.25,34.75
20140801,35,35.25,34.25,34.5
20140731,35,35.5,34.75,35.5
20140730,35.5,35.5,35,35
20140729,35.5,35.75,35,35.25
20140728,35.25,35.75,35.25,35.5
20140725,35.75,35.75,35.5,35.5
20140724,35.75,35.75,35.5,35.75
20140723,35.25,35.75,35.25,35.5
20140722,35.5,35.75,35.25,35.25
20140721,35.75,35.75,35.5,35.5
20140718,35.75,36,35.75,36
20140717,35.75,36,35.75,35.75
20140716,35.75,36,35.5,35.75
20140715,36,36,35.5,35.75
20140714,36,36.25,35.75,36
20140710,35.75,36,35.75,36
20140709,35.75,36,35.5,35.75
20140708,35.75,36,35.75,35.75
20140707,36,36.25,35.75,35.75
20140704,35.5,36.25,35.5,35.75
20140703,35.5,35.75,35.25,35.5
20140702,35.25,35.5,35,35.5
20140630,35,35.25,35,35.25
20140627,35,35.25,34.75,35
20140626,35.25,35.25,34.75,34.75
20140625,35,35.25,34.75,35.25
20140624,35,35.25,34.75,35
20140623,35,35.25,34.75,35.25
20140620,34.75,35.25,34.75,34.75
20140619,34.75,35,34.5,34.75
20140618,35.25,35.5,34.75,34.75
20140617,35.75,36,35.25,35.25
20140616,35.75,36,35.5,35.5
20140613,36,36,35.5,35.75
20140612,35.75,36.25,35.75,36
20140611,36,36.25,35.75,35.75
20140610,35.5,36.25,35.5,35.75
20140609,35.75,36,35.25,35.25
20140606,35.5,35.75,35.25,35.75
20140605,35.5,35.75,34.75,35
20140604,35.75,35.75,35,35.25
20140603,36,36,35,35.75
20140602,34.25,35.5,34.25,35.5
20140530,33.5,34,33.25,34
20140529,33.25,33.5,33,33.25
20140528,33,33.5,32.75,33.25
20140527,33.25,33.5,32.5,32.75
20140526,33.25,33.5,33,33
20140523,32.75,33.5,32.5,33.5
20140522,33.25,33.5,33,33
20140521,33.25,33.5,33,33.25
20140520,33.25,33.5,32.75,33.25
20140519,33.5,33.75,33.5,33.5
20140516,33.5,34,33.25,33.5
20140515,33.5,33.75,33.5,33.5
20140514,33.75,34,33.25,33.5
20140512,33,33.5,33,33.5
20140509,33.25,33.75,33,33
20140508,34,34.25,33.25,33.5
20140507,33.75,34.25,33.5,34.25
20140506,34.5,34.5,33.75,34
20140502,35,35,34.25,34.25
20140430,33.75,34.75,33.75,34.75
20140429,33.75,34,33.5,33.75
20140428,33.75,34,33.75,33.75
20140425,34.25,34.25,33.75,33.75
20140424,34.25,34.5,34,34
20140423,34.5,34.5,34.25,34.5
20140422,34.25,34.5,34.25,34.5
20140421,34.5,34.75,34.25,34.25
20140418,34.75,34.75,34.5,34.5
20140417,34.5,34.75,34.25,34.75
20140416,34,34.5,34,34.5
20140411,34.75,34.75,34,34.25
20140410,35.5,36,35.25,36
20140409,36,36,35.25,35.25
20140408,36.25,36.25,35.75,35.75
20140404,36,36.5,35.75,36.25
20140403,35.75,36,35.5,36
20140402,36,36.25,35.75,35.75
20140401,35.75,36.25,35.75,36.25
20140331,36,36,35.75,36
20140328,35.5,36,35.25,36
20140327,35.75,35.75,35.25,35.5
20140326,35.25,36,35.25,35.75
20140325,35.75,36,34.75,35.5
20140324,36.5,36.5,35.5,36.25
20140321,36.25,36.5,36,36.5
20140320,35.5,36.5,35.5,36.25
20140319,35.75,36,35.25,35.75
20140318,36.5,36.5,35.5,35.5
20140317,36.5,36.5,36,36.25
20140314,35.5,36.75,35.5,36.5
20140313,34.75,36,34.75,36
20140312,34.5,35.25,34.25,34.75
20140311,34,34.75,34,34.75
20140310,34.5,34.5,34,34
20140307,34.5,34.75,34,34.75
20140306,34,35,33.5,34.75
20140305,32.25,34,32.25,33.75
20140304,32.25,32.5,32,32
20140303,32,32.25,31.75,32.25
20140228,31.5,32,31.5,32
20140227,31.25,31.75,31.25,31.5
20140226,31.5,31.5,31.25,31.25
20140225,31.25,31.5,31,31.25
20140224,31.25,31.25,31,31
20140221,31.25,31.5,31,31.5
20140220,31.5,31.75,31.25,31.25
20140219,31.75,32,31.5,31.75
20140218,31.75,32,31.5,31.75
20140217,31.75,32,31.5,32
20140213,31.5,31.75,31.25,31.5
20140212,31.25,31.5,31,31.5
20140211,31,31.25,30.75,31.25
20140210,31.5,31.5,30.5,30.75
20140207,31.75,31.75,31.25,31.25
20140206,31.5,31.5,31,31.5
20140205,31.25,31.5,30.75,31
20140204,31,31.25,30.75,30.75
20140203,31.25,31.5,31,31.25
20140131,30.75,31,30.5,31
20140130,30.5,31,30.5,30.5
20140129,30.75,31,30.5,30.75
20140128,31,31.25,30.5,30.5
20140127,31.25,31.5,31,31
20140124,31.5,32,31.25,31.75
20140123,31.5,31.75,31,31.25
20140122,31.75,32.25,31.5,31.75
20140121,32.75,32.75,32,32
20140120,32.25,32.75,32,32.75
20140117,32.75,32.75,32.25,32.5
20140116,32.25,33,32.25,32.75
20140115,32.5,32.75,32,32.5
20140114,32.25,32.75,32,32.5
20140113,32,32.25,31.75,32.25
20140110,32.25,32.5,31.75,32
20140109,32.5,32.75,32,32.5
20140108,32,33,31.5,32
20140107,31.75,32.25,31.5,32.25
20140106,30.5,31.75,30,31.75
20140103,30.25,31,30,31
20140102,31.75,31.75,30.25,30.75
