date,open,high,low,close
20141107,38.5,38.5,37.25,37.75
20141106,39,39,38.5,38.5
20141105,39.25,39.5,38.75,39
20141104,39,39.5,39,39.25
20141103,39.5,39.5,38.5,38.75
20141031,39.5,39.5,38.75,39.25
20141030,39.25,39.75,38.75,39.25
20141029,40.75,40.75,39,39
20141028,40.25,40.75,40,40.75
20141027,40,40.5,40,40.5
20141024,39.75,40.25,39.25,40
20141022,39,39.75,39,39.75
20141021,39.25,39.25,38.75,39
20141020,39.5,39.75,38.5,39.25
20141017,38.5,39.5,38.25,39.25
20141016,38.75,38.75,38.25,38.25
20141015,38.75,39.25,38.75,39
20141014,39,39,38.5,38.75
20141013,38.5,39,38.25,38.5
20141010,38.25,39,38.25,38.5
20141009,39,39.25,38.5,39
20141008,38.25,38.75,38,38.5
20141007,38.75,39.25,38,38.5
20141006,39.5,40,38.5,38.75
20141003,39.25,39.5,38.75,39.5
20141002,40,40,38.75,39.25
20141001,41.5,41.75,40.25,40.25
20140930,41,41.25,40.5,41.25
20140929,41,42,40.25,41.25
20140926,39.75,41,39.75,40.5
20140925,39.5,40.5,39.5,40
20140924,39.25,39.5,39,39
20140923,38.75,39,38.5,39
20140922,38.75,39,38.25,38.5
20140919,39,39.25,38.5,38.5
20140918,39,39.25,38.5,38.75
20140917,39.25,39.25,38.5,39
20140916,39,39.25,38.75,38.75
20140915,39,39.25,38.75,39
20140912,39.5,39.5,38.5,38.5
20140911,40,40.5,39,39.5
20140910,39.5,40.5,39,39.75
20140909,38.75,40.5,38.75,39.5
20140908,38.5,38.75,38.25,38.25
20140905,37.5,37.75,37,37.5
20140904,38,38.25,37,37.5
20140903,38.25,38.5,37.5,37.75
20140902,38.5,39.25,38.25,38.25
20140901,39.5,39.5,38.5,38.5
20140829,39.25,39.5,39,39.5
20140828,38.75,39.25,38.25,39.25
20140827,39.5,39.5,38.5,39
20140826,39.25,39.75,39,39.25
20140825,40,40,39.25,39.25
20140822,39.25,39.75,39.25,39.25
20140821,39.25,39.5,38.75,39
20140820,39.25,40,39,39.25
20140819,39.5,39.75,38.5,38.75
20140818,38,39.5,38,39.5
20140815,37.75,38,37.5,38
20140814,38,38.25,37.5,37.5
20140813,36.5,38,36.25,37.75
20140808,35.5,35.75,35,35.5
20140807,36,36,35,35.75
20140806,36.75,37,35.5,36
20140805,36.5,37,36.25,36.75
20140804,36.75,37,36,36.75
20140801,35.5,36.75,35.25,36.75
20140731,35,36.25,35,35.5
20140730,34.75,35,34.25,34.75
20140729,35,35.5,34.25,34.75
20140728,36,36,34.5,34.75
20140725,36.25,37.25,35.5,35.75
20140724,37.25,37.25,35.25,36.25
20140723,37,37.5,36.75,37.25
20140722,38.75,39,36.75,37
20140721,39.75,39.75,38.75,38.75
20140718,39,39.5,38.5,39.5
20140717,39.75,39.75,39,39.25
20140716,39,39.5,38.75,39.25
20140715,39,39,38.5,38.75
20140714,39.25,39.5,38.75,38.75
20140710,39.25,39.5,39,39
20140709,38.5,39.25,38.5,39
20140708,38.75,39.5,38.5,38.5
20140707,38.5,39,38.25,38.75
20140704,38.5,38.75,38.25,38.25
20140703,38.75,39,38,38.25
20140702,39,39,38.25,38.25
20140630,39.25,39.25,38.25,38.5
20140627,38.5,39.25,38.5,39
20140626,39,39,38.25,38.5
20140625,39,39,38.25,38.75
20140624,39.5,39.75,38.75,39
20140623,40,40,39.25,39.5
20140620,39.25,40,39.25,40
20140619,39,39.5,38.75,39.25
20140618,40.5,40.5,38.75,39
20140617,39.75,40,39.5,39.75
20140616,39,39.75,38.75,39.75
20140613,39.25,39.75,38.5,39
20140612,39.25,40,39,39.25
20140611,40,40.25,39.25,39.5
20140610,40.75,41,39.5,39.75
20140609,41,41.25,40.5,40.75
20140606,41.25,41.25,40.75,40.75
20140605,41,41.25,40.5,40.5
20140604,41,41.75,41,41
20140603,39.75,40.75,39.75,40.5
20140602,39.5,39.75,38.75,39.5
20140530,38.5,39,38.25,39
20140529,38.75,38.75,38.25,38.25
20140528,38.25,39.5,38.25,38.5
20140527,38.75,39,37.75,38.25
20140526,40,40,38.5,38.75
20140523,39,39.75,38.75,39.75
20140522,40.25,40.5,39.75,40
20140521,40.25,40.25,39.5,40
20140520,39.5,40.5,39.25,40.25
20140519,39.75,40.5,39.75,40.25
20140516,40.25,40.75,39.75,40
20140515,41,41.25,40.25,40.5
20140514,39.75,41,39.75,41
20140512,39.25,40,39,39.75
20140509,38.5,39.25,38.25,38.75
20140508,39.5,39.5,38,38.5
20140507,39.25,40,38.5,40
20140506,40,40.25,39.5,39.75
20140502,40.75,41,40,40
20140430,40,41,40,40.5
20140429,40.25,40.25,39.75,40
20140428,40,40,39.5,40
20140425,40.25,40.5,40,40
20140424,40.75,40.75,40.25,40.25
20140423,41,41,40.25,40.25
20140422,41,41,40.25,40.5
20140421,41,41.25,40.5,40.5
20140418,41,41.25,40.75,41
20140417,40.75,41.25,40.5,41
20140416,40,41.25,40,41
20140411,40.25,40.25,39.25,40
20140410,40.25,40.75,40.25,40.25
20140409,41.75,42,40.25,40.5
20140408,40.75,41.75,39.75,41.75
20140404,41.75,41.75,40.25,41.25
20140403,42.25,42.25,41.5,41.5
20140402,41.75,42.25,41.25,42.25
20140401,41,42,41,42
20140331,41.25,41.5,41,41.25
20140328,41.75,41.75,40.75,41
20140327,42,42,41.25,41.5
20140326,42,42.25,41.5,41.75
20140325,40.75,42,40.75,41.5
20140324,40.25,41.25,40.25,40.75
20140321,41.75,42,40.25,40.5
20140320,41.75,42.5,41,41.75
20140319,42.5,43.75,41.75,42
20140318,42.25,43,42,42.25
20140317,42.25,42.25,41.75,42
20140314,42.25,42.75,42,42.5
20140313,42,42.75,41.75,42.25
20140312,42.25,42.5,41.75,42
20140311,42.75,42.75,42,42.25
20140310,42.75,42.75,42,42.5
20140307,42.75,43,42,42.25
20140306,42.25,42.75,42.25,42.25
20140305,42.75,43.25,42,42.5
20140304,41.5,42.5,41.5,41.75
20140303,41.25,42.5,41,41.25
20140228,40.5,41,40.5,41
20140227,39.75,41.25,39.75,40.75
20140226,40,40.75,39.25,39.5
20140225,39.75,41.25,39.75,40
20140224,39.5,40,39.25,39.5
20140221,39.5,40.75,39.5,40
20140220,39.25,39.75,39,39.5
20140219,40,41.5,39.75,40
20140218,40,40.25,39.5,39.75
20140217,39.5,40.25,39,40
20140213,39.25,39.5,38.75,39
20140212,38.25,39,38,39
20140211,38.5,38.5,38,38
20140210,38.75,38.75,38,38.25
20140207,38.25,38.75,38,38.5
20140206,38.5,38.5,37.75,37.75
20140205,38,38.5,37.5,38
20140204,37.5,38,37.25,37.75
20140203,38.25,38.25,37.75,37.75
20140131,37.25,38,37,37.75
20140130,37.25,37.75,37,37.25
20140129,38.5,38.5,37.25,37.25
20140128,38,39,38,38.5
20140127,37,38,37,38
