date,open,high,low,close
20141107,45,45.25,44.5,45
20141106,45,45,44.5,45
20141105,45.5,45.5,44.75,44.75
20141104,46.25,46.25,45.25,45.25
20141103,44.75,45.75,44.75,45.75
20141031,44.5,44.75,44.25,44.5
20141030,45,45.25,44,44.5
20141029,43.5,44.5,43.25,44.5
20141028,43,43.25,42.75,43.25
20141027,43,43.25,42.75,43
20141024,43.25,43.75,42.75,43
20141022,43.75,44,43.25,43.5
20141021,44.25,44.25,43.5,43.75
20141020,45,45,44,44.25
20141017,42.75,44.75,42.75,44.75
20141016,43.25,43.5,43,43.25
20141015,44.5,44.75,43.5,43.75
20141014,42.75,44.75,42.75,44.25
20141013,42.75,42.75,42,42.5
20141010,42.5,43,42.5,42.75
20141009,43.25,43.25,42.75,43
20141008,42.75,43.25,42,43.25
20141007,42.5,43,42.5,42.75
20141006,43.5,43.75,42.75,43
20141003,44,44,43.25,43.5
20141002,45,45,44,44.25
20141001,45.5,45.75,45,45.5
20140930,44.5,45.5,44.5,45.5
20140929,46,46,44.5,45
20140926,46.5,46.75,45.75,46.25
20140925,46,46.5,45.25,46.25
20140924,45.5,45.75,45.5,45.75
20140923,45.75,46,45.5,45.5
20140922,45.5,46,45.5,45.5
20140919,45.5,46,45.5,46
20140918,45.5,45.75,45.25,45.5
20140917,45,45.5,45,45.5
20140916,46.25,46.25,45,45
20140915,46.25,46.25,45.75,46
20140912,46.25,46.25,45.75,46
20140911,46.25,46.75,46,46
20140910,46,46.75,45.75,46.25
20140909,46,47,46,46.75
20140908,47.5,47.5,45.75,46
20140905,46.5,47.5,46.5,47.25
20140904,46,47.5,46,46.75
20140903,45,46,45,46
20140902,44.75,45,44.5,45
20140901,44.25,44.5,44,44.5
20140829,44,44.25,43.75,44
20140828,44.5,44.5,43.75,44
20140827,43.75,44.5,43.75,44.5
20140826,42.75,44.5,42.75,43.75
20140825,42.25,42.75,42,42.75
20140822,42.5,42.5,42,42
20140821,42.25,42.5,42,42.25
20140820,42.5,42.75,42,42.5
20140819,42.5,42.75,42,42.75
20140818,42.75,42.75,42.25,42.25
20140815,42.25,42.5,41.5,42.5
20140814,42,42.5,41.75,42
20140813,41.25,42,41,42
20140808,41,41,40.5,40.75
20140807,40.75,41.25,40.75,40.75
20140806,41,41.25,40.75,40.75
20140805,41.5,41.5,41,41
20140804,40.5,41.5,40.5,41.25
20140801,40.75,41.25,40.75,40.75
20140731,41,41.5,41,41.5
20140730,41.5,41.75,41.25,41.25
20140729,41.25,41.75,41.25,41.25
20140728,41.25,41.75,41.25,41.25
20140725,41.75,42,41.5,41.5
20140724,42.25,42.25,41.5,41.75
20140723,41.5,42.25,41.25,42
20140722,41.5,41.75,41.25,41.25
20140721,41.25,42,41.25,41.75
20140718,41.25,41.5,41,41
20140717,41.5,41.75,41,41.25
20140716,41.75,42,41,41.5
20140715,42.25,42.25,41.75,42
20140714,42,42.25,41.75,42
20140710,41.75,42,41.75,42
20140709,41.25,42,41,42
20140708,42,42,41.5,41.5
20140707,42.25,42.25,41.5,41.75
20140704,41.75,42.5,41.75,42
20140703,41.75,42,41.25,41.75
20140702,41,42,40.75,41.5
20140630,41,41.5,41,41
20140627,41,41.25,40.75,41
20140626,41.25,41.5,40.5,40.75
20140625,41.75,41.75,41.25,41.5
20140624,41.75,41.75,41,41.5
20140623,41.75,42.25,41.75,42
20140620,42,42,41.5,41.5
20140619,41,42,41,41.75
20140618,42.5,42.5,41,41
20140617,42.75,42.75,42.25,42.5
20140616,42.25,42.75,42.25,42.75
