date,open,high,low,close
20141107,3.06,3.08,3.04,3.06
20141106,3.08,3.08,3.04,3.06
20141105,3.06,3.1,3.04,3.06
20141104,3.1,3.12,3.02,3.06
20141103,3.08,3.1,3.06,3.1
20141031,3.06,3.08,3.04,3.08
20141030,3.06,3.08,3.04,3.06
20141029,3.08,3.08,3.02,3.04
20141028,3.04,3.08,3.04,3.06
20141027,3.06,3.06,3.02,3.06
20141024,3.02,3.06,3.02,3.06
20141022,3.04,3.06,3,3.02
20141021,3.04,3.06,3,3.02
20141020,3.02,3.04,3,3.02
20141017,3.02,3.02,2.96,3
20141016,3.02,3.04,2.98,3
20141015,3.04,3.08,3,3.02
20141014,2.98,3.04,2.98,3.02
20141013,2.94,3,2.92,2.98
20141010,2.92,2.96,2.92,2.94
20141009,2.94,2.98,2.94,2.96
20141008,2.86,2.92,2.86,2.92
20141007,2.84,2.92,2.84,2.9
20141006,3,3,2.82,2.82
20141003,2.98,3,2.94,2.98
20141002,3.02,3.04,2.96,2.96
20141001,3.08,3.08,3.04,3.06
20140930,3.04,3.08,3.04,3.08
20140929,3.12,3.12,3.04,3.06
20140926,3.1,3.12,3.08,3.12
20140925,3.04,3.14,3.02,3.12
20140924,3.02,3.04,3,3.02
20140923,3.02,3.06,3,3.04
20140922,3.06,3.06,3.02,3.02
20140919,3.08,3.1,3.04,3.04
20140918,3.02,3.08,3,3.04
20140917,3,3.02,2.98,3
20140916,3.06,3.06,3,3
20140915,3.04,3.06,3,3.02
20140912,3.08,3.08,3,3.04
20140911,3.04,3.1,3.02,3.04
20140910,3.04,3.06,2.94,3.04
20140909,3.06,3.08,3.04,3.06
20140908,3.1,3.12,3.06,3.06
20140905,3.08,3.1,3.06,3.1
20140904,3.14,3.14,3.06,3.06
20140903,3.14,3.16,3.12,3.14
20140902,3.08,3.14,3.08,3.12
20140901,3.06,3.08,3.04,3.04
20140829,3,3.06,3,3.04
20140828,3.04,3.06,2.98,3.02
20140827,3.04,3.06,3,3.02
20140826,3.04,3.04,3,3.02
20140825,3.04,3.08,3.02,3.04
20140822,3.06,3.1,3.04,3.04
20140821,2.94,3.04,2.92,3.02
20140820,2.92,2.94,2.9,2.92
20140819,2.92,2.94,2.9,2.9
20140818,2.94,2.96,2.88,2.9
20140815,2.92,2.98,2.88,2.94
20140814,2.94,2.96,2.86,2.92
20140813,2.86,2.96,2.84,2.92
20140808,2.8,2.84,2.78,2.84
20140807,2.84,2.86,2.8,2.84
20140806,2.86,2.9,2.84,2.84
20140805,2.86,2.9,2.84,2.9
20140804,2.76,2.86,2.74,2.86
20140801,2.8,2.82,2.7,2.74
20140731,2.86,2.86,2.82,2.84
20140730,2.86,2.9,2.8,2.86
20140729,2.96,2.98,2.84,2.86
20140728,2.84,2.94,2.8,2.94
20140725,2.86,2.88,2.82,2.84
20140724,2.88,2.9,2.84,2.86
20140723,2.82,2.88,2.82,2.88
20140722,2.88,2.9,2.78,2.82
20140721,2.92,2.92,2.86,2.86
20140718,2.9,2.94,2.82,2.9
20140717,2.76,2.9,2.72,2.9
20140716,2.6,2.7,2.56,2.7
20140715,2.56,2.64,2.54,2.58
20140714,2.5,2.56,2.48,2.54
20140710,2.5,2.52,2.46,2.5
20140709,2.48,2.5,2.48,2.5
20140708,2.5,2.54,2.48,2.48
20140707,2.5,2.5,2.46,2.5
20140704,2.5,2.52,2.46,2.48
20140703,2.46,2.5,2.44,2.48
20140702,2.44,2.5,2.42,2.48
20140630,2.44,2.46,2.4,2.42
20140627,2.44,2.44,2.4,2.42
20140626,2.44,2.46,2.42,2.44
20140625,2.4,2.46,2.36,2.44
20140624,2.4,2.42,2.34,2.38
20140623,2.4,2.42,2.38,2.38
20140620,2.38,2.4,2.36,2.4
20140619,2.36,2.38,2.32,2.38
20140618,2.38,2.4,2.34,2.34
20140617,2.4,2.44,2.38,2.38
20140616,2.42,2.42,2.38,2.4
20140613,2.42,2.44,2.4,2.42
20140612,2.42,2.48,2.42,2.42
20140611,2.46,2.48,2.42,2.42
20140610,2.4,2.48,2.38,2.46
20140609,2.42,2.42,2.38,2.4
20140606,2.42,2.44,2.4,2.4
20140605,2.4,2.42,2.38,2.4
20140604,2.4,2.44,2.38,2.38
20140603,2.4,2.44,2.38,2.4
20140602,2.3,2.4,2.28,2.38
20140530,2.26,2.3,2.24,2.3
20140529,2.26,2.26,2.22,2.26
20140528,2.26,2.28,2.24,2.24
20140527,2.22,2.26,2.18,2.24
20140526,2.22,2.24,2.18,2.2
20140523,2.2,2.24,2.18,2.22
20140522,2.24,2.28,2.24,2.24
20140521,2.24,2.28,2.22,2.24
20140520,2.24,2.28,2.22,2.24
20140519,2.26,2.28,2.26,2.28
20140516,2.28,2.3,2.24,2.26
20140515,2.28,2.3,2.26,2.28
20140514,2.24,2.3,2.22,2.28
20140512,2.24,2.28,2.22,2.24
20140509,2.24,2.26,2.22,2.22
20140508,2.28,2.28,2.24,2.26
20140507,2.24,2.28,2.24,2.26
20140506,2.32,2.32,2.28,2.28
20140502,2.32,2.32,2.28,2.3
20140430,2.3,2.32,2.3,2.3
20140429,2.3,2.32,2.28,2.3
20140428,2.32,2.34,2.3,2.3
20140425,2.34,2.36,2.32,2.32
20140424,2.34,2.36,2.32,2.34
20140423,2.38,2.4,2.32,2.34
20140422,2.32,2.38,2.32,2.38
20140421,2.34,2.34,2.3,2.32
20140418,2.44,2.46,2.36,2.36
20140417,2.48,2.52,2.42,2.44
20140416,2.48,2.5,2.46,2.48
20140411,2.48,2.48,2.44,2.48
20140410,2.44,2.5,2.44,2.48
20140409,2.46,2.48,2.44,2.44
20140408,2.54,2.54,2.44,2.44
20140404,2.52,2.54,2.48,2.5
20140403,2.52,2.56,2.5,2.52
20140402,2.48,2.54,2.46,2.52
20140401,2.46,2.46,2.44,2.46
20140331,2.44,2.46,2.42,2.46
20140328,2.38,2.44,2.38,2.42
20140327,2.4,2.42,2.38,2.38
20140326,2.42,2.44,2.4,2.4
20140325,2.38,2.4,2.34,2.4
20140324,2.42,2.44,2.36,2.36
20140321,2.44,2.44,2.38,2.44
20140320,2.36,2.44,2.32,2.42
20140319,2.44,2.46,2.38,2.38
20140318,2.5,2.5,2.42,2.42
20140317,2.54,2.54,2.48,2.48
20140314,2.54,2.56,2.5,2.54
20140313,2.54,2.56,2.52,2.54
20140312,2.52,2.54,2.5,2.52
20140311,2.52,2.54,2.5,2.54
20140310,2.54,2.56,2.48,2.5
20140307,2.58,2.58,2.52,2.54
20140306,2.52,2.58,2.5,2.56
20140305,2.48,2.52,2.46,2.52
20140304,2.48,2.5,2.46,2.48
20140303,2.5,2.52,2.46,2.46
20140228,2.46,2.48,2.42,2.48
20140227,2.42,2.48,2.4,2.46
20140226,2.4,2.42,2.36,2.4
20140225,2.42,2.44,2.36,2.38
20140224,2.4,2.44,2.38,2.4
20140221,2.42,2.46,2.38,2.44
20140220,2.44,2.46,2.38,2.42
20140219,2.54,2.54,2.42,2.44
20140218,2.52,2.54,2.46,2.52
20140217,2.48,2.56,2.44,2.56
20140213,2.36,2.48,2.34,2.48
20140212,2.36,2.38,2.32,2.38
20140211,2.32,2.38,2.3,2.34
20140210,2.36,2.38,2.32,2.32
20140207,2.36,2.4,2.32,2.36
20140206,2.3,2.34,2.28,2.34
20140205,2.3,2.3,2.24,2.28
20140204,2.28,2.28,2.24,2.26
20140203,2.32,2.34,2.3,2.3
20140131,2.22,2.32,2.22,2.28
20140130,2.18,2.24,2.18,2.2
20140129,2.2,2.26,2.16,2.22
20140128,2.22,2.24,2.18,2.2
20140127,2.24,2.26,2.2,2.22
20140124,2.3,2.34,2.28,2.3
20140123,2.28,2.32,2.24,2.28
20140122,2.18,2.3,2.16,2.3
20140121,2.16,2.24,2.14,2.2
